"POLICÍAS OPERATIVOS POR CADA 100 MIL Y POR CADA MIL HABITANTES A NIVEL MUNICIPAL, 2010",,,,,LEER NOTA
Clave,Estado,Municipio,Personal de seguridad pública total                (incluye policías y personal administrativo),Policías operativos por cada 100 mil habitantes (excluye personal administrativo),Policías operativos por cada mil habitantes (excluye personal administrativo)
13038,Hidalgo,Mineral del Chico,17,213.0,2.1
13039,Hidalgo,Mineral del Monte,31,216.4,2.2
13040,Hidalgo,La Misión,18,172.2,1.7
13041,Hidalgo,Mixquiahuala de Juárez,56,123.7,1.2
13042,Hidalgo,Molango de Escamilla,22,196.3,2.0
13043,Hidalgo,Nicolás Flores,14,211.7,2.1
13044,Hidalgo,Nopala de Villagrán,18,108.5,1.1
13045,Hidalgo,Omitlán de Juárez,12,133.9,1.3
13046,Hidalgo,San Felipe Orizatlán,81,204.2,2.0
13047,Hidalgo,Pacula,9,178.3,1.8
13048,Hidalgo,Pachuca de Soto,619,226.2,2.3
13049,Hidalgo,Pisaflores,23,120.6,1.2
13050,Hidalgo,Progreso de Obregón,37,162.0,1.6
13051,Hidalgo,Mineral de la Reforma,105,76.1,0.8
13052,Hidalgo,San Agustín Tlaxiaca,32,96.7,1.0
13053,Hidalgo,San Bartolo Tutotepec,61,71.7,0.7
13054,Hidalgo,San Salvador,21,61.0,0.6
13055,Hidalgo,Santiago de Anaya,21,118.6,1.2
13056,Hidalgo,Santiago Tulantepec de Lugo Guerrero,56,158.2,1.6
13057,Hidalgo,Singuilucan,23,154.9,1.5
13058,Hidalgo,Tasquillo,19,100.8,1.0
13059,Hidalgo,Tecozautla,33,94.1,0.9
13060,Hidalgo,Tenango de Doria,32,186.0,1.9
13061,Hidalgo,Tepeapulco,85,164.5,1.6
13062,Hidalgo,Tepehuacán de Guerrero,37,127.0,1.3
13063,Hidalgo,Tepeji del Río de Ocampo,100,110.4,1.1
13064,Hidalgo,Tepetitlán,21,201.2,2.0
13065,Hidalgo,Tetepango,16,117.0,1.2
13066,Hidalgo,Villa de Tezontepec,15,128.7,1.3
13067,Hidalgo,Tezontepec de Aldama,41,85.4,0.9
13068,Hidalgo,Tianguistengo,20,128.2,1.3
13069,Hidalgo,Tizayuca,132,115.9,1.2
13070,Hidalgo,Tlahuelilpan,33,186.6,1.9
13071,Hidalgo,Tlahuiltepa,26,266.6,2.7
13072,Hidalgo,Tlanalapa,26,244.0,2.4
13073,Hidalgo,Tlanchinol,40,107.2,1.1
13074,Hidalgo,Tlaxcoapan,26,93.4,0.9
13075,Hidalgo,Tolcayuca,20,151.2,1.5
13076,Hidalgo,Tula de Allende,184,177.1,1.8
13077,Hidalgo,Tulancingo de Bravo,203,131.3,1.3
13078,Hidalgo,Xochiatipan,46,241.3,2.4
13079,Hidalgo,Xochicoatlán,24,286.9,2.9
13080,Hidalgo,Yahualica,52,216.0,2.2
13081,Hidalgo,Zacualtipán de Ángeles,44,135.6,1.4
13082,Hidalgo,Zapotlán de Juárez,23,127.5,1.3
13083,Hidalgo,Zempoala,47,120.1,1.2
13084,Hidalgo,Zimapán,35,88.3,0.9
14001,Jalisco,Acatic,60,278.2,2.8
14002,Jalisco,Acatlán de Juárez,59,245.3,2.5
14003,Jalisco,Ahualulco de Mercado,39,175.0,1.8
14004,Jalisco,Amacueca,15,270.5,2.7
14005,Jalisco,Amatitán,29,191.2,1.9
14006,Jalisco,Ameca,216,343.6,3.4
14007,Jalisco,San Juanito de Escobedo,24,269.8,2.7
14008,Jalisco,Arandas,158,189.5,1.9
14009,Jalisco,EL Arenal,48,267.9,2.7
14010,Jalisco,Atemajac de Brizuela,14,195.3,2.0
14011,Jalisco,Atengo,18,333.3,3.3
14012,Jalisco,Atenguillo,10,243.0,2.4
14013,Jalisco,Atotonilco el Alto,173,278.9,2.8
14014,Jalisco,Atoyac,20,241.7,2.4
14015,Jalisco,Autlán de Navarro,140,220.6,2.2
14016,Jalisco,Ayotlán,60,154.1,1.5
14017,Jalisco,Ayutla,20,157.9,1.6
14018,Jalisco,La Barca,155,241.2,2.4
14019,Jalisco,Bolaños,12,176.0,1.8
14020,Jalisco,Cabo Corrientes,29,289.2,2.9
14021,Jalisco,Casimiro Castillo,50,228.2,2.3
14022,Jalisco,Cihuatlán,80,171.7,1.7
14023,Jalisco,Zapotlán el Grande,288,274.5,2.7
14024,Jalisco,Cocula,52,198.7,2.0
14025,Jalisco,Colotlán,30,138.2,1.4
14026,Jalisco,Concepción de Buenos Aires,10,168.5,1.7
14027,Jalisco,Cuautitlán de García Barragán,41,219.4,2.2
14028,Jalisco,Cuautla,9,414.6,4.1
14029,Jalisco,Cuquío,38,207.9,2.1
14030,Jalisco,Chapala,115,200.7,2.0
14031,Jalisco,Chimaltitán,9,238.7,2.4
14032,Jalisco,Chiquilistlán,16,240.8,2.4
14033,Jalisco,Degollado,67,307.6,3.1
14034,Jalisco,Ejutla,7,240.2,2.4
14035,Jalisco,Encarnación de Díaz,132,249.0,2.5
14036,Jalisco,Etzatlán,37,193.2,1.9
14037,Jalisco,El Grullo,50,184.5,1.8
14038,Jalisco,Guachinango,32,717.1,7.2
14039,Jalisco,Guadalajara,"3,659",224.4,2.2
14040,Jalisco,Hostotipaquillo,31,291.7,2.9
14041,Jalisco,Huejúcar,14,213.7,2.1
14042,Jalisco,Huejuquilla el Alto,24,261.9,2.6
14043,Jalisco,La Huerta,46,183.5,1.8
14044,Jalisco,Ixtlahuacán de los Membrillos,84,199.7,2.0
14045,Jalisco,Ixtlahuacán del Río,41,194.7,1.9
14046,Jalisco,Jalostotitlán,52,153.4,1.5
14047,Jalisco,Jamay,50,214.2,2.1
14048,Jalisco,Jesús María,55,295.2,3.0
14049,Jalisco,Jilotlán de los Dolores,13,136.2,1.4
14050,Jalisco,Jocotepec,77,170.8,1.7
14051,Jalisco,Juanacatlán,35,249.7,2.5
14052,Jalisco,Juchitlán,18,290.1,2.9
14053,Jalisco,Lagos de Moreno,251,155.4,1.6
14054,Jalisco,El Limón,14,0.0,0.0
14055,Jalisco,Magdalena,37,168.8,1.7
14056,Jalisco,Santa María del Oro,8,278.1,2.8
14057,Jalisco,La Manzanilla de la Paz,6,159.8,1.6
14058,Jalisco,Mascota,27,189.5,1.9
14059,Jalisco,Mazamitla,27,204.2,2.0
14060,Jalisco,Mexticacán,21,33.1,0.3
14061,Jalisco,Mezquitic,29,27.6,0.3
14062,Jalisco,Mixtlán,9,251.8,2.5
14063,Jalisco,Ocotlán,236,252.8,2.5
14064,Jalisco,Ojuelos de Jalisco,32,93.0,0.9
14065,Jalisco,Pihuamo,28,206.3,2.1
14066,Jalisco,Poncitlán,129,252.0,2.5
14067,Jalisco,Puerto Vallarta,659,257.7,2.6
14068,Jalisco,Villa Purificación,34,275.3,2.8
14069,Jalisco,Quitupan,19,207.1,2.1
14070,Jalisco,El Salto,255,184.5,1.8
14071,Jalisco,San Cristóbal de la Barranca,15,472.3,4.7
14072,Jalisco,San Diego de Alejandría,16,240.7,2.4
14073,Jalisco,San Juan de los Lagos,197,289.8,2.9
14074,Jalisco,San Julián,20,129.4,1.3
14075,Jalisco,San Marcos,11,292.4,2.9
14076,Jalisco,San Martín de Bolaños,12,352.4,3.5
14077,Jalisco,San Martín Hidalgo,62,231.9,2.3
14078,Jalisco,San Miguel el Alto,36,109.1,1.1
14079,Jalisco,Gómez Farías,35,242.7,2.4
14080,Jalisco,San Sebastián del Oeste,36,625.5,6.3
14081,Jalisco,Santa María de los Ángeles,16,429.4,4.3
14082,Jalisco,Sayula,35,71.8,0.7
14083,Jalisco,Tala,113,10.1,0.1
14084,Jalisco,Talpa de Allende,31,208.2,2.1
14085,Jalisco,Tamazula de Gordiano,72,173.7,1.7
14086,Jalisco,Tapalpa,31,171.3,1.7
14087,Jalisco,Tecalitlán,40,237.4,2.4
14088,Jalisco,Tecolotlán,48,289.6,2.9
14089,Jalisco,Techaluta de Montenegro,12,341.8,3.4
14090,Jalisco,Tenamaxtlán,21,297.8,3.0
14091,Jalisco,Teocaltiche,101,246.9,2.5
14092,Jalisco,Teocuitatlán de Corona,24,221.5,2.2
14093,Jalisco,Tepatitlán de Morelos,134,96.2,1.0
14094,Jalisco,Tequila,102,228.5,2.3
14095,Jalisco,Teuchitlán,22,220.1,2.2
14096,Jalisco,Tizapán el Alto,52,249.3,2.5
14097,Jalisco,Tlajomulco de Zúñiga,621,132.5,1.3
14098,Jalisco,Tlaquepaque,949,107.2,1.1
14099,Jalisco,Tolimán,27,271.1,2.7
14100,Jalisco,Tomatlán,66,176.9,1.8
14101,Jalisco,Tonalá,798,145.4,1.5
14102,Jalisco,Tonaya,15,253.0,2.5
14103,Jalisco,Tonila,24,303.2,3.0
14104,Jalisco,Totatiche,14,315.7,3.2
14105,Jalisco,Tototlán,45,160.0,1.6
14106,Jalisco,Tuxcacuesco,16,354.3,3.5
14107,Jalisco,Tuxcueca,16,237.5,2.4
14108,Jalisco,Tuxpan,90,245.7,2.5
14109,Jalisco,Unión de San Antonio,41,225.1,2.3
14110,Jalisco,Unión de Tula,32,232.9,2.3
14111,Jalisco,Valle de Guadalupe,15,223.7,2.2
14112,Jalisco,Valle de Juárez,10,172.5,1.7
14113,Jalisco,San Gabriel,28,176.4,1.8
14114,Jalisco,Villa Corona,47,259.3,2.6
14115,Jalisco,Villa Guerrero,13,35.5,0.4
14116,Jalisco,Villa Hidalgo,63,26.7,0.3
14117,Jalisco,Cañadas de Obregón,12,289.0,2.9
14118,Jalisco,Yahualica de González Gallo,65,264.8,2.6
14119,Jalisco,Zacoalco de Torres,46,164.9,1.6
14120,Jalisco,Zapopan,"1,690",118.2,1.2
14121,Jalisco,Zapotiltic,85,260.3,2.6
14122,Jalisco,Zapotitlán de Vadillo,25,359.0,3.6
14123,Jalisco,Zapotlán del Rey,33,182.0,1.8
14124,Jalisco,Zapotlanejo,90,95.9,1.0
14125,Jalisco,San Ignacio Cerro Gordo,28,158.9,1.6
15001,México,Acambay,54,85.4,0.9
15002,México,Acolman,140,98.9,1.0
15003,México,Aculco,93,203.0,2.0
15004,México,Almoloya de Alquisiras,24,161.6,1.6
15005,México,Almoloya de Juárez,164,110.4,1.1
15006,México,Almoloya del Río,24,220.5,2.2
15007,México,Amanalco,41,166.2,1.7
15008,México,Amatepec,35,132.9,1.3
15009,México,Amecameca,99,204.5,2.0
15010,México,Apaxco,35,119.9,1.2
15011,México,Atenco,57,101.3,1.0
15012,México,Atizapán,24,223.3,2.2
15013,México,Atizapán de Zaragoza,919,187.6,1.9
15014,México,Atlacomulco,107,112.0,1.1
15015,México,Atlautla,75,245.8,2.5
15016,México,Axapusco,38,148.7,1.5
15017,México,Ayapango,21,236.9,2.4
15018,México,Calimaya,70,148.8,1.5
15019,México,Capulhuac,76,211.1,2.1
15020,México,Coacalco de Berriozábal,618,215.4,2.2
15021,México,Coatepec Harinas,55,152.0,1.5
15022,México,Cocotitlán,38,313.0,3.1
15023,México,Coyotepec,104,246.0,2.5
15024,México,Cuautitlán,325,232.0,2.3
15025,México,Chalco,387,120.6,1.2
15026,México,Chapa de Mota,49,177.9,1.8
15027,México,Chapultepec,22,227.4,2.3
15028,México,Chiautla,36,137.5,1.4
15029,México,Chicoloapan,191,98.3,1.0
15030,México,Chiconcuac,50,201.6,2.0
15031,México,Chimalhuacán,812,116.0,1.2
15032,México,Donato Guerra,27,74.7,0.7
15033,México,Ecatepec de Morelos,"2,037",118.0,1.2
15034,México,Ecatzingo,30,298.9,3.0
15035,México,Huehuetoca,158,157.0,1.6
15036,México,Hueypoxtla,40,100.3,1.0
15037,México,Huixquilucan,535,220.9,2.2
15038,México,Isidro Fabela,24,213.4,2.1
15039,México,Ixtapaluca,597,127.7,1.3
15040,México,Ixtapan de la Sal,90,256.4,2.6
15041,México,Ixtapan del Oro,14,211.2,2.1
15042,México,Ixtlahuaca,72,50.9,0.5
15043,México,Xalatlaco,34,126.6,1.3
15044,México,Jaltenco,85,60.8,0.6
15045,México,Jilotepec,69,80.0,0.8
15046,México,Jilotzingo,50,278.2,2.8
15047,México,Jiquipilco,68,98.5,1.0
15048,México,Jocotitlán,62,101.3,1.0
15049,México,Joquicingo,30,233.6,2.3
15050,México,Juchitepec,42,166.0,1.7
15051,México,Lerma,175,115.0,1.1
15052,México,Malinalco,43,152.2,1.5
15053,México,Melchor Ocampo,109,211.0,2.1
15054,México,Metepec,417,189.6,1.9
15055,México,Mexicaltzingo,36,307.4,3.1
15056,México,Morelos,35,123.1,1.2
15057,México,Naucalpan de Juárez,"2,333",247.8,2.5
15058,México,Nezahualcóyotl,"1,749",126.0,1.3
15059,México,Nextlalpan,73,209.5,2.1
15060,México,Nicolás Romero,296,80.2,0.8
15061,México,Nopaltepec,20,224.8,2.2
15062,México,Ocoyoacac,53,84.1,0.8
15063,México,Ocuilan,56,169.8,1.7
15064,México,El Oro,35,98.7,1.0
15065,México,Otumba,41,116.8,1.2
15066,México,Otzoloapan,7,143.9,1.4
15067,México,Otzolotepec,67,83.2,0.8
15068,México,Ozumba,81,279.3,2.8
15069,México,Papalotla,13,313.5,3.1
15070,México,La Paz,360,15.8,0.2
15071,México,Polotitlán,32,223.0,2.2
15072,México,Rayón,33,251.0,2.5
15073,México,San Antonio la Isla,30,135.4,1.4
15074,México,San Felipe del Progreso,70,57.7,0.6
15075,México,San Martín de las Pirámides,50,197.2,2.0
15076,México,San Mateo Atenco,80,110.2,1.1
15077,México,San Simón de Guerrero,18,287.0,2.9
15078,México,Santo Tomás,26,274.4,2.7
15079,México,Soyaniquilpan de Juárez,19,161.0,1.6
15080,México,Sultepec,47,178.2,1.8
15081,México,Tecámac,n. d.,n. d.,n. d.
15082,México,Tejupilco,54,74.6,0.7
15083,México,Temamatla,37,330.2,3.3
15084,México,Temascalapa,50,138.9,1.4
15085,México,Temascalcingo,82,122.8,1.2
15086,México,Temascaltepec,31,91.3,0.9
15087,México,Temoaya,81,87.8,0.9
15088,México,Tenancingo,100,107.8,1.1
15089,México,Tenango del Aire,35,312.0,3.1
15090,México,Tenango del Valle,76,94.9,0.9
15091,México,Teoloyucan,106,167.9,1.7
15092,México,Teotihuacán,76,135.8,1.4
15093,México,Tepetlaoxtoc,45,161.0,1.6
15094,México,Tepetlixpa,41,207.3,2.1
15095,México,Tepotzotlán,133,38.4,0.4
15096,México,Tequixquiac,45,103.2,1.0
15097,México,Texcaltitlán,27,155.3,1.6
15098,México,Texcalyacac,15,293.5,2.9
15099,México,Texcoco,245,94.8,0.9
15100,México,Tezoyuca,61,159.1,1.6
15101,México,Tianguistenco,91,118.8,1.2
15102,México,Timilpan,32,194.9,1.9
15103,México,Tlalmanalco,93,192.9,1.9
15104,México,Tlalnepantla de Baz,"2,021",295.5,3.0
15105,México,Tlatlaya,45,133.3,1.3
15106,México,Toluca,"1,331",162.4,1.6
15107,México,Tonatico,38,314.1,3.1
15108,México,Tultepec,228,248.3,2.5
15109,México,Tultitlán,749,135.5,1.4
15110,México,Valle de Bravo,149,227.3,2.3
15111,México,Villa de Allende,68,138.3,1.4
15112,México,Villa del Carbón,81,176.0,1.8
15113,México,Villa Guerrero,68,111.7,1.1
15114,México,Villa Victoria,145,150.5,1.5
15115,México,Xonacatlán,55,110.1,1.1
15116,México,Zacazonapan,10,246.9,2.5
15117,México,Zacualpan,41,33.1,0.3
15118,México,Zinacantepec,190,99.0,1.0
15119,México,Zumpahuacán,39,238.3,2.4
15120,México,Zumpango,339,208.6,2.1
15121,México,Cuautitlán Izcalli,"1,488",282.6,2.8
15122,México,Valle de Chalco Solidaridad,363,101.5,1.0
15123,México,Luvianos,37,133.2,1.3
15124,México,San José del Rincón,131,130.3,1.3
15125,México,Tonanitla,19,176.2,1.8
16001,Michoacán,Acuitzio,13,109.2,1.1
16002,Michoacán,Aguililla,35,209.7,2.1
16003,Michoacán,Álvaro Obregón,32,153.0,1.5
16004,Michoacán,Angamacutiro,31,211.1,2.1
16005,Michoacán,Angangueo,24,222.9,2.2
16006,Michoacán,Apatzingán,232,183.6,1.8
16007,Michoacán,Aporo,17,528.3,5.3
16008,Michoacán,Aquila,66,280.4,2.8
16009,Michoacán,Ario,60,163.6,1.6
16010,Michoacán,Arteaga,36,137.7,1.4
16011,Michoacán,Briseñas,31,291.0,2.9
16012,Michoacán,Buenavista,81,189.4,1.9
16013,Michoacán,Carácuaro,26,282.2,2.8
16014,Michoacán,Coahuayana,29,198.1,2.0
16015,Michoacán,Coalcomán de Vázquez Pallares,31,164.6,1.6
16016,Michoacán,Coeneo,28,136.6,1.4
16017,Michoacán,Contepec,18,54.6,0.5
16018,Michoacán,Copándaro,21,223.4,2.2
16019,Michoacán,Cotija,47,229.1,2.3
16020,Michoacán,Cuitzeo,33,116.9,1.2
16021,Michoacán,Charapan,26,213.8,2.1
16022,Michoacán,Charo,32,147.3,1.5
16023,Michoacán,Chavinda,23,230.6,2.3
16024,Michoacán,Cherán,49,237.0,2.4
16025,Michoacán,Chilchota,43,118.5,1.2
16026,Michoacán,Chinicuila,12,227.7,2.3
16027,Michoacán,Chucándiro,12,193.6,1.9
16028,Michoacán,Churintzio,15,269.6,2.7
16029,Michoacán,Churumuco,36,250.6,2.5
16030,Michoacán,Ecuandureo,36,256.7,2.6
16031,Michoacán,Epitacio Huerta,21,129.5,1.3
16032,Michoacán,Erongarícuaro,20,137.4,1.4
16033,Michoacán,Gabriel Zamora,38,178.5,1.8
16034,Michoacán,Hidalgo,244,198.1,2.0
16035,Michoacán,La Huacana,76,232.0,2.3
16036,Michoacán,Huandacareo,14,120.8,1.2
16037,Michoacán,Huaniqueo,16,200.4,2.0
16038,Michoacán,Huetamo,75,174.1,1.7
16039,Michoacán,Huiramba,16,201.9,2.0
16040,Michoacán,Indaparapeo,33,194.8,1.9
16041,Michoacán,Irimbo,19,121.9,1.2
16042,Michoacán,Ixtlán,22,147.2,1.5
16043,Michoacán,Jacona,137,198.4,2.0
16044,Michoacán,Jiménez,37,278.7,2.8
16045,Michoacán,Jiquilpan,90,260.2,2.6
16046,Michoacán,Juárez,13,95.6,1.0
16047,Michoacán,Jungapeo,30,150.1,1.5
16048,Michoacán,Lagunillas,29,526.7,5.3
16049,Michoacán,Madero,33,189.4,1.9
16050,Michoacán,Maravatío,113,132.1,1.3
16051,Michoacán,Marcos Castellanos,20,153.5,1.5
16052,Michoacán,Lázaro Cárdenas,202,113.0,1.1
16053,Michoacán,Morelia,n. d.,n. d.,n. d.
16054,Michoacán,Morelos,17,37.1,0.4
16055,Michoacán,Múgica,96,209.1,2.1
16056,Michoacán,Nahuatzen,43,158.2,1.6
16057,Michoacán,Nocupétaro,14,179.5,1.8
16058,Michoacán,Nuevo Parangaricutiro,31,143.4,1.4
16059,Michoacán,Nuevo Urecho,33,376.2,3.8
16060,Michoacán,Numarán,17,177.1,1.8
16061,Michoacán,Ocampo,33,141.4,1.4
16062,Michoacán,Pajacuarán,49,231.4,2.3
16063,Michoacán,Panindícuaro,21,124.5,1.2
16064,Michoacán,Parácuaro,40,153.9,1.5
16065,Michoacán,Paracho,33,89.3,0.9
16066,Michoacán,Pátzcuaro,111,116.2,1.2
16067,Michoacán,Penjamillo,34,192.3,1.9
16068,Michoacán,Peribán,50,173.9,1.7
16069,Michoacán,La Piedad,153,134.6,1.3
16070,Michoacán,Purépero,37,222.1,2.2
16071,Michoacán,Puruándiro,104,151.8,1.5
16072,Michoacán,Queréndaro,22,162.4,1.6
16073,Michoacán,Quiroga,39,136.8,1.4
16074,Michoacán,Cojumatlán de Régules,17,170.3,1.7
16075,Michoacán,Los Reyes,81,126.3,1.3
16076,Michoacán,Sahuayo,150,203.2,2.0
16077,Michoacán,San Lucas,31,162.5,1.6
16078,Michoacán,Santa Ana Maya,22,166.4,1.7
16079,Michoacán,Salvador Escalante,46,101.7,1.0
16080,Michoacán,Senguio,32,157.4,1.6
16081,Michoacán,Susupuato,10,114.9,1.1
16082,Michoacán,Tacámbaro,108,142.9,1.4
16083,Michoacán,Tancítaro,n. d.,n. d.,n. d.
16084,Michoacán,Tangamandapio,45,161.7,1.6
16085,Michoacán,Tangancícuaro,58,168.3,1.7
16086,Michoacán,Tanhuato,32,210.9,2.1
16087,Michoacán,Taretan,22,162.3,1.6
16088,Michoacán,Tarímbaro,123,153.9,1.5
16089,Michoacán,Tepalcatepec,32,134.9,1.3
16090,Michoacán,Tingambato,33,215.1,2.2
16091,Michoacán,Tingüindín,35,259.0,2.6
16092,Michoacán,Tiquicheo de Nicolás Romero,29,175.1,1.8
16093,Michoacán,Tlalpujahua,42,152.2,1.5
16094,Michoacán,Tlazazalca,18,246.7,2.5
16095,Michoacán,Tocumbo,33,278.2,2.8
16096,Michoacán,Tumbiscatío,19,240.8,2.4
16097,Michoacán,Turicato,61,185.1,1.9
16098,Michoacán,Tuxpan,32,123.0,1.2
16099,Michoacán,Tuzantla,21,116.5,1.2
16100,Michoacán,Tzintzuntzan,15,110.7,1.1
16101,Michoacán,Tzitzio,29,305.5,3.1
16102,Michoacán,Uruapan,615,176.6,1.8
16103,Michoacán,Venustiano Carranza,38,162.0,1.6
16104,Michoacán,Villamar,50,282.5,2.8
16105,Michoacán,Vista Hermosa,41,215.8,2.2
16106,Michoacán,Yurécuaro,61,183.4,1.8
16107,Michoacán,Zacapu,110,141.6,1.4
16108,Michoacán,Zamora,426,224.6,2.2
16109,Michoacán,Zináparo,11,277.2,2.8
16110,Michoacán,Zinapécuaro,96,192.9,1.9
16111,Michoacán,Ziracuaretiro,26,157.7,1.6
16112,Michoacán,Zitácuaro,321,202.5,2.0
16113,Michoacán,José Sixto Verduzco,33,125.1,1.3
17001,Morelos,Amacuzac,49,276.1,2.8
17002,Morelos,Atlatlahucan,60,243.5,2.4
17003,Morelos,Axochiapan,99,270.1,2.7
17004,Morelos,Ayala,191,237.1,2.4
17005,Morelos,Coatlán del Río,33,348.4,3.5
17006,Morelos,Cuautla,510,271.7,2.7
17007,Morelos,Cuernavaca,604,161.0,1.6
17008,Morelos,Emiliano Zapata,183,190.5,1.9
17009,Morelos,Huitzilac,41,230.7,2.3
17010,Morelos,Jantetelco,39,249.3,2.5
17011,Morelos,Jiutepec,276,131.0,1.3
17012,Morelos,Jojutla,165,295.7,3.0
17013,Morelos,Jonacatepec,57,369.8,3.7
17014,Morelos,Mazatepec,44,454.7,4.5
17015,Morelos,Miacatlán,68,264.1,2.6
17016,Morelos,Ocuituco,37,219.5,2.2
17017,Morelos,Puente de Ixtla,142,225.7,2.3
17018,Morelos,Temixco,202,120.2,1.2
17019,Morelos,Tepalcingo,62,244.6,2.4
17020,Morelos,Tepoztlán,71,146.5,1.5
17021,Morelos,Tetecala,32,403.2,4.0
17022,Morelos,Tetela del Volcán,58,292.6,2.9
17023,Morelos,Tlalnepantla,25,361.7,3.6
17024,Morelos,Tlaltizapán,92,137.1,1.4
17025,Morelos,Tlaquiltenango,81,256.9,2.6
17026,Morelos,Tlayacapan,29,175.3,1.8
17027,Morelos,Totolapan,23,213.2,2.1
17028,Morelos,Xochitepec,176,257.2,2.6
17029,Morelos,Yautepec,268,257.6,2.6
17030,Morelos,Yecapixtla,112,224.3,2.2
17031,Morelos,Zacatepec,88,251.0,2.5
17032,Morelos,Zacualpan,32,352.2,3.5
17033,Morelos,Temoac,32,211.7,2.1
18001,Nayarit,Acaponeta,62,155.9,1.6
18002,Nayarit,Ahuacatlán,35,223.3,2.2
18003,Nayarit,Amatlán de Cañas,21,125.1,1.3
18004,Nayarit,Compostela,84,110.8,1.1
18005,Nayarit,Huajicori,29,254.4,2.5
18006,Nayarit,Ixtlán del Río,68,220.0,2.2
18007,Nayarit,Jala,36,203.4,2.0
18008,Nayarit,Xalisco,67,114.0,1.1
18009,Nayarit,Del Nayar,45,125.4,1.3
18010,Nayarit,Rosamorada,59,168.6,1.7
18011,Nayarit,Ruíz,79,336.6,3.4
18012,Nayarit,San Blas,91,204.1,2.0
18013,Nayarit,San Pedro Lagunillas,13,173.1,1.7
18014,Nayarit,Santa María del Oro,76,316.8,3.2
18015,Nayarit,Santiago Ixcuintla,159,165.5,1.7
18016,Nayarit,Tecuala,67,145.9,1.5
18017,Nayarit,Tepic,660,173.6,1.7
18018,Nayarit,Tuxpan,69,213.1,2.1
18019,Nayarit,La Yesca,27,198.5,2.0
18020,Nayarit,Bahía de Banderas,213,157.0,1.6
19001,Nuevo León,Abasolo,7,250.8,2.5
19002,Nuevo León,Agualeguas,9,261.4,2.6
19003,Nuevo León,Los Aldamas,9,655.0,6.6
19004,Nuevo León,Allende,85,254.7,2.5
19005,Nuevo León,Anáhuac,77,411.3,4.1
19006,Nuevo León,Apodaca,649,110.1,1.1
19007,Nuevo León,Aramberri,33,213.3,2.1
19008,Nuevo León,Bustamante,16,397.6,4.0
19009,Nuevo León,Cadereyta Jiménez,128,148.1,1.5
19010,Nuevo León,Carmen,38,229.9,2.3
19011,Nuevo León,Cerralvo,12,152.8,1.5
19012,Nuevo León,Ciénega de Flores,77,273.2,2.7
19013,Nuevo León,China,27,248.5,2.5
19014,Nuevo León,Dr. Arroyo,49,132.6,1.3
19015,Nuevo León,Dr. Coss,4,233.1,2.3
19016,Nuevo León,Dr. González,10,299.0,3.0
19017,Nuevo León,Galeana,51,127.5,1.3
19018,Nuevo León,García,273,190.0,1.9
19019,Nuevo León,San Pedro Garza García,625,463.9,4.6
19020,Nuevo León,Gral. Bravo,11,199.0,2.0
19021,Nuevo León,Gral. Escobedo,451,126.0,1.3
19022,Nuevo León,Gral. Terán,24,166.2,1.7
19023,Nuevo León,Gral. Treviño,1,78.3,0.8
19024,Nuevo León,Gral. Zaragoza,14,235.6,2.4
19025,Nuevo León,Gral. Zuazua,64,115.9,1.2
19026,Nuevo León,Guadalupe,855,126.1,1.3
19027,Nuevo León,Los Herreras,6,295.6,3.0
19028,Nuevo León,Higueras,11,690.1,6.9
19029,Nuevo León,Hualahuises,22,303.7,3.0
19030,Nuevo León,Iturbide,14,393.5,3.9
19031,Nuevo León,Juárez,125,46.7,0.5
19032,Nuevo León,Lampazos de Naranjo,29,542.2,5.4
19033,Nuevo León,Linares,212,263.1,2.6
19034,Nuevo León,Marín,18,328.0,3.3
19035,Nuevo León,Melchor Ocampo,2,232.0,2.3
19036,Nuevo León,Mier y Noriega,15,211.4,2.1
19037,Nuevo León,Mina,20,330.5,3.3
19038,Nuevo León,Montemorelos,230,378.9,3.8
19039,Nuevo León,Monterrey,649,55.7,0.6
19040,Nuevo León,Parás,4,386.8,3.9
19041,Nuevo León,Pesquería,43,206.3,2.1
19042,Nuevo León,Los Ramones,n. d.,n. d.,n. d.
19043,Nuevo León,Rayones,9,342.5,3.4
19044,Nuevo León,Sabinas Hidalgo,n. d.,n. d.,n. d.
19045,Nuevo León,Salinas Victoria,60,183.7,1.8
19046,Nuevo León,San Nicolás de los Garza,839,156.8,1.6
19047,Nuevo León,Hidalgo,38,228.9,2.3
19048,Nuevo León,Santa Catarina,459,168.8,1.7
19049,Nuevo León,Santiago,83,202.6,2.0
19050,Nuevo León,Vallecillo,12,608.8,6.1
19051,Nuevo León,Villaldama,13,316.1,3.2
20001,Oaxaca,Abejones,24,"2,214.0",22.1
20002,Oaxaca,Acatlán de Pérez Figueroa,25,55.7,0.6
20003,Oaxaca,Asunción Cacalotepec,20,801.6,8.0
20004,Oaxaca,Asunción Cuyotepeji,13,"1,284.6",12.8
20005,Oaxaca,Asunción Ixtaltepec,22,149.1,1.5
20006,Oaxaca,Asunción Nochixtlán,16,89.8,0.9
20007,Oaxaca,Asunción Ocotlán,15,536.0,5.4
20008,Oaxaca,Asunción Tlacolulita,n. d.,n. d.,n. d.
20009,Oaxaca,Ayotzintepec,16,223.2,2.2
20010,Oaxaca,El Barrio de la Soledad,n. d.,n. d.,n. d.
