"POLICÍAS OPERATIVOS POR CADA 100 MIL Y POR CADA MIL HABITANTES A NIVEL MUNICIPAL, 2010",,,,,LEER NOTA
Clave,Estado,Municipio,Personal de seguridad pública total                (incluye policías y personal administrativo),Policías operativos por cada 100 mil habitantes (excluye personal administrativo),Policías operativos por cada mil habitantes (excluye personal administrativo)
07041,Chiapas,La Independencia,41,99.4,1.0
07042,Chiapas,Ixhuatán,n. d.,n. d.,n. d.
07043,Chiapas,Ixtacomitán,48,471.7,4.7
07044,Chiapas,Ixtapa,50,203.9,2.0
07045,Chiapas,Ixtapangajoya,20,365.1,3.7
07046,Chiapas,Jiquipilas,48,108.4,1.1
07047,Chiapas,Jitotol,22,117.8,1.2
07048,Chiapas,Juárez,65,308.3,3.1
07049,Chiapas,Larráinzar,16,78.6,0.8
07050,Chiapas,La Libertad,29,562.9,5.6
07051,Chiapas,Mapastepec,64,145.7,1.5
07052,Chiapas,Las Margaritas,n. d.,n. d.,n. d.
07053,Chiapas,Mazapa de Madero,40,513.3,5.1
07054,Chiapas,Mazatán,n. d.,n. d.,n. d.
07055,Chiapas,Metapa,n. d.,n. d.,n. d.
07056,Chiapas,Mitontic,n. d.,n. d.,n. d.
07057,Chiapas,Motozintla,114,157.7,1.6
07058,Chiapas,Nicolás Ruíz,11,254.8,2.5
07059,Chiapas,Ocosingo,205,101.6,1.0
07060,Chiapas,Ocotepec,26,218.9,2.2
07061,Chiapas,Ocozocoautla de Espinosa,85,101.1,1.0
07062,Chiapas,Ostuacán,60,345.7,3.5
07063,Chiapas,Osumacinta,16,369.2,3.7
07064,Chiapas,Oxchuc,80,184.5,1.8
07065,Chiapas,Palenque,60,50.5,0.5
07066,Chiapas,Pantelhó,24,116.6,1.2
07067,Chiapas,Pantepec,20,174.8,1.7
07068,Chiapas,Pichucalco,129,412.6,4.1
07069,Chiapas,Pijijiapan,71,133.8,1.3
07070,Chiapas,El Porvenir,83,628.7,6.3
07071,Chiapas,Villa Comaltitlán,60,215.1,2.2
07072,Chiapas,Pueblo Nuevo Solistahuacán,38,122.3,1.2
07073,Chiapas,Rayón,26,288.8,2.9
07074,Chiapas,Reforma,100,245.6,2.5
07075,Chiapas,Las Rosas,n. d.,n. d.,n. d.
07076,Chiapas,Sabanilla,n. d.,n. d.,n. d.
07077,Chiapas,Salto de Agua,70,122.3,1.2
07078,Chiapas,San Cristóbal de las Casas,296,138.2,1.4
07079,Chiapas,San Fernando,47,142.2,1.4
07080,Chiapas,Siltepec,45,118.0,1.2
07081,Chiapas,Simojovel,n. d.,n. d.,n. d.
07082,Chiapas,Sitalá,15,114.1,1.1
07083,Chiapas,Socoltenango,52,303.6,3.0
07084,Chiapas,Solosuchiapa,20,248.0,2.5
07085,Chiapas,Soyaló,n. d.,n. d.,n. d.
07086,Chiapas,Suchiapa,45,213.8,2.1
07087,Chiapas,Suchiate,n. d.,n. d.,n. d.
07088,Chiapas,Sunuapa,10,447.4,4.5
07089,Chiapas,Tapachula,623,192.9,1.9
07090,Chiapas,Tapalapa,14,339.7,3.4
07091,Chiapas,Tapilula,31,254.7,2.5
07092,Chiapas,Tecpatán,35,82.8,0.8
07093,Chiapas,Tenejapa,n. d.,n. d.,n. d.
07094,Chiapas,Teopisca,n. d.,n. d.,n. d.
07096,Chiapas,Tila,104,144.2,1.4
07097,Chiapas,Tonalá,110,130.0,1.3
07098,Chiapas,Totolapa,n. d.,n. d.,n. d.
07099,Chiapas,La Trinitaria,50,68.7,0.7
07100,Chiapas,Tumbalá,38,113.5,1.1
07101,Chiapas,Tuxtla Gutiérrez,"1,399",205.6,2.1
07102,Chiapas,Tuxtla Chico,n. d.,n. d.,n. d.
07103,Chiapas,Tuzantán,n. d.,n. d.,n. d.
07104,Chiapas,Tzimol,33,235.6,2.4
07105,Chiapas,Unión Juárez,n. d.,n. d.,n. d.
07106,Chiapas,Venustiano Carranza,77,123.9,1.2
07107,Chiapas,Villa Corzo,100,120.8,1.2
07108,Chiapas,Villaflores,120,118.6,1.2
07109,Chiapas,Yajalón,80,232.2,2.3
07110,Chiapas,San Lucas,n. d.,n. d.,n. d.
07111,Chiapas,Zinacantán,25,68.5,0.7
07112,Chiapas,San Juan Cancuc,18,62.0,0.6
07113,Chiapas,Aldama,17,335.2,3.4
07114,Chiapas,Benemérito de las Américas,n. d.,n. d.,n. d.
07115,Chiapas,Maravilla Tenejapa,31,270.7,2.7
07116,Chiapas,Marqués de Comillas,16,162.3,1.6
07117,Chiapas,Montecristo de Guerrero,28,405.8,4.1
07118,Chiapas,San Andrés Duraznal,14,286.0,2.9
07119,Chiapas,Santiago el Pinar,37,"1,140.2",11.4
07120,Chiapas,Belisario Domínguez,n. d.,n. d.,n. d.
07121,Chiapas,El Parral,n. d.,n. d.,n. d.
07122,Chiapas,Emiliano Zapata,n. d.,n. d.,n. d.
07123,Chiapas,Mezcalapa,n. d.,n. d.,n. d.
08001,Chihuahua,Ahumada,30,253.1,2.5
08002,Chihuahua,Aldama,36,152.5,1.5
08003,Chihuahua,Allende,23,273.5,2.7
08004,Chihuahua,Aquiles Serdán,26,243.3,2.4
08005,Chihuahua,Ascensión,35,141.8,1.4
08006,Chihuahua,Bachíniva,12,199.6,2.0
08007,Chihuahua,Balleza,18,101.9,1.0
08008,Chihuahua,Batopilas,20,139.3,1.4
08009,Chihuahua,Bocoyna,86,299.0,3.0
08010,Chihuahua,Buenaventura,52,214.5,2.1
08011,Chihuahua,Camargo,157,258.5,2.6
08012,Chihuahua,Carichí,13,147.8,1.5
08013,Chihuahua,Casas Grandes,32,302.3,3.0
08014,Chihuahua,Coronado,15,613.0,6.1
08015,Chihuahua,Coyame del Sotol,7,416.4,4.2
08016,Chihuahua,La Cruz,24,150.7,1.5
08017,Chihuahua,Cuauhtémoc,339,206.3,2.1
08018,Chihuahua,Cusihuiriachi,20,350.9,3.5
08019,Chihuahua,Chihuahua,"1,212",147.9,1.5
08020,Chihuahua,Chínipas,14,165.9,1.7
08021,Chihuahua,Delicias,315,202.3,2.0
08022,Chihuahua,Dr. Belisario Domínguez,6,206.1,2.1
08023,Chihuahua,Galeana,13,220.6,2.2
08024,Chihuahua,Santa Isabel,17,431.8,4.3
08025,Chihuahua,Gómez Farías,12,139.1,1.4
08026,Chihuahua,Gran Morelos,8,249.3,2.5
08027,Chihuahua,Guachochi,92,181.1,1.8
08028,Chihuahua,Guadalupe,n. d.,n. d.,n. d.
08029,Chihuahua,Guadalupe y Calvo,51,93.5,0.9
08030,Chihuahua,Guazapares,30,333.4,3.3
08031,Chihuahua,Guerrero,100,237.2,2.4
08032,Chihuahua,Hidalgo del Parral,335,256.9,2.6
08033,Chihuahua,Huejotitán,9,858.0,8.6
08034,Chihuahua,Ignacio Zaragoza,12,144.2,1.4
08035,Chihuahua,Janos,26,237.4,2.4
08036,Chihuahua,Jiménez,57,111.5,1.1
08037,Chihuahua,Juárez,"2,300",145.8,1.5
08038,Chihuahua,Julimes,18,363.4,3.6
08039,Chihuahua,López,18,447.2,4.5
08040,Chihuahua,Madera,89,290.4,2.9
08041,Chihuahua,Maguarichi,10,520.6,5.2
08042,Chihuahua,Manuel Benavides,7,437.2,4.4
08043,Chihuahua,Matachí,12,386.6,3.9
08044,Chihuahua,Matamoros,12,244.5,2.4
08045,Chihuahua,Meoqui,133,303.4,3.0
08046,Chihuahua,Morelos,10,107.9,1.1
08047,Chihuahua,Moris,10,188.3,1.9
08048,Chihuahua,Namiquipa,59,257.9,2.6
08049,Chihuahua,Nonoava,5,175.5,1.8
08050,Chihuahua,Nuevo Casas Grandes,102,165.2,1.7
08051,Chihuahua,Ocampo,65,821.6,8.2
08052,Chihuahua,Ojinaga,28,91.2,0.9
08053,Chihuahua,Praxedis G. Guerrero,16,312.6,3.1
08054,Chihuahua,Riva Palacio,21,262.1,2.6
08055,Chihuahua,Rosales,43,256.2,2.6
08056,Chihuahua,Rosario,6,268.5,2.7
08057,Chihuahua,San Francisco de Borja,5,218.3,2.2
08058,Chihuahua,San Francisco de Conchos,14,469.3,4.7
08059,Chihuahua,San Francisco del Oro,30,631.2,6.3
08060,Chihuahua,Santa Bárbara,48,450.8,4.5
08061,Chihuahua,Satevó,7,191.2,1.9
08062,Chihuahua,Saucillo,83,253.7,2.5
08063,Chihuahua,Temósachic,17,273.7,2.7
08064,Chihuahua,El Tule,8,428.0,4.3
08065,Chihuahua,Urique,n. d.,n. d.,n. d.
08066,Chihuahua,Uruachi,10,122.0,1.2
08067,Chihuahua,Valle de Zaragoza,10,195.9,2.0
09002,Distrito Federal,Azcapotzalco,n. d.,n. d.,n. d.
09003,Distrito Federal,Coyoacán,n. d.,n. d.,n. d.
09004,Distrito Federal,Cuajimalpa de Morelos,n. d.,n. d.,n. d.
09005,Distrito Federal,Gustavo A. Madero,n. d.,n. d.,n. d.
09006,Distrito Federal,Iztacalco,n. d.,n. d.,n. d.
09007,Distrito Federal,Iztapalapa,n. d.,n. d.,n. d.
09008,Distrito Federal,La Magdalena Contreras,n. d.,n. d.,n. d.
09009,Distrito Federal,Milpa Alta,n. d.,n. d.,n. d.
09010,Distrito Federal,Álvaro Obregón,n. d.,n. d.,n. d.
09011,Distrito Federal,Tláhuac,n. d.,n. d.,n. d.
09012,Distrito Federal,Tlalpan,n. d.,n. d.,n. d.
09013,Distrito Federal,Xochimilco,n. d.,n. d.,n. d.
09014,Distrito Federal,Benito Juárez,n. d.,n. d.,n. d.
09015,Distrito Federal,Cuauhtémoc,n. d.,n. d.,n. d.
09016,Distrito Federal,Miguel Hidalgo,n. d.,n. d.,n. d.
09017,Distrito Federal,Venustiano Carranza,n. d.,n. d.,n. d.
10001,Durango,Canatlán,50,159.2,1.6
