"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,CUAUTEPEC, 2 066, 1 797,  269,  6,  117,  4,
,CUETZALA DEL PROGRESO, 1 821, 1 602,  219,  8,  278,  11,
,CUTZAMALA DE PINZON, 3 114, 2 845,  269,  30, 1 163,  34,
,CHILAPA DE ALVAREZ, 10 897, 10 485,  412,  26, 1 440,  45,
,CHILPANCINGO DE LOS BRAVO, 3 275, 3 146,  129,  171, 2 785,  29,
,FLORENCIO VILLARREAL, 1 867, 1 776,  91,  10,  136,*,
,GENERAL CANUTO A. NERI,  977,  814,  163,  12,  677,  4,
,GENERAL HELIODORO CASTILLO, 3 347, 3 307,  40,  5,  204,  3,
,HUAMUXTITLAN, 1 793, 1 413,  380,  33,  606,  9,
,HUITZUCO DE LOS FIGUEROA, 2 828, 2 558,  270,  130, 2 094,  20,
,IGUALA DE LA INDEPENDENCIA, 2 787, 2 451,  336,  114, 3 882,  16,
,IGUALAPA, 1 475, 1 446,  29,-,  40,  7,
,IXCATEOPAN DE CUAUHTEMOC, 1 238, 1 099,  139,  8,  201,-,
,JOSE AZUETA, 2 427, 1 993,  434,  72, 2 654,  18,
,JUAN R. ESCUDERO, 2 183, 2 103,  80,  44,  373,  11,
,LEONARDO BRAVO, 1 978, 1 798,  180,  24,  435,  15,
,MALINALTEPEC, 5 067, 4 874,  193,-,  53,  9,
,MARTIR DE CUILAPAN, 1 825, 1 719,  106,  8,  380,  12,
,METLATONOC, 1 793, 1 780,  13,  14,  36,  10,
,MOCHITLAN, 1 461, 1 439,  22,  14,  265,  24,
,OLINALA, 1 984, 1 853,  131,  10,  335,  7,
,OMETEPEC, 4 307, 3 955,  352,  32,  863,  25,
,PEDRO ASCENCIO ALQUISIRAS,  974,  908,  66,  4,  203,-,
,PETATLAN, 3 033, 2 684,  349,  59, 1 908,  25,
,PILCAYA,  976,  867,  109,  8,  609,  6,
,PUNGARABATO, 1 393, 1 333,  60,  53, 1 611,  10,
,QUECHULTENANGO, 4 185, 4 079,  106,  8,  253,  25,
,SAN LUIS ACATLAN, 4 420, 4 077,  343,  14,  139,  22,
,SAN MARCOS, 6 388, 5 617,  771,  48,  785,  34,
,SAN MIGUEL TOTOLAPAN, 3 525, 3 501,  24,*,  328,  6,
,TAXCO DE ALARCON, 4 485, 3 962,  523,  49, 2 868,  23,
,TECOANAPA, 6 076, 6 018,  58,  8,  279,  38,
,TECPAN DE GALEANA, 5 720, 4 555, 1 165,  145, 2 610,  26,
,TELOLOAPAN, 5 168, 4 584,  584,  59, 1 088,  25,
,TEPECOACUILCO DE TRUJANO, 3 619, 3 257,  362,  43, 1 324,  27,
,TETIPAC, 1 581, 1 454,  127,  13,  554,  5,
,TIXTLA DE GUERRERO, 2 474, 2 369,  105,  30,  880,  11,
,TLACOACHISTLAHUACA, 2 364, 2 180,  184,  7,  143,  13,
,TLACOAPA, 1 325, 1 314,  11,-,  4,  3,
,TLALCHAPA, 2 059, 1 927,  132,  23,  479,  14,
,TLALIXTAQUILLA DE MALDONADO,  692,  662,  30,  4,  109,  5,
,TLAPA DE COMONFORT, 4 078, 3 850,  228,  74, 1 731,  28,
,TLAPEHUALA, 1 973, 1 635,  338,  31,  836,  12,
,"UNION, LA", 2 968, 2 550,  418,  15, 1 287,  32,
,XALPATLAHUAC, 1 706, 1 514,  192,-,  35,  12,
,XOCHIHUEHUETLAN,  960,  928,  32,*,  248,  6,
,XOCHISTLAHUACA, 2 413, 2 162,  251,  12,  164,  7,
,ZAPOTITLAN TABLAS, 4 528, 4 505,  23,-,  79,*,
,ZIRANDARO, 2 512, 2 311,  201,  11,  443,  27,
,ZITLALA, 2 584, 2 476,  108,  8,  205,  10,
,EDUARDO NERI, 1 955, 1 689,  266,  66, 1 643,  15,
HIDALGO,, 213 598, 200 822, 12 776, 1 623, 48 555, 1 156,
,ACATLAN, 2 617, 2 557,  60,-,  290,  16,
,ACAXOCHITLAN, 3 498, 3 467,  31,*,  262,  12,
,ACTOPAN, 3 212, 2 951,  261,  22,  934,  11,
,AGUA BLANCA DE ITURBIDE, 1 683, 1 387,  296,  8,  181,  11,
,AJACUBA, 2 112, 1 989,  123,  51,  570,  8,
,ALFAJAYUCAN, 5 957, 5 454,  503,  3,  257,  29,
,ALMOLOYA, 1 399, 1 202,  197,  10,  379,  13,
,APAN, 2 762, 2 252,  510,  24,  855,  15,
,"ARENAL, EL", 1 916, 1 737,  179,  25,  576,  8,
,ATITALAQUIA, 1 285, 1 208,  77,  25,  819,  5,
,ATLAPEXCO, 2 740, 2 733,  7,  12,  106,  7,
,ATOTONILCO EL GRANDE, 2 997, 2 840,  157,  19,  684,  23,
,ATOTONILCO DE TULA, 1 639, 1 526,  113,  13, 1 069,  7,
,CALNALI, 2 500, 2 392,  108,  21,  698,*,
,CARDONAL, 3 252, 3 126,  126,*,  406,  21,
,CUAUTEPEC DE HINOJOSA, 3 416, 3 372,  44,  24,  543,  24,
,CHAPANTONGO, 2 730, 2 499,  231,*,  261,  15,
,CHAPULHUACAN, 2 837, 2 604,  233,  15, 1 188,  19,
,CHILCUAUTLA, 2 968, 2 885,  83,*,  248,  6,
,ELOXOCHITLAN,  837,  802,  35,  9,  191,  9,
,EMILIANO ZAPATA,  932,  787,  145,  16,  463,  4,
,EPAZOYUCAN, 1 414, 1 176,  238,  7,  366,  10,
,FRANCISCO I. MADERO, 3 377, 3 151,  226,  37, 1 301,*,
,HUASCA DE OCAMPO, 3 042, 2 888,  154,  3,  208,  27,
,HUAUTLA, 3 932, 3 931,*,  17,  358,  39,
,HUAZALINGO, 1 606, 1 599,  7,*,  165,  14,
,HUEHUETLA, 3 328, 3 240,  88,-,  188,  6,
,HUEJUTLA DE REYES, 11 822, 11 700,  122,  80, 2 044,  48,
,HUICHAPAN, 4 780, 4 258,  522,  42, 1 413,  35,
,IXMIQUILPAN, 7 678, 7 129,  549,  85, 1 813,  23,
,JACALA DE LEDEZMA, 3 005, 2 768,  237,  5,  388,  12,
,JALTOCAN,  983,  975,  8,  13,  234,  15,
,JUAREZ HIDALGO,  454,  454,-,-,  141,  4,
,LOLOTLA, 1 215, 1 181,  34,*,  372,  10,
,METEPEC, 1 058,  953,  105,  12,  49,  10,
,SAN AGUSTIN METZQUITITLAN, 1 221, 1 041,  180,  15,  598,  7,
,METZTITLAN, 3 369, 3 321,  48,  10, 1 000,  26,
,MINERAL DEL CHICO, 1 365, 1 266,  99,  6,  149,  5,
,MINERAL DEL MONTE,  437,  413,  24,  19,  530,*,
,"MISION, LA", 1 408, 1 168,  240,*, 1 070,-,
,MIXQUIAHUALA DE JUAREZ, 3 666, 3 498,  168,  55, 1 470,  7,
,MOLANGO DE ESCAMILLA, 1 876, 1 815,  61,  6,  391,  13,
,NICOLAS FLORES, 1 749, 1 599,  150,*,  86,  6,
,NOPALA DE VILLAGRAN, 2 285, 2 138,  147,  8,  349,  10,
,OMITLAN DE JUAREZ,  900,  856,  44,*,  232,  5,
,SAN FELIPE ORIZATLAN, 4 990, 4 921,  69,  13,  461,  81,
,PACULA, 1 471, 1 107,  364,  9,  448,*,
,PACHUCA DE SOTO,  891,  854,  37,  64, 1 128,  8,
,PISAFLORES, 2 620, 2 608,  12,  4,  261,  6,
,PROGRESO DE OBREGON,  705,  687,  18,  28,  681,*,
,MINERAL DE LA REFORMA,  841,  752,  89,  6,  286,  6,
,SAN AGUSTIN TLAXIACA, 3 084, 2 840,  244,  22,  834,  10,
,SAN BARTOLO TUTOTEPEC, 2 756, 2 303,  453,  3,  601,  8,
,SAN SALVADOR, 5 506, 5 337,  169,  7,  680,  16,
,SANTIAGO DE ANAYA, 2 703, 2 533,  170,*,  355,  12,
,SANTIAGO TULANTEPEC DE LUGO GUERRERO,  800,  783,  17,  23,  410,  6,
,SINGUILUCAN, 1 812, 1 374,  438,  6,  391,  16,
,TASQUILLO, 2 588, 2 417,  171,  12,  272,  18,
,TECOZAUTLA, 3 798, 3 468,  330,  50,  982,  27,
,TENANGO DE DORIA, 1 965, 1 906,  59,*,  287,  5,
,TEPEAPULCO, 1 523, 1 251,  272,  25,  950,  8,
,TEPEHUACAN DE GUERRERO, 3 709, 3 657,  52,-,  244,  29,
,TEPEJI DEL RIO DE OCAMPO, 3 123, 3 036,  87,  33,  936,  15,
,TEPETITLAN, 1 886, 1 693,  193,  5,  234,  11,
,TETEPANGO,  737,  724,  13,  11,  348,*,
,VILLA DE TEZONTEPEC,  553,  474,  79,  19,  328,*,
,TEZONTEPEC DE ALDAMA, 5 862, 5 774,  88,  35,  793,  5,
,TIANGUISTENGO, 2 536, 2 445,  91,  6,  595,  23,
,TIZAYUCA,  997,  945,  52,  156, 1 025,*,
,TLAHUELILPAN,  609,  558,  51,  39,  548,*,
,TLAHUILTEPA, 1 786, 1 645,  141,-,  856,  15,
,TLANALAPA,  733,  675,  58,  11,  538,  3,
,TLANCHINOL, 4 996, 4 951,  45,  4,  487,  30,
,TLAXCOAPAN, 1 384, 1 311,  73,  81,  664,  4,
,TOLCAYUCA,  759,  630,  129,  9,  396,  3,
,TULA DE ALLENDE, 4 061, 3 881,  180,  59, 1 540,  23,
,TULANCINGO DE BRAVO, 2 838, 2 771,  67,  49,  847,  14,
,XOCHIATIPAN, 2 629, 2 627,*,-,  215,  25,
,XOCHICOATLAN, 1 653, 1 560,  93,  4,  312,  14,
,YAHUALICA, 3 730, 3 727,  3,  9,  344,  18,
,ZACUALTIPAN DE ANGELES, 1 326, 1 126,  200,  40,  843,  20,
,ZAPOTLAN DE JUAREZ, 1 185, 1 142,  43,  28,  405,  3,
,ZEMPOALA, 3 998, 3 390,  608,  6,  590,  23,
,ZIMAPAN, 5 196, 4 651,  545,  15,  545,  43,
JALISCO,, 179 535, 152 513, 27 022, 2 488, 79 670, 1 389,
,ACATIC,  921,  822,  99,  21,  559,*,
,ACATLAN DE JUAREZ,  861,  775,  86,  35, 1 205,  8,
,AHUALULCO DE MERCADO, 1 702, 1 657,  45,  49, 1 211,  7,
,AMACUECA,  348,  298,  50,  34,  512,*,
,AMATITAN,  692,  616,  76,  8,  501,  5,
,AMECA, 4 303, 3 914,  389,  42, 1 719,  41,
,ANTONIO ESCOBEDO, 1 716, 1 630,  86,  25,  415,  5,
,ARANDAS, 3 508, 2 920,  588,  41,  541,*,
,ARENAL,  718,  659,  59,  9,  558,  3,
,ATEMAJAC DE BRIZUELA,  390,  347,  43,  21,  359,  7,
,ATENGO,  695,  461,  234,  3,  349,  11,
,ATENGUILLO,  560,  317,  243,  24,  357,  4,
,ATOTONILCO EL ALTO, 2 594, 2 231,  363,  18,  607,  20,
,ATOYAC,  929,  797,  132,  26,  761,  11,
,AUTLAN DE NAVARRO, 1 874, 1 845,  29,  27, 1 942,  24,
,AYOTLAN, 1 948, 1 536,  412,  24, 1 336,  15,
,AYUTLA, 1 701, 1 542,  159,  13,  182,  26,
,"BARCA, LA", 3 742, 3 213,  529,  18, 1 314,  28,
,BOLAÑOS,  245,  206,  39,-,  216,*,
,CABO CORRIENTES, 1 636, 1 494,  142,  15,  116,  20,
,CASIMIRO CASTILLO, 1 685, 1 601,  84,  31, 1 662,  17,
,CIHUATLAN, 1 607, 1 472,  135,  22, 1 139,  17,
,CIUDAD GUZMAN,  780,  515,  265,  10,  204,  4,
,COCULA, 2 140, 1 856,  284,  32, 1 528,  19,
,COLOTLAN, 1 430, 1 215,  215,  10,  641,  9,
,CONCEPCION DE BUENOS AIRES,  828,  521,  307,  12,  219,  14,
,CUAUTITLAN, 2 930, 2 815,  115,  13,  298,  11,
,CUAUTLA,  393,  353,  40,  5,  28,  4,
,CUQUIO, 2 267, 2 081,  186,  11,  957,  12,
,CHAPALA, 1 344,  892,  452,  28, 1 577,  7,
,CHIMALTITAN,  718,  672,  46,  3,  129,*,
,CHIQUILISTLAN,  507,  446,  61,  30,  376,  6,
,DEGOLLADO, 1 703, 1 491,  212,  43,  920,  23,
,EJUTLA,  434,  407,  27,*,  244,  3,
,ENCARNACION DE DIAZ, 2 369, 2 007,  362,  10,  727,  10,
,ETZATLAN, 1 046,  941,  105,  28,  501,  10,
,"GRULLO, EL",  639,  612,  27,  13,  773,  7,
,GUACHINANGO,  713,  623,  90,*,  173,  9,
,GUADALAJARA,  12,  11,*,  68,  93,-,
,HOSTOTIPAQUILLO, 1 506, 1 422,  84,  13,  184,  17,
,HUEJUCAR,  826,  681,  145,  3,  323,*,
,HUEJUQUILLA EL ALTO, 1 348, 1 195,  153,  17,  426,*,
,"HUERTA, LA", 2 895, 2 607,  288,  10,  767,  33,
,IXTLAHUACAN DE LOS MEMBRILLOS, 1 163,  807,  356,  28,  724,  12,
,IXTLAHUACAN DEL RIO, 1 975, 1 858,  117,  7,  780,  15,
,JALOSTOTITLAN, 1 019,  775,  244,  9,  123,*,
,JAMAY, 1 664, 1 574,  90,  22,  794,  3,
,JESUS MARIA, 1 427, 1 187,  240,*,  656,*,
,JILOTLAN DE LOS DOLORES, 1 582, 1 265,  317,-,  197,  21,
,JOCOTEPEC, 1 923, 1 844,  79,  25, 1 362,  14,
,JUANACATLAN,  635,  600,  35,  10,  401,  5,
,JUCHITLAN,  539,  440,  99,  9,  402,  7,
,LAGOS DE MORENO, 4 880, 3 716, 1 164,  6, 1 563,  47,
,"LIMON, EL",  688,  658,  30,  9,  511,  6,
,MAGDALENA,  906,  801,  105,  19,  376,  8,
,MANUEL M. DIEGUEZ,  599,  363,  236,-,  91,  4,
,"MANZANILLA DE LA PAZ, LA",  335,  309,  26,  29,  195,  8,
,MASCOTA, 1 282, 1 190,  92,  34, 1 048,  17,
,MAZAMITLA, 1 039,  863,  176,  41,  172,  19,
,MEXTICACAN,  741,  453,  288,  14,  428,  3,
,MEZQUITIC, 2 861, 2 573,  288,  5,  443,  7,
,MIXTLAN,  642,  383,  259,  6,  87,  8,
,OCOTLAN, 1 785, 1 393,  392,  10,  647,  18,
,OJUELOS DE JALISCO, 2 453, 2 246,  207,*,  471,  19,
,PIHUAMO, 1 924, 1 384,  540,  24,  376,  17,
,PONCITLAN, 2 210, 1 876,  334,  7, 1 013,  17,
,PUERTO VALLARTA, 1 540, 1 288,  252,  54, 1 365,  14,
,VILLA PURIFICACION, 2 098, 1 711,  387,  5,  550,  13,
,QUITUPAN, 1 629, 1 483,  146,*,  763,  23,
,"SALTO, EL",  241,  183,  58,  11,  498,  5,
,SAN CRISTOBAL DE LA BARRANCA,  668,  596,  72,  6,  161,  3,
,SAN DIEGO DE ALEJANDRIA,  463,  277,  186,  15,  354,*,
,SAN JUAN DE LOS LAGOS, 1 851, 1 686,  165,-,  326,  7,
,SAN JULIAN,  570,  474,  96,-,  164,-,
,SAN MARCOS,  528,  364,  164,*,  199,  4,
,SAN MARTIN DE BOLAÑOS,  460,  383,  77,  3,  171,-,
,SAN MARTIN HIDALGO, 2 963, 2 390,  573,  84, 1 749,  18,
,SAN MIGUEL EL ALTO, 1 342, 1 105,  237,  13,  28,*,
,GOMEZ FARIAS,  942,  761,  181,  64, 1 026,  5,
,SAN SEBASTIAN DEL OESTE, 1 204, 1 049,  155,*,  251,  17,
,SANTA MARIA DE LOS ANGELES,  721,  611,  110,  5,  102,  3,
,SAYULA,  828,  775,  53,  67, 1 736,  4,
,TALA, 3 312, 3 008,  304,  62, 1 697,  12,
,TALPA DE ALLENDE, 1 591, 1 351,  240,  9,  191,  15,
,TAMAZULA DE GORDIANO, 2 884, 2 455,  429,  36, 1 820,  38,
,TAPALPA, 1 028,  823,  205,  9,  785,  7,
,TECALITLAN, 1 217, 1 046,  171,  8,  348,  18,
,TECOLOTLAN, 1 672, 1 325,  347,  12,  727,  23,
,TECHALUTA DE MONTENEGRO,  226,  216,  10,  17,  301,*,
,TENAMAXTLAN, 1 017,  912,  105,  9,  531,  12,
,TEOCALTICHE, 2 571, 1 897,  674,  12, 1 047,  11,
,TEOCUITATLAN DE CORONA, 1 845, 1 691,  154,  12,  488,  24,
,TEPATITLAN DE MORELOS, 3 182, 2 009, 1 173,  76,  493,*,
,TEQUILA, 1 754, 1 281,  473,  16,  527,  15,
,TEUCHITLAN,  902,  825,  77,  6,  451,  6,
,TIZAPAN EL ALTO, 1 489, 1 336,  153,  19, 1 238,  14,
,TLAJOMULCO DE ZUÑIGA, 3 199, 2 427,  772,  68, 2 571,  23,
,TLAQUEPAQUE, 1 017,  925,  92,  66,  465,  7,
,TOLIMAN, 1 183, 1 069,  114,  13,  624,  8,
,TOMATLAN, 5 559, 4 767,  792,  49,  707,  36,
,TONALA,  480,  420,  60,  12,  333,  6,
,TONAYA,  518,  423,  95,  6,  611,  3,
,TONILA,  683,  595,  88,  21,  417,  5,
,TOTATICHE,  922,  799,  123,  8,  321,-,
,TOTOTLAN, 1 575, 1 359,  216,  6,  754,  22,
,TUXCACUESCO,  558,  494,  64,  4,  262,  7,
,TUXCUECA,  757,  583,  174,  16,  430,  5,
,TUXPAN, 1 623, 1 159,  464,  4,  662,  17,
,UNION DE SAN ANTONIO, 1 506, 1 245,  261,  6,  696,  16,
,UNION DE TULA, 1 504, 1 393,  111,  15,  529,  15,
,VALLE DE GUADALUPE,  495,  321,  174,*,  41,*,
,VALLE DE JUAREZ,  536,  418,  118,  16,  196,  11,
,CIUDAD VENUSTIANO CARRANZA, 1 701, 1 494,  207,  18, 1 133,  20,
,VILLA CORONA, 1 606, 1 380,  226,  99, 1 259,  7,
,VILLA GUERRERO,  724,  636,  88,  4,  284,*,
,VILLA HIDALGO, 1 407, 1 141,  266,  5,  155,  4,
,CAÑADAS DE OBREGON,  552,  484,  68,  19,  160,*,
,YAHUALICA DE GONZALEZ GALLO, 1 760, 1 532,  228,  17,  278,  4,
,ZACOALCO DE TORRES, 2 000, 1 794,  206,  37,  710,  17,
,ZAPOPAN, 2 215, 1 933,  282,  83, 1 852,  26,
,ZAPOTILTIC, 1 371, 1 165,  206,  13,  546,  14,
,ZAPOTITLAN DE VADILLO,  937,  886,  51,  20,  586,  3,
,ZAPOTLAN DEL REY, 2 049, 1 775,  274,  5,  673,  25,
,ZAPOTLANEJO, 2 885, 2 311,  574,  37,  819,  13,
MEXICO,, 342 533, 293 912, 48 621, 3 955, 137 626, 1 238,
,ACAMBAY, 10 312, 7 992, 2 320,  5,  111,  32,
,ACOLMAN, 1 716, 1 626,  90,  53, 1 386,  13,
,ACULCO, 6 926, 5 429, 1 497,  5,  42,  26,
,ALMOLOYA DE ALQUISIRAS, 2 255, 1 657,  598,  31,  239,  12,
,ALMOLOYA DE JUAREZ, 9 651, 8 648, 1 003,  23, 1 470,  34,
,ALMOLOYA DEL RIO,  870,  704,  166,  3,  155,  3,
,AMANALCO, 2 747, 2 645,  102,  7,  408,  18,
,AMATEPEC, 2 096, 1 947,  149,  42, 1 570,  15,
,AMECAMECA, 1 764, 1 676,  88,  35, 1 760,  8,
,APAXCO, 1 092,  901,  191,  14, 1 057,  3,
,ATENCO, 2 097, 1 701,  396,  23,  545,  6,
,ATIZAPAN,  387,  336,  51,  3,  189,*,
,ATIZAPAN DE ZARAGOZA,  112,  76,  36,  26,  912,*,
,ATLACOMULCO, 7 021, 6 052,  969,  22,  378,  29,
,ATLAUTLA, 1 700, 1 354,  346,  17,  664,  3,
,AXAPUSCO, 2 406, 2 121,  285,  11,  320,  17,
,AYAPANGO,  823,  612,  211,  4,  158,  4,
,CALIMAYA, 2 274, 1 961,  313,  31,  671,  8,
,CAPULHUAC,  991,  742,  249,  18,  662,  4,
,COACALCO,  139,  136,  3,  15,  492,*,
,COATEPEC HARINAS, 4 763, 3 577, 1 186,  6,  468,  12,
,COCOTITLAN,  648,  621,  27,  5,  366,*,
,COYOTEPEC, 1 475, 1 227,  248,  28, 1 136,*,
,CUAUTITLAN,  556,  514,  42,  3,  144,*,
,CHALCO, 5 618, 3 814, 1 804,  144, 5 180,  16,
,CHAPA DE MOTA, 3 908, 3 748,  160,  3,  123,  17,
,CHAPULTEPEC,  475,  442,  33,*,  58,*,
,CHIAUTLA,  889,  741,  148,  12,  516,  5,
,CHICOLOAPAN,  746,  705,  41,  51, 2 430,*,
,CHICONCUAC,  633,  593,  40,  4,  20,  3,
,CHIMALHUACAN, 1 371, 1 306,  65,  77, 4 537,*,
,DONATO GUERRA, 3 369, 2 943,  426,*,  447,  16,
,ECATEPEC, 1 292, 1 115,  177,  129, 5 911,  7,
,ECATZINGO,  831,  781,  50,  11,  326,*,
,HUEHUETOCA, 1 449, 1 092,  357,*,  966,*,
,HUEYPOXTLA, 4 562, 3 781,  781,  79,  702,  13,
,HUIXQUILUCAN, 1 698, 1 658,  40,  42, 2 430,  7,
,ISIDRO FABELA, 1 130,  852,  278,  4,  76,  4,
,IXTAPALUCA, 2 592, 2 399,  193,  108, 3 228,  12,
,IXTAPAN DE LA SAL, 1 535, 1 136,  399,  7,  501,*,
,IXTAPAN DEL ORO, 1 335, 1 304,  31,-,  104,  10,
,IXTLAHUACA, 13 439, 12 007, 1 432,  8, 1 574,  33,
,JALATLACO, 1 225, 1 015,  210,  8,  171,*,
,JALTENCO,  372,  282,  90,  27,  362,-,
,JILOTEPEC, 8 399, 7 825,  574,  59,  768,  25,
,JILOTZINGO, 2 081, 1 409,  672,*,  161,  7,
,JIQUIPILCO, 6 389, 6 302,  87,  5,  551,  14,
,JOCOTITLAN, 4 940, 4 751,  189,  22,  918,  17,
,JOQUICINGO, 1 221, 1 125,  96,*,  136,*,
,JUCHITEPEC, 1 974, 1 816,  158,  23,  595,  5,
,LERMA, 5 043, 3 807, 1 236,  37, 1 877,  18,
,MALINALCO, 2 160, 1 637,  523,  40,  897,  15,
,MELCHOR OCAMPO,  845,  384,  461,  23, 1 062,*,
,METEPEC, 1 765, 1 604,  161,  31,  977,  4,
,MEXICALCINGO,  561,  404,  157,  9,  139,*,
,MORELOS, 4 831, 4 056,  775,  9,  401,  15,
,NAUCALPAN, 1 915, 1 617,  298,  42, 3 465,  8,
,NEZAHUALCOYOTL,-,-,-,  88, 8 577,-,
,NEXTLALPAN, 1 014,  789,  225,  5,  380,  6,
,NICOLAS ROMERO, 4 498, 3 903,  595,  164, 5 183,  9,
,NOPALTEPEC, 1 065,  905,  160,*,  100,  4,
,OCOYOACAC, 2 227, 1 342,  885,  40, 1 213,  7,
,OCUILAN, 3 038, 2 652,  386,  6,  283,*,
,"ORO, EL", 2 859, 2 590,  269,  11,  452,  14,
,OTUMBA, 2 567, 2 011,  556,  10,  911,  11,
,OTZOLOAPAN,  372,  354,  18,-,  135,  3,
,OTZOLOTEPEC, 5 342, 4 980,  362,  18, 1 175,  10,
,OZUMBA, 1 174,  977,  197,  21,  696,  4,
,PAPALOTLA,  69,  63,  6,  11,  192,-,
,"PAZ, LA",  593,  549,  44,  30, 1 564,*,
,POLOTITLAN, 1 546, 1 479,  67,  10,  103,  10,
,RAYON, 1 554, 1 226,  328,  12,  294,  4,
,SAN ANTONIO LA ISLA,  969,  779,  190,  5,  194,*,
,SAN FELIPE DEL PROGRESO, 20 998, 18 201, 2 797,-,  346,  95,
,SAN MARTIN DE LAS PIRAMIDES, 1 375, 1 101,  274,  4,  474,  7,
,SAN MATEO ATENCO, 1 842, 1 340,  502,  43, 1 543,*,
,SAN SIMON DE GUERRERO,  719,  684,  35,-,  29,*,
,SANTO TOMAS,  303,  297,  6,*,  585,  3,
,SOYANIQUILPAN DE JUAREZ, 1 624, 1 520,  104,  3,  62,  11,
,SULTEPEC, 4 348, 4 183,  165,  7,  268,  9,
,TECAMAC, 3 240, 2 580,  660,  125, 4 118,  12,
,TEJUPILCO, 4 836, 4 271,  565,  131, 3 710,  15,
,TEMAMATLA,  258,  226,  32,  15,  268,*,
,TEMASCALAPA, 2 862, 2 408,  454,  34,  816,  14,
,TEMASCALCINGO, 6 379, 5 593,  786,  17,  575,  26,
,TEMASCALTEPEC, 3 734, 3 121,  613,-,  368,  29,
,TEMOAYA, 5 411, 5 082,  329,  18,  653,  10,
,TENANCINGO, 4 256, 3 622,  634,  38, 1 524,  24,
,TENANGO DEL AIRE,  931,  862,  69,  17,  367,  5,
,TENANGO DEL VALLE, 3 220, 2 733,  487,  69,  764,  12,
,TEOLOYUCAN, 1 449, 1 144,  305,  62, 1 850,  3,
,TEOTIHUACAN, 1 747, 1 334,  413,  43, 1 372,  7,
,TEPETLAOXTOC, 1 978, 1 651,  327,  55,  853,  10,
,TEPETLIXPA, 2 054, 1 738,  316,  12,-,  5,
,TEPOTZOTLAN, 1 517, 1 440,  77,  122, 2 005,  6,
,TEQUIXQUIAC, 1 534, 1 394,  140,  172, 1 221,*,
,TEXCALTITLAN, 2 671, 2 642,  29,*,  83,  8,
,TEXCALYACAC,  636,  604,  32,  4,  137,*,
,TEXCOCO, 5 974, 5 461,  513,  328, 4 284,  36,
,TEZOYUCA,  850,  784,  66,  24,  678,*,
,TIANGUISTENCO, 3 365, 2 599,  766,  26,  925,  4,
,TIMILPAN, 3 437, 3 068,  369,  7,  187,  8,
,TLALMANALCO, 1 053, 1 002,  51,  20, 1 169,  7,
,TLALNEPANTLA,  453,  342,  111,  22,  882,  4,
,TLATLAYA, 3 456, 3 047,  409,  9, 2 070,  24,
,TOLUCA, 12 788, 10 330, 2 458,  131, 10 231,  32,
,TONATICO,  772,  702,  70,  11,  617,  5,
,TULTEPEC, 1 077,  862,  215,  45, 1 868,  5,
,TULTITLAN,  627,  442,  185,  31, 1 533,  5,
,VALLE DE BRAVO, 2 186, 1 931,  255,  25, 1 167,  22,
,VILLA DE ALLENDE, 4 916, 4 262,  654,  4,  124,  34,
,VILLA DEL CARBON, 4 522, 3 822,  700,  49,  573,  9,
,VILLA GUERRERO, 5 900, 4 587, 1 313,  13,  885,  12,
,VILLA VICTORIA, 7 530, 7 208,  322,  10,  271,  27,
,XONACATLAN, 2 722, 2 174,  548,  15,  662,  4,
,ZACAZONAPAN,  183,  169,  14,  12,  202,*,
,ZACUALPAN, 2 200, 2 140,  60,  7,  302,  11,
,ZINACANTEPEC, 7 478, 6 507,  971,  47, 1 952,  18,
,ZUMPAHUACAN, 2 074, 1 256,  818,*,  333,*,
,ZUMPANGO, 3 481, 2 985,  496,  173, 2 991,  8,
,CUAUTITLAN IZCALLI, 1 266, 1 156,  110,  64, 1 365,  12,
MICHOACAN,, 226 941, 182 007, 44 934, 3 155, 105 368, 1 845,
,ACUITZIO,  999,  807,  192,  8,  239,  4,
,AGUILILLA, 1 253, 1 059,  194,  31, 1 003,  14,
,ALVARO OBREGON, 1 410, 1 296,  114,  27,  605,  23,
,ANGAMACUTIRO, 1 644, 1 374,  270,  11,  703,  22,
,ANGANGUEO,  498,  484,  14,-,  432,  4,
,APATZINGAN, 3 412, 2 289, 1 123,  32, 2 258,  44,
,APORO,  267,  170,  97,  10,  145,  3,
,AQUILA, 2 772, 2 228,  544,-,  490,  6,
,ARIO, 2 339, 2 019,  320,  52, 1 496,  37,
,ARTEAGA, 1 934, 1 568,  366,  4,  379,  19,
,BRISEÑAS,  844,  730,  114,  5,  354,  4,
,BUENAVISTA, 3 449, 2 739,  710,  72, 2 574,  46,
,CARACUARO, 1 304,  898,  406,  16,  350,  8,
,COAHUAYANA, 1 066,  935,  131,  5,  855,  11,
,COALCOMAN DE VAZQUEZ PALLARES, 1 869, 1 262,  607,  11,  504,  12,
