"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,TOTOLTEPEC DE GUERRERO,,,  107,  456,  22,  38,  18,  31,,
,TULCINGO,,,  428, 3 702,  161,  569,  121,  513,,
,TUZAMAPAN DE GALEANA,,,  82, 1 141,  43,  197,  49,  352,,
,TZICATLACOYAN,,,  465, 2 088,  134,  230,  128,  259,,
,VENUSTIANO CARRANZA,,,  362, 17 590,  181, 2 868,  220, 7 046,,
,VICENTE GUERRERO,,, 1 561, 4 719,  421,  516,  419,  560,,
,XAYACATLAN DE BRAVO,,,  120,  571,  29,  48,  17,  29,,
,XICOTEPEC,,,  219, 6 603,  120, 1 245,  106, 2 069,,
,XICOTLAN,,,  86, 1 743,  74,  416,  55,  332,,
,XIUTETELCO,,,  208,  678,  80,  129,  77,  132,,
,XOCHIAPULCO,,,  150,  568,  47,  65,  68,  92,,
,XOCHILTEPEC,,,  74,  806,  43,  168,  44,  166,,
,XOCHITLAN DE VICENTE SUAREZ,,,  159, 1 384,  75,  201,  65,  286,,
,XOCHITLAN TODOS SANTOS,,,  221,  846,  61,  108,  41,  79,,
,YAONAHUAC,,,  23,  59,  7,  8,  10,  13,,
,YEHUALTEPEC,,,  420, 1 509,  119,  270,  127,  253,,
,ZACAPALA,,,  200, 1 759,  108,  340,  86,  317,,
,ZACAPOAXTLA,,, 1 377, 4 628,  387,  590,  295,  629,,
,ZACATLAN,,, 1 214, 3 741,  393,  584,  424,  741,,
,ZAPOTITLAN,,,  194,  724,  43,  72,  50,  98,,
,ZAPOTITLAN DE MENDEZ,,,  28,  279,  16,  54,  18,  64,,
,ZARAGOZA,,,  134,  457,  32,  66,  39,  79,,
,ZAUTLA,,,  280, 1 023,  47,  59,  67,  103,,
,ZIHUATEUTLA,,,  86, 2 094,  49,  467,  50,  560,,
,ZINACATEPEC,,,  115,  485,  25,  66,  28,  54,,
,ZONGOZOTLA,,,*,  18,*,-,*,-,,
,ZOQUIAPAN,,,  64,  462,  29,  122,  37,  81,,
,ZOQUITLAN,,,  217, 1 702,  36,  241,  53,  308,,
QUERETARO,,,, 21 162, 218 935, 9 094, 34 809, 8 409, 56 646,,
,AMEALCO DE BONFIL,,, 3 017, 15 286, 1 295, 2 615, 1 164, 2 905,,
,PINAL DE AMOLES,,, 1 262, 6 588,  548, 1 095,  428,  999,,
,ARROYO SECO,,,  866, 7 622,  463, 1 385,  421, 1 605,,
,CADEREYTA DE MONTES,,, 1 456, 9 895,  447, 1 278,  370, 1 643,,
,COLON,,, 1 318, 21 859,  636, 3 699,  591, 6 177,,
,CORREGIDORA,,,  391, 5 495,  174,  877,  166, 1 701,,
,EZEQUIEL MONTES,,,  503, 17 766,  182, 2 889,  218, 9 728,,
,HUIMILPAN,,, 1 121, 8 235,  454, 1 207,  517, 2 039,,
,JALPAN DE SERRA,,, 1 171, 13 030,  575, 2 420,  577, 2 890,,
,LANDA DE MATAMOROS,,, 1 068, 9 947,  510, 1 492,  551, 2 215,,
,"MARQUES, EL",,, 1 440, 38 223,  662, 5 611,  650, 9 032,,
,PEDRO ESCOBEDO,,, 1 091, 14 398,  435, 2 306,  399, 3 844,,
,PEÑAMILLER,,,  772, 4 518,  339,  762,  348, 1 022,,
,QUERETARO,,, 1 361, 11 313,  527, 1 573,  440, 3 342,,
,SAN JOAQUIN,,,  307, 2 001,  75,  196,  76,  277,,
,SAN JUAN DEL RIO,,, 3 006, 20 456, 1 303, 3 310, 1 059, 4 304,,
,TEQUISQUIAPAN,,,  476, 6 975,  206,  835,  201, 1 778,,
,TOLIMAN,,,  536, 5 328,  263, 1 259,  233, 1 145,,
QUINTANA ROO,,,, 3 272, 56 980, 1 837, 11 504, 1 930, 13 465,,
,COZUMEL,,,  170, 3 483,  87,  549,  115,  852,,
,FELIPE CARRILLO PUERTO,,,  578, 5 290,  242,  710,  272, 1 073,,
,ISLA MUJERES,,,  18,  794,  6,  113,  10,  170,,
,OTHON P. BLANCO,,, 1 677, 33 329, 1 070, 7 395, 1 067, 8 041,,
,BENITO JUAREZ,,,  37,  732,  20,  108,  28,  222,,
,JOSE MARIA MORELOS,,,  426, 6 036,  193, 1 187,  209, 1 317,,
,LAZARO CARDENAS,,,  366, 7 316,  219, 1 442,  229, 1 790,,
SAN LUIS POTOSI,,,, 56 431, 737 663, 29 724, 152 461, 26 151, 179 145,,
,AHUALULCO,,, 1 020, 5 523,  403, 1 046,  394, 1 059,,
,ALAQUINES,,, 1 056, 8 961,  650, 1 888,  560, 1 820,,
,AQUISMON,,, 1 628, 23 180, 1 005, 5 545,  829, 5 953,,
,ARMADILLO DE LOS INFANTE,,,  573, 6 314,  349, 1 185,  325, 1 458,,
,CARDENAS,,,  518, 4 340,  231,  699,  182,  667,,
,CATORCE,,,  419, 4 884,  262, 1 101,  178,  741,,
,CEDRAL,,,  518, 2 795,  181,  435,  218,  616,,
,CERRITOS,,, 1 069, 7 706,  381, 1 030,  418, 1 433,,
,CERRO DE SAN PEDRO,,,  144, 1 256,  74,  212,  64,  238,,
,CIUDAD DEL MAIZ,,, 2 295, 27 732, 1 082, 4 689, 1 016, 5 720,,
,CIUDAD FERNANDEZ,,,  986, 6 207,  390, 1 010,  378, 1 427,,
,TANCANHUITZ DE SANTOS,,,  538, 5 212,  292, 1 118,  250, 1 357,,
,CIUDAD VALLES,,, 2 254, 46 547, 1 276, 11 018, 1 075, 11 575,,
,COXCATLAN,,,  288, 1 633,  139,  399,  133,  371,,
,CHARCAS,,,  674, 9 785,  403, 1 949,  345, 2 072,,
,EBANO,,,  774, 19 328,  498, 4 606,  369, 5 532,,
,GUADALCAZAR,,, 1 839, 13 078,  727, 1 848,  821, 2 567,,
,HUEHUETLAN,,,  292, 2 593,  153,  631,  135,  546,,
,LAGUNILLAS,,,  689, 8 203,  427, 1 592,  321, 1 855,,
,MATEHUALA,,, 1 198, 7 177,  602, 1 381,  534, 1 487,,
,MEXQUITIC DE CARMONA,,, 1 570, 7 369,  707, 1 553,  660, 1 614,,
,MOCTEZUMA,,, 1 093, 9 725,  583, 2 033,  515, 2 087,,
,RAYON,,,  832, 8 189,  448, 1 477,  412, 1 772,,
,RIOVERDE,,, 3 398, 24 083, 1 548, 4 362, 1 497, 4 978,,
,SALINAS,,, 1 077, 14 074,  712, 2 980,  495, 2 936,,
,SAN ANTONIO,,,  443, 3 065,  200,  807,  184,  657,,
,SAN CIRO DE ACOSTA,,,  904, 9 957,  567, 2 246,  487, 2 036,,
,SAN LUIS POTOSI,,, 2 322, 17 344, 1 079, 3 236,  959, 3 598,,
,SAN MARTIN CHALCHICUAUTLA,,, 1 221, 23 929,  757, 4 844,  675, 7 364,,
,SAN NICOLAS TOLENTINO,,,  715, 6 643,  378, 1 153,  348, 1 398,,
,SANTA CATARINA,,,  802, 8 286,  450, 1 419,  430, 1 748,,
,SANTA MARIA DEL RIO,,, 1 812, 25 236,  809, 5 393,  688, 5 103,,
,SANTO DOMINGO,,, 1 446, 36 587, 1 015, 7 376,  747, 6 668,,
,SAN VICENTE TANCUAYALAB,,,  555, 33 865,  343, 6 825,  304, 13 154,,
,SOLEDAD DE GRACIANO SANCHEZ,,,  900, 10 172,  456, 1 925,  342, 2 264,,
,TAMASOPO,,, 1 669, 20 479,  970, 4 246,  836, 4 157,,
,TAMAZUNCHALE,,, 1 139, 8 047,  593, 1 692,  496, 1 735,,
,TAMPACAN,,,  478, 6 645,  267, 1 331,  210, 1 903,,
,TAMPAMOLON CORONA,,,  576, 15 929,  322, 3 869,  262, 5 148,,
,TAMUIN,,, 1 572, 89 376, 1 053, 21 387,  859, 28 124,,
,TANLAJAS,,,  898, 13 468,  459, 3 440,  358, 3 825,,
,TANQUIAN DE ESCOBEDO,,,  370, 8 803,  254, 2 286,  180, 2 311,,
,TIERRANUEVA,,,  361, 4 594,  229, 1 082,  223, 1 181,,
,VANEGAS,,,  408, 6 795,  207, 1 257,  150, 1 115,,
,VENADO,,,  880, 11 254,  564, 2 217,  490, 2 588,,
,VILLA DE ARRIAGA,,,  706, 9 698,  421, 1 989,  385, 2 135,,
,VILLA DE GUADALUPE,,,  605, 7 185,  289, 1 091,  307, 1 454,,
,VILLA DE LA PAZ,,,  75,  356,  30,  60,  37,  97,,
,VILLA DE RAMOS,,, 1 809, 26 763,  998, 4 430,  895, 4 719,,
,VILLA DE REYES,,, 1 849, 15 972,  959, 3 396,  798, 3 484,,
,VILLA HIDALGO,,, 1 340, 11 134,  604, 1 655,  691, 2 446,,
,VILLA JUAREZ,,, 1 029, 6 736,  378,  984,  396, 1 228,,
,AXTLA DE TERRAZAS,,,  402, 4 680,  208, 1 043,  195, 1 359,,
,XILITLA,,, 1 065, 7 568,  636, 1 622,  534, 1 812,,
,ZARAGOZA,,,  796, 7 225,  428, 1 533,  347, 1 547,,
,VILLA DE ARISTA,,,  542, 3 978,  278,  840,  214,  906,,
SINALOA,,,, 38 173,1 256 948, 23 647, 480 126, 22 035, 214 328,,
,AHOME,,, 2 284, 78 823, 1 053, 41 040,  913, 8 958,,
,ANGOSTURA,,, 1 042, 26 064,  646, 4 156,  606, 5 252,,
,BADIRAGUATO,,, 2 979, 92 871, 1 919, 46 607, 1 831, 14 313,,
,CONCORDIA,,, 1 185, 44 368,  905, 14 221,  845, 8 019,,
,COSALA,,, 1 076, 48 986,  783, 21 509,  735, 7 011,,
,CULIACAN,,, 4 737, 216 769, 3 253, 114 891, 2 996, 35 665,,
,CHOIX,,, 2 024, 49 517, 1 137, 23 288, 1 086, 6 617,,
,ELOTA,,, 1 457, 50 611, 1 094, 9 751, 1 032, 10 549,,
,ESCUINAPA,,,  985, 36 268,  710, 10 241,  636, 9 486,,
,"FUERTE, EL",,, 3 128, 66 349, 1 600, 23 507, 1 426, 10 291,,
,GUASAVE,,, 4 146, 69 809, 2 005, 25 222, 1 750, 10 192,,
,MAZATLAN,,, 1 599, 99 765, 1 142, 45 890, 1 033, 17 768,,
,MOCORITO,,, 2 695, 77 205, 1 763, 25 760, 1 781, 17 583,,
,ROSARIO,,, 1 518, 62 417, 1 082, 9 516,  980, 9 150,,
,SALVADOR ALVARADO,,,  668, 22 919,  457, 5 834,  418, 5 536,,
,SAN IGNACIO,,, 1 396, 65 985, 1 094, 29 360, 1 015, 11 530,,
,SINALOA,,, 3 962, 106 751, 2 288, 14 272, 2 332, 18 363,,
,NAVOLATO,,, 1 292, 41 471,  716, 15 061,  620, 8 045,,
SONORA,,,, 26 217,1 652 771, 18 124, 394 184, 17 153, 327 120,,
,ACONCHI,,,  232, 8 907,  177, 1 693,  142, 1 701,,
,AGUA PRIETA,,,  360, 26 528,  271, 5 651,  257, 4 382,,
,ALAMOS,,, 2 321, 72 805, 1 621, 14 662, 1 637, 15 496,,
,ALTAR,,,  177, 30 809,  166, 7 097,  151, 5 997,,
,ARIVECHI,,,  274, 10 469,  231, 2 987,  200, 1 917,,
,ARIZPE,,,  499, 41 353,  415, 10 865,  387, 6 588,,
,ATIL,,,  79, 4 012,  47,  700,  49,  913,,
,BACADEHUACHI,,,  209, 12 409,  176, 3 553,  159, 2 395,,
,BACANORA,,,  269, 19 658,  222, 4 966,  209, 3 655,,
,BACERAC,,,  222, 10 127,  160, 2 780,  144, 1 584,,
,BACOACHI,,,  175, 20 457,  158, 4 863,  153, 3 489,,
,BACUM,,,  340, 11 696,  163, 1 200,  167, 1 518,,
,BANAMICHI,,,  207, 13 179,  129, 3 658,  116, 1 553,,
,BAVIACORA,,,  340, 13 502,  236, 2 780,  242, 2 566,,
,BAVISPE,,,  249, 37 485,  192, 7 095,  149, 3 925,,
,BENJAMIN HILL,,,  97, 11 557,  57, 3 453,  62, 2 178,,
,CABORCA,,,  317, 43 601,  201, 7 536,  192, 7 454,,
,CAJEME,,,  812, 30 566,  298, 3 464,  291, 10 037,,
,CANANEA,,,  73, 20 394,  60, 6 607,  52, 2 512,,
,CARBO,,,  193, 34 272,  177, 8 521,  164, 6 580,,
,"COLORADA, LA",,,  415, 51 027,  360, 13 903,  346, 11 520,,
,CUCURPE,,,  240, 23 679,  214, 5 893,  210, 4 355,,
,CUMPAS,,,  737, 44 232,  600, 10 327,  584, 7 671,,
,DIVISADEROS,,,  159, 10 952,  139, 2 112,  131, 1 841,,
,EMPALME,,,  241, 14 024,  80, 1 119,  88, 7 132,,
,ETCHOJOA,,,  946, 10 768,  206, 1 151,  191, 1 776,,
,FRONTERAS,,,  479, 33 434,  354, 7 796,  331, 6 648,,
,GRANADOS,,,  155, 6 259,  142, 1 662,  113, 1 178,,
,GUAYMAS,,, 1 008, 49 049,  512, 8 233,  477, 10 692,,
,HERMOSILLO,,, 1 274, 127 310,  819, 37 339,  722, 31 443,,
,HUACHINERA,,,  209, 16 339,  194, 4 022,  179, 2 792,,
,HUASABAS,,,  179, 12 762,  170, 3 610,  145, 3 222,,
,HUATABAMPO,,, 1 093, 14 461,  272, 2 148,  228, 1 599,,
,HUEPAC,,,  208, 7 052,  148, 1 559,  141, 1 435,,
,IMURIS,,,  252, 22 975,  192, 5 473,  193, 3 251,,
,MAGDALENA,,,  289, 15 356,  233, 3 852,  225, 3 221,,
,MAZATAN,,,  193, 13 775,  175, 3 866,  178, 3 591,,
,MOCTEZUMA,,,  288, 26 796,  248, 6 170,  240, 5 445,,
,NACO,,,  70, 6 278,  41, 1 485,  38,  499,,
,NACORI CHICO,,,  388, 34 703,  357, 9 646,  322, 6 447,,
,NACOZARI DE GARCIA,,,  177, 19 576,  142, 4 772,  142, 3 444,,
,NAVOJOA,,, 1 621, 32 636,  684, 6 374,  647, 5 047,,
,NOGALES,,,  294, 19 906,  249, 4 799,  202, 3 438,,
,ONAVAS,,,  108, 6 449,  103, 1 536,  98,  998,,
,OPODEPE,,,  409, 44 080,  301, 11 026,  311, 9 843,,
,OQUITOA,,,  72, 5 328,  66, 1 085,  61,  965,,
,PITIQUITO,,,  171, 33 283,  155, 7 426,  148, 6 663,,
,PUERTO PEÑASCO,,,  27, 1 527,  15,  327,  16,  326,,
,QUIRIEGO,,,  484, 43 518,  361, 11 040,  328, 7 559,,
,RAYON,,,  190, 20 131,  161, 5 256,  157, 3 363,,
,ROSARIO,,,  583, 38 468,  536, 10 080,  481, 7 380,,
,SAHUARIPA,,,  804, 55 821,  695, 15 077,  650, 10 003,,
,SAN FELIPE DE JESUS,,,  92, 4 130,  76, 1 007,  77,  838,,
,SAN JAVIER,,,  76, 9 287,  68, 2 400,  68, 2 209,,
,SAN LUIS RIO COLORADO,,,  208, 2 575,  78,  363,  91,  569,,
,SAN MIGUEL DE HORCASITAS,,,  218, 13 905,  190, 3 481,  170, 2 722,,
,SAN PEDRO DE LA CUEVA,,,  410, 21 486,  358, 5 568,  358, 4 249,,
,SANTA ANA,,,  330, 15 183,  246, 4 733,  203, 2 857,,
,SANTA CRUZ,,,  187, 13 288,  90, 3 406,  90, 1 647,,
,SARIC,,,  142, 21 527,  116, 6 867,  103, 3 320,,
,SOYOPA,,,  328, 17 438,  267, 4 370,  253, 3 044,,
,SUAQUI GRANDE,,,  110, 10 081,  101, 2 646,  100, 1 785,,
,TEPACHE,,,  209, 13 112,  175, 2 532,  180, 2 686,,
,TRINCHERAS,,,  210, 26 703,  190, 6 358,  180, 5 615,,
,TUBUTAMA,,,  204, 13 139,  174, 3 086,  173, 2 660,,
,URES,,,  904, 57 199,  764, 15 085,  722, 14 226,,
,VILLA HIDALGO,,,  294, 15 363,  247, 3 759,  234, 2 982,,
,VILLA PESQUEIRA,,,  351, 22 482,  318, 5 869,  303, 6 071,,
,YECORA,,,  616, 34 737,  501, 7 283,  512, 7 168,,
,GENERAL PLUTARCO ELIAS CALLES,,,  120, 5 396,  84, 1 076,  90, 1 245,,
TABASCO,,,, 36 078,1 022 924, 23 135, 221 009, 20 774, 278 479,,
,BALANCAN,,, 3 115, 174 062, 2 333, 38 597, 2 217, 52 097,,
,CARDENAS,,, 2 189, 36 136, 1 326, 7 600, 1 129, 8 543,,
,CENTLA,,, 2 851, 44 570, 1 736, 10 998, 1 204, 9 430,,
,CENTRO,,, 4 291, 105 723, 2 724, 23 904, 2 238, 26 752,,
,COMALCALCO,,, 1 578, 21 750,  781, 4 632,  701, 4 928,,
,CUNDUACAN,,, 1 261, 24 970,  810, 5 792,  732, 7 587,,
,EMILIANO ZAPATA,,,  438, 35 474,  327, 7 570,  354, 10 190,,
,HUIMANGUILLO,,, 4 833, 141 553, 3 197, 28 155, 3 033, 37 327,,
,JALAPA,,, 1 762, 57 137, 1 114, 11 200, 1 151, 16 931,,
,JALPA DE MENDEZ,,, 1 564, 17 206,  846, 3 791,  792, 4 033,,
,JONUTA,,, 2 188, 59 508, 1 472, 11 763, 1 363, 15 726,,
,MACUSPANA,,, 4 320, 141 170, 2 932, 32 594, 2 573, 33 568,,
,NACAJUCA,,, 1 665, 18 792,  954, 4 762,  669, 4 225,,
,PARAISO,,,  307, 4 291,  161,  964,  151, 1 024,,
,TACOTALPA,,, 1 307, 33 223,  817, 6 585,  842, 10 703,,
,TEAPA,,,  579, 26 017,  351, 5 115,  364, 8 775,,
,TENOSIQUE,,, 1 830, 81 342, 1 254, 16 987, 1 261, 26 640,,
TAMAULIPAS,,,, 29 946, 996 354, 18 451, 209 461, 16 123, 228 544,,
,ABASOLO,,,  537, 20 729,  359, 4 357,  276, 3 976,,
,ALDAMA,,, 2 261, 164 343, 1 734, 35 920, 1 514, 49 801,,
,ALTAMIRA,,,  870, 42 810,  608, 10 782,  548, 10 464,,
,ANTIGUO MORELOS,,,  386, 9 482,  272, 1 932,  249, 2 446,,
,BURGOS,,,  670, 18 184,  408, 2 858,  401, 3 167,,
,BUSTAMANTE,,,  439, 3 107,  190,  504,  190,  622,,
,CAMARGO,,,  409, 11 777,  247, 2 250,  215, 2 209,,
,CASAS,,,  490, 24 199,  367, 5 699,  307, 4 983,,
,CIUDAD MADERO,,,  4,  19,-,-,-,-,,
,CRUILLAS,,,  390, 19 540,  294, 3 715,  303, 4 129,,
,GOMEZ FARIAS,,,  336, 5 400,  174, 1 146,  155,  910,,
,GONZALEZ,,, 1 654, 65 347, 1 146, 12 750, 1 055, 19 175,,
,GÜEMEZ,,,  718, 16 131,  352, 3 666,  272, 3 002,,
,GUERRERO,,,  340, 41 168,  269, 9 348,  242, 7 133,,
,GUSTAVO DIAZ ORDAZ,,,  256, 6 322,  151, 1 648,  128,  983,,
,HIDALGO,,, 1 782, 23 213,  911, 4 394,  911, 4 917,,
,JAUMAVE,,,  686, 7 556,  394, 1 469,  376, 1 696,,
,JIMENEZ,,,  329, 18 727,  187, 3 924,  193, 3 525,,
,LLERA,,, 1 228, 26 401,  776, 5 857,  567, 5 599,,
,MAINERO,,,  335, 3 173,  173,  631,  165,  646,,
,"MANTE,EL",,, 1 510, 22 569, 1 002, 5 177,  776, 4 639,,
,MATAMOROS,,, 1 191, 25 974,  580, 4 009,  476, 4 656,,
,MENDEZ,,,  445, 21 026,  304, 4 030,  277, 4 110,,
,MIER,,,  216, 15 972,  175, 3 404,  130, 2 485,,
,MIGUEL ALEMAN,,,  267, 7 943,  186, 1 863,  134, 1 214,,
,MIQUIHUANA,,,  226, 1 942,  114,  362,  118,  422,,
,NUEVO LAREDO,,,  435, 17 926,  313, 3 673,  285, 3 727,,
,NUEVO MORELOS,,,  150, 3 630,  80,  448,  72, 1 470,,
,OCAMPO,,,  911, 15 231,  497, 2 771,  520, 3 503,,
,PADILLA,,,  403, 9 301,  201, 1 824,  177, 2 014,,
,PALMILLAS,,,  188, 2 406,  122,  443,  132,  630,,
,REYNOSA,,,  723, 38 505,  444, 8 246,  365, 8 792,,
,RIO BRAVO,,,  658, 5 098,  343, 1 070,  283, 1 175,,
,SAN CARLOS,,, 1 189, 28 388,  784, 6 005,  612, 5 478,,
,SAN FERNANDO,,, 1 355, 40 025,  829, 7 815,  709, 6 576,,
,SAN NICOLAS,,,  115, 2 772,  55,  400,  55,  528,,
,SOTO LA MARINA,,, 1 209, 146 998,  885, 31 467,  789, 35 954,,
,TAMPICO,,,  12,  43,  4,  5,  3,  5,,
,TULA,,, 1 642, 13 440,  742, 2 286,  720, 2 837,,
,VALLE HERMOSO,,,  418, 3 085,  234,  685,  165,  575,,
,VICTORIA,,, 1 054, 14 463,  570, 3 027,  452, 2 701,,
,VILLAGRAN,,,  895, 21 978,  632, 5 413,  482, 3 502,,
,XICOTENCATL,,,  614, 10 011,  343, 2 188,  324, 2 168,,
TLAXCALA,,,, 16 070, 70 298, 6 085, 14 569, 4 789, 14 642,,
,AMAXAC DE GUERRERO,,,  71,  258,  25,  40,  32,  52,,
,APETATITLAN DE ANTONIO CARVAJAL,,,  53,  182,  21,  37,  16,  31,,
,ATLANGATEPEC,,,  321, 2 922,  134,  464,  147,  941,,
,ALTZAYANCA,,,  546, 1 934,  171,  335,  187,  407,,
,APIZACO,,,  541, 2 154,  254,  565,  132,  320,,
,CALPULALPAN,,,  226, 1 455,  108,  254,  70,  440,,
,"CARMEN TEQUEXQUITLA, EL",,,  107,  521,  42,  95,  44,  180,,
,CUAPIAXTLA,,,  157, 1 025,  52,  179,  61,  226,,
,CUAXOMULCO,,,  197,  860,  100,  197,  25,  85,,
,CHIAUTEMPAN,,,  536, 1 836,  90,  172,  86,  201,,
,MUÑOZ DE DOMINGO ARENAS,,,  182,  936,  67,  188,  70,  177,,
,ESPAÑITA,,,  217,  836,  93,  155,  83,  193,,
,HUAMANTLA,,,  502, 5 635,  162, 1 133,  195, 1 789,,
,HUEYOTLIPAN,,,  405, 1 380,  170,  262,  163,  312,,
,IXTACUIXTLA DE MARIANO MATAMOROS,,, 1 215, 4 736,  464,  989,  315,  986,,
,IXTENCO,,,  42,  166,  12,  26,  25,  49,,
,MAZATECOCHCO DE JOSE MARIA MORELOS,,,  83,  238,  26,  41,  21,  48,,
,CONTLA DE JUAN CUAMATZI,,,  53,  143,*,  24,  10,  15,,
,TEPETITLA DE LARDIZABAL,,,  325, 1 130,  144,  315,  89,  203,,
,SANCTORUM DE LAZARO CARDENAS,,,  154,  667,  58,  125,  49,  95,,
,NANACAMILPA DE MARIANO ARISTA,,,  144,  880,  63,  133,  63,  256,,
,ACUAMANALA DE MIGUEL HIDALGO,,,  216,  522,  62,  85,  29,  51,,
,NATIVITAS,,, 1 592, 5 809,  763, 1 663,  469, 1 085,,
,PANOTLA,,,  702, 2 253,  310,  537,  211,  395,,
,SAN PABLO DEL MONTE,,,  366, 1 167,  99,  213,  120,  238,,
,SANTA CRUZ TLAXCALA,,,  177,  562,  66,  105,  49,  104,,
,TENANCINGO,,,  178,  435,  66,  127,  29,  59,,
,TEOLOCHOLCO,,,  145,  508,  28,  55,  30,  69,,
,TEPEYANCO,,,  311,  869,  83,  155,  70,  110,,
,TERRENATE,,,  530, 3 272,  196,  601,  202,  937,,
,TETLA,,,  557, 3 703,  228, 1 193,  193,  603,,
,TETLATLAHUCA,,, 1 319, 6 473,  634, 1 426,  436, 1 227,,
,TLAXCALA,,,  328, 1 180,  105,  175,  89,  260,,
,TLAXCO,,, 1 075, 5 382,  426, 1 168,  321, 1 192,,
,TOCATLAN,,,  62,  168,  21,  28,  20,  30,,
,TOTOLAC,,,  81,  280,  23,  34,  17,  34,,
,ZITLALTEPEC DE TRINIDAD SANCHEZ S.,,,  32,  76,*,  2,  5,  7,,
,TZOMPANTEPEC,,,  429, 1 555,  139,  287,  115,  239,,
,XALOZTOC,,,  247,  680,  78,  125,  93,  204,,
,XALTOCAN,,,  400, 1 813,  139,  213,  113,  193,,
,PAPALOTLA DE XICOHTENCATL,,,  232,  605,  76,  136,  59,  92,,
,XICOTZINGO,,,  69,  285,  20,  62,  13,  34,,
,YAUHQUEMEHCAN,,,  277, 1 088,  99,  151,  87,  236,,
,ZACATELCO,,,  668, 1 719,  156,  299,  136,  237,,
VERACRUZ,,,, 128 726,2 532 676, 77 126, 544 841, 70 275, 715 931,,
,ACAJETE,,,  416, 3 642,  220,  666,  205,  879,,
,ACATLAN,,,  157, 1 223,  116,  324,  83,  295,,
,ACAYUCAN,,, 1 631, 34 020, 1 135, 7 812,  951, 8 867,,
,ACTOPAN,,, 1 644, 29 084, 1 064, 6 643,  891, 7 206,,
,ACULA,,,  190, 4 432,  120,  826,  100,  948,,
,ACULTZINGO,,,  763, 2 636,  222,  354,  144,  270,,
,CAMARON DE TEJEDA,,,  438, 6 913,  289, 1 587,  240, 1 592,,
,ALPATLAHUAC,,,  207,  598,  78,  102,  76,  127,,
,ALTO LUCERO,,, 1 118, 23 580,  750, 5 630,  638, 5 656,,
,ALTOTONGA,,, 1 494, 7 168,  629, 1 298,  597, 1 702,,
,ALVARADO,,, 1 223, 31 294,  943, 7 171,  745, 8 622,,
,AMATITLAN,,,  233, 4 255,  154,  824,  156, 1 010,,
,AMATLAN TUXPAN,,,  290, 8 059,  182, 1 761,  192, 2 357,,
,AMATLAN DE LOS REYES,,,  243,  813,  81,  166,  67,  150,,
,ANGEL R. CABADA,,, 1 233, 27 926,  871, 6 904,  782, 8 020,,
,"ANTIGUA, LA",,,  230, 4 844,  146, 1 445,  113,  825,,
,APAZAPAN,,,  250, 1 656,  107,  280,  86,  254,,
,AQUILA,,,  158,  601,  72,  98,  32,  56,,
,ASTACINGA,,,  356,  914,  46,  56,  61,  81,,
,ATLAHUILCO,,,  48,  108,  4,  4,  10,  16,,
,ATOYAC,,,  93,  778,  23,  75,  38,  222,,
,ATZACAN,,,  252,  882,  105,  198,  79,  136,,
,ATZALAN,,, 1 215, 14 682,  627, 2 573,  637, 4 917,,
,TLALTETELA,,,  171, 1 576,  86,  310,  73,  298,,
,AYAHUALULCO,,,  159,  782,  59,  125,  67,  239,,
,BANDERILLA,,,  191, 1 724,  92,  357,  80,  360,,
,BENITO JUAREZ,,,  527, 4 840,  220,  812,  273, 1 084,,
,BOCA DEL RIO,,,  76, 1 231,  57,  337,  47,  369,,
,CALCAHUALCO,,,  98,  344,  33,  55,  38,  62,,
,CAMERINO Z. MENDOZA,,,  23,  168,*,  16,  4,  34,,
,CARRILLO PUERTO,,,  614, 4 978,  187,  769,  192,  976,,
,CATEMACO,,, 1 215, 22 274,  773, 5 166,  716, 6 082,,
,CAZONES DE HERRERA,,,  502, 10 348,  291, 2 336,  290, 3 185,,
,CERRO AZUL,,,  285, 4 628,  178, 1 181,  150, 1 146,,
,CITLALTEPETL,,,  265, 3 702,  170, 1 115,  124,  711,,
,COACOATZINTLA,,,  249, 1 580,  143,  385,  83,  288,,
,COAHUITLAN,,,  26, 1 940,  14,  312,  17,  873,,
,COATEPEC,,,  297, 2 575,  154,  459,  131,  575,,
,COATZACOALCOS,,,  200, 6 537,  122, 1 041,  128, 1 808,,
,COATZINTLA,,,  561, 15 688,  298, 2 650,  298, 6 772,,
,COETZALA,,,  5,  19,  4,  6,*,  2,,
,COLIPA,,,  325, 6 926,  227, 1 767,  196, 2 234,,
,COMAPA,,,  604, 8 844,  330, 1 761,  277, 1 897,,
,CORDOBA,,,  207, 1 267,  65,  167,  63,  408,,
,COSAMALOAPAN,,,  939, 19 395,  576, 3 837,  553, 4 634,,
