"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,IXTLAHUACAN,,,  384, 8 025,  265, 1 713,  251, 2 241,,
,MANZANILLO,,, 1 295, 26 670,  968, 6 028,  882, 6 771,,
,MINATITLAN,,,  535, 9 893,  378, 2 253,  333, 2 693,,
,TECOMAN,,,  628, 16 212,  414, 3 590,  346, 4 717,,
,VILLA DE ALVAREZ,,,  297, 10 087,  220, 2 357,  212, 3 272,,
CHIAPAS,,,, 87 888,1 664 194, 46 254, 344 949, 44 444, 419 008,,
,ACACOYAGUA,,,  304, 6 750,  202, 1 987,  169, 1 638,,
,ACALA,,,  655, 9 647,  224, 1 718,  229, 1 930,,
,ACAPETAHUA,,,  931, 40 723,  644, 9 246,  640, 14 127,,
,ALTAMIRANO,,, 1 389, 17 083,  662, 2 616,  635, 3 672,,
,AMATAN,,,  517, 7 058,  297, 1 286,  334, 1 631,,
,AMATENANGO DE LA FRONTERA,,,  102,  880,  43,  145,  42,  216,,
,AMATENANGO DEL VALLE,,,  246, 1 664,  73,  204,  75,  264,,
,ANGEL ALBINO CORZO,,,  649, 10 424,  380, 1 849,  371, 2 281,,
,ARRIAGA,,, 1 068, 30 779,  829, 8 025,  688, 7 715,,
,BEJUCAL DE OCAMPO,,,  127,  480,  45,  78,  47,  89,,
,BELLA VISTA,,,  232, 1 256,  85,  216,  111,  274,,
,BERRIOZABAL,,,  405, 7 710,  219, 1 507,  198, 1 732,,
,BOCHIL,,,  800, 5 354,  379, 1 112,  368, 1 103,,
,"BOSQUE, EL",,,  188, 1 873,  56,  277,  72,  559,,
,CACAHOATAN,,,  24,  256,  7,  49,  11,  56,,
,CATAZAJA,,, 1 157, 37 651,  748, 6 678,  781, 11 302,,
