"UNIDADES DE PRODUCCIÓN CON CULTIVO PRINCIPAL PERENNE, SEGÚN SUPERFICIE, GRADO DE DESARROLLO DE LA PLANTACIÓN ",,,,,,,CUADRO  9,,,,,,
"Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,UNIDADADES  DE PRODUCCIÓN,SUPERFICIE,,,PRDODUCCIÓN OBTENIDA (TON),,,,,,
,,,,TOTAL   (HA),PLANTACIONES,,,,,,,,
,,,,,EN DESARROLLO  (HA),EN PRODUCCIÓN (HA),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALFALFA,,,,,,,,,,,,,
,ALDAMA,,  144,  804.47,  9.01,  795.46, 23 789.12,,,,,,
,ALLENDE,,  67,  157.53,  1.19,  156.34, 4 279.49,,,,,,
,ASCENSION,,  22,  221.50,-,  221.50, 8 958.61,,,,,,
,BALLEZA,,*,  0.33,-,  0.33,  3.62,,,,,,
,BUENAVENTURA,,  234, 1 482.35,  85.97, 1 396.37, 42 207.83,,,,,,
,CAMARGO,,  280, 1 882.20,  278.24, 1 603.96, 63 149.08,,,,,,
,CASAS GRANDES,,  268, 1 569.89,  43.00, 1 526.89, 61 311.61,,,,,,
,CORONADO,,  53,  408.50,  4.00,  404.50, 10 464.63,,,,,,
,COYAME,,  3,  8.50,-,  8.50,  10.73,,,,,,
,"CRUZ, LA",,  111,  332.45,  59.08,  273.37, 8 142.68,,,,,,
,CUAUHTEMOC,,*,  1.00,  1.00,-,-,,,,,,
,CHIHUAHUA,,  74,  486.93,  16.00,  470.93, 9 926.42,,,,,,
,CHINIPAS,,*,  2.00,-,  2.00,  32.20,,,,,,
,DELICIAS,,  394, 4 121.15,  115.60, 4 005.55, 205 770.52,,,,,,
,DOCTOR BELISARIO DOMINGUEZ,,*,  4.00,-,  4.00,  558.17,,,,,,
,GALEANA,,  85,  511.98,  10.50,  501.48, 21 340.23,,,,,,
,GENERAL TRIAS,,*,  5.75,-,  5.75,  69.77,,,,,,
,GRAN MORELOS,,  7,  6.00,-,  6.00,  143.73,,,,,,
,GUADALUPE,,  180, 1 296.09,  21.50, 1 274.59, 35 534.49,,,,,,
,GUAZAPARES,,  3,  1.51,-,  1.51,  27.73,,,,,,
,HIDALGO DEL PARRAL,,  8,  29.00,-,  29.00, 1 553.92,,,,,,
,JANOS,,  98,  466.30,  7.76,  458.54, 23 188.67,,,,,,
,JIMENEZ,,  250, 3 686.60,  111.25, 3 575.35, 83 567.01,,,,,,
,JUAREZ,,  301, 1 465.71,  2.02, 1 463.69, 56 270.11,,,,,,
,JULIMES,,  158,  680.55,  68.50,  612.05, 31 922.38,,,,,,
,LOPEZ,,  223, 1 154.42,  30.00, 1 124.42, 37 492.40,,,,,,
,MANUEL BENAVIDES,,  6,  4.33,-,  4.33,  17.91,,,,,,
,MATACHI,,*,  1.00,-,  1.00,  13.42,,,,,,
,MATAMOROS,,*,  1.00,-,  1.00,  25.76,,,,,,
,MEOQUI,,  627, 4 650.92,  106.74, 4 544.18, 249 207.53,,,,,,
,MORIS,,*,  0.50,-,  0.50,  32.20,,,,,,
,NAMIQUIPA,,  5,  9.00,-,  9.00,  81.04,,,,,,
,NUEVO CASAS GRANDES,,  64,  418.81,  27.06,  391.75, 15 905.57,,,,,,
,OJINAGA,,  82,  467.85,  79.50,  388.35, 6 955.66,,,,,,
,PRAXEDIS G. GUERRERO,,  108,  824.25,  5.00,  819.25, 22 445.67,,,,,,
,RIVA PALACIO,,*,  2.00,  0.50,  1.50,  80.51,,,,,,
,ROSALES,,  305, 1 780.68,  8.00, 1 772.68, 80 432.30,,,,,,
,ROSARIO,,*,  6.50,-,  6.50,  81.08,,,,,,
,SAN FRANCISCO DE CONCHOS,,  81,  309.44,  11.75,  297.69, 10 642.58,,,,,,
,SAN FRANCISCO DEL ORO,,*,  3.00,-,  3.00,  16.10,,,,,,
,SATEVO,,  15,  24.25,-,  24.25, 1 042.03,,,,,,
,SAUCILLO,,  540, 3 620.90,  171.98, 3 448.93, 131 560.61,,,,,,
,TEMOSACHI,,  3,  1.08,-,  1.08,  6.01,,,,,,
,VALLE DE ZARAGOZA,,  45,  107.88,  6.72,  101.16, 4 976.60,,,,,,
DISTRITO FEDERAL,,,  82,  45.40,  0.52,  44.89,  773.11,,,,,,
,CUAJIMALPA DE MORELOS,,*,  0.40,-,  0.40,  23.77,,,,,,
,GUSTAVO A. MADERO,,*,  0.09,-,  0.09,  0.43,,,,,,
,IZTAPALAPA,,*,  0.03,-,  0.03,-,,,,,,
,"MAGDALENA CONTRERAS, LA",,  4,  1.07,-,  1.07,  0.80,,,,,,
,MILPA ALTA,,  9,  3.88,-,  3.88,  174.35,,,,,,
,ALVARO OBREGON,,  4,  0.88,  0.02,  0.86,  2.28,,,,,,
,TLAHUAC,,  37,  30.95,  0.50,  30.45,  249.97,,,,,,
,XOCHIMILCO,,  24,  8.10,-,  8.10,  321.50,,,,,,
DURANGO,,, 2 349, 12 601.70,  345.23, 12 256.48, 655 102.83,,,,,,
,CANATLAN,,*,  3.00,-,  3.00,  15.03,,,,,,
,CANELAS,,*,  0.58,-,  0.58,  4.29,,,,,,
,CONETO DE COMONFORT,,*,  0.50,-,  0.50,  1.34,,,,,,
,CUENCAME,,  19,  39.27,  14.05,  25.22,  351.62,,,,,,
,DURANGO,,  108,  266.56,  2.00,  264.56, 7 628.04,,,,,,
,GENERAL SIMON BOLIVAR,,  71,  222.58,-,  222.58, 11 193.94,,,,,,
,GOMEZ PALACIO,,  425, 3 670.60,  63.21, 3 607.38, 241 256.67,,,,,,
,GUADALUPE VICTORIA,,  3,  0.75,-,  0.75,  31.42,,,,,,
,GUANACEVI,,*,  2.00,-,  2.00,  0.38,,,,,,
,HIDALGO,,  4,  12.25,-,  12.25,  545.18,,,,,,
,LERDO,,  934, 4 222.35,  112.61, 4 109.75, 224 540.44,,,,,,
,MAPIMI,,  34, 1 164.17,  7.00, 1 157.17, 53 121.68,,,,,,
,MEZQUITAL,,  14,  9.06,  0.50,  8.56,  120.98,,,,,,
,NAZAS,,  351, 1 330.00,  135.03, 1 194.97, 64 322.20,,,,,,
,NOMBRE DE DIOS,,  23,  46.32,  0.15,  46.17,  947.71,,,,,,
,OCAMPO,,  13,  19.98,  2.50,  17.48,  444.88,,,,,,
,"ORO, EL",,  7,  7.52,-,  7.52,  140.73,,,,,,
,PEÑON BLANCO,,  22,  14.85,-,  14.85,  487.72,,,,,,
,POANAS,,  53,  28.85,  0.89,  27.96,  624.40,,,,,,
,PUEBLO NUEVO,,*,  1.00,-,  1.00,  0.25,,,,,,
,RODEO,,  59,  50.81,  1.65,  49.15, 1 791.87,,,,,,
,SAN BERNARDO,,*,  0.55,-,  0.55,  1.34,,,,,,
,SAN JUAN DE GUADALUPE,,  65,  62.84,  4.88,  57.96,  369.62,,,,,,
,SAN JUAN DEL RIO,,  24,  13.03,  0.75,  12.28,  239.25,,,,,,
,SAN PEDRO DEL GALLO,,*,  14.00,-,  14.00,  161.01,,,,,,
,SANTA CLARA,,  12,  11.31,-,  11.31,  175.59,,,,,,
,SANTIAGO PAPASQUIARO,,  40,  70.31,-,  70.31, 1 249.89,,,,,,
,SUCHIL,,  3,  8.00,-,  8.00,  53.67,,,,,,
,TEPEHUANES,,  14,  20.01,-,  20.01,  327.14,,,,,,
,TLAHUALILO,,  30, 1 273.81,-, 1 273.81, 44 803.81,,,,,,
,VICENTE GUERRERO,,  5,  7.54,-,  7.54,  96.36,,,,,,
,NUEVO IDEAL,,  6,  7.31,-,  7.31,  54.38,,,,,,
GUANAJUATO,,, 8 489, 45 608.17, 2 356.58, 43 251.59,1 691 258.62,,,,,,
,ABASOLO,,  283, 1 341.08,  70.25, 1 270.83, 48 924.78,,,,,,
,ACAMBARO,,  106,  217.52,  11.10,  206.42, 6 038.76,,,,,,
,ALLENDE,,  316, 4 308.22,  136.50, 4 171.72, 141 526.29,,,,,,
,APASEO EL ALTO,,  109,  573.72,  10.66,  563.07, 16 172.04,,,,,,
,APASEO EL GRANDE,,  478, 3 401.28,  190.00, 3 211.28, 164 962.73,,,,,,
,CELAYA,, 1 989, 7 490.99,  404.58, 7 086.41, 351 907.71,,,,,,
,MANUEL DOBLADO,,  68,  204.75,  31.40,  173.35, 5 714.13,,,,,,
,COMONFORT,,  196,  739.17,  42.95,  696.22, 24 942.13,,,,,,
,CORTAZAR,,  193,  469.57,  19.90,  449.67, 20 082.94,,,,,,
,CUERAMARO,,  23,  100.23,  4.50,  95.73, 1 241.95,,,,,,
,DOCTOR MORA,,  102,  970.10,  14.00,  956.10, 40 656.60,,,,,,
,DOLORES HIDALGO,,  570, 5 085.77,  121.87, 4 963.90, 201 858.97,,,,,,
,GUANAJUATO,,  61,  56.85,  2.73,  54.13, 1 346.55,,,,,,
,HUANIMARO,,  26,  72.61,-,  72.61, 1 154.40,,,,,,
,IRAPUATO,,  352,  964.60,  24.05,  940.55, 22 644.52,,,,,,
,JARAL DEL PROGRESO,,  158,  310.51,  15.10,  295.41, 14 951.82,,,,,,
,JERECUARO,,  14,  38.20,-,  38.20,  947.01,,,,,,
,LEON,,  319, 1 739.25,  66.38, 1 672.88, 62 445.62,,,,,,
,MOROLEON,,*,  10.00,  9.00,  1.00,  53.67,,,,,,
,OCAMPO,,  6,  10.27,  4.83,  5.44,  59.04,,,,,,
,PENJAMO,,  35,  109.30,-,  109.30, 4 798.51,,,,,,
,PUEBLO NUEVO,,  34,  43.68,  1.00,  42.68,  661.18,,,,,,
,PURISIMA DEL RINCON,,  69,  289.62,  6.25,  283.37, 10 208.02,,,,,,
,ROMITA,,  218,  468.66,  9.00,  459.66, 7 155.63,,,,,,
,SALAMANCA,,  82,  295.03,-,  295.03, 12 574.82,,,,,,
,SALVATIERRA,,  138,  371.57,  3.11,  368.46, 13 696.93,,,,,,
,SAN DIEGO DE LA UNION,,  64,  937.76,  74.51,  863.25, 8 503.77,,,,,,
,SAN FELIPE,,  477, 3 022.07,  182.25, 2 839.82, 157 302.68,,,,,,
,SAN FRANCISCO DEL RINCON,,  136,  450.12,  24.50,  425.62, 11 127.70,,,,,,
,SAN JOSE ITURBIDE,,  157, 2 921.56,  446.50, 2 475.06, 61 091.41,,,,,,
,SAN LUIS DE LA PAZ,,  301, 3 581.07,  141.52, 3 439.55, 110 582.83,,,,,,
,SANTA CRUZ DE JUVENTINO ROSAS,,  150, 1 127.16,  3.50, 1 123.66, 48 956.20,,,,,,
,SANTIAGO MARAVATIO,,  6,  5.30,-,  5.30,  45.95,,,,,,
,SILAO,,  500, 1 645.21,  181.05, 1 464.16, 43 608.84,,,,,,
,TARANDACUAO,,  18,  10.95,-,  10.95,  362.67,,,,,,
,TARIMORO,,  323, 1 187.69,  72.18, 1 115.52, 40 124.59,,,,,,
,URIANGATO,,  27,  100.75,  4.00,  96.75, 3 134.05,,,,,,
,VALLE DE SANTIAGO,,  251,  529.77,  17.85,  511.92, 19 355.14,,,,,,
,VICTORIA,,  7,  12.54,  0.29,  12.25,  42.94,,,,,,
,VILLAGRAN,,  108,  362.75,  7.55,  355.20, 9 309.62,,,,,,
,YURIRIA,,  17,  30.92,  1.75,  29.17,  983.49,,,,,,
GUERRERO,,,  27,  17.55,  0.37,  17.18,  128.95,,,,,,
,ALPOYECA,,*,  1.00,-,  1.00,  16.10,,,,,,
,COPALA,,*,  2.00,-,  2.00,  0.75,,,,,,
,COPANATOYAC,,*,  0.12,  0.12,-,-,,,,,,
,CHILPANCINGO DE LOS BRAVO,,  5,  3.06,-,  3.06,  3.54,,,,,,
,FLORENCIO VILLARREAL,,*,  1.00,-,  1.00,-,,,,,,
,TIXTLA DE GUERRERO,,  7,  2.37,  0.25,  2.12,  9.58,,,,,,
,TLAPA DE COMONFORT,,*,  1.00,-,  1.00,  0.18,,,,,,
,XOCHISTLAHUACA,,*,  0.25,-,  0.25,  1.34,,,,,,
,ZAPOTITLAN TABLAS,,*,  0.75,-,  0.75,  20.00,,,,,,
,EDUARDO NERI,,  7,  6.00,-,  6.00,  77.46,,,,,,
,HIDALGO,, 9 659, 16 818.29,  237.58, 16 580.70, 872 762.56,,,,,,
,ACATLAN,,  163,  374.59,  12.00,  362.59, 8 830.80,,,,,,
,ACAXOCHITLAN,,  7,  13.50,  10.00,  3.50,  122.12,,,,,,
,ACTOPAN,,  238,  630.37,  9.35,  621.02, 33 851.46,,,,,,
,AGUA BLANCA DE ITURBIDE,,*,  0.25,  0.25,-,-,,,,,,
,AJACUBA,,  7,  10.50,-,  10.50,  69.77,,,,,,
,ALFAJAYUCAN,,  615, 1 027.03,  19.14, 1 007.89, 58 902.21,,,,,,
,ALMOLOYA,,*,  1.50,-,  1.50,  107.34,,,,,,
,APAN,,*,  5.00,-,  5.00,  93.92,,,,,,
,"ARENAL, EL",,  30,  93.75,  1.00,  92.75, 5 280.21,,,,,,
,ATITALAQUIA,,  224,  365.39,  0.40,  364.99, 13 447.21,,,,,,
,ATOTONILCO EL GRANDE,,  7,  4.70,-,  4.70,  110.02,,,,,,
,ATOTONILCO DE TULA,,  6,  8.13,-,  8.13,  137.62,,,,,,
,CARDONAL,,  12,  19.01,  0.01,  19.00,  295.18,,,,,,
,CUAUTEPEC DE HINOJOSA,,  114,  159.22,  7.52,  151.70, 4 381.05,,,,,,
,CHAPANTONGO,,  6,  3.79,  0.04,  3.75,  118.07,,,,,,
,CHILCUAUTLA,,  122,  205.64,  0.15,  205.49, 4 348.97,,,,,,
,ELOXOCHITLAN,,  3,  0.70,-,  0.70,  9.66,,,,,,
,EMILIANO ZAPATA,,*,  30.00,-,  30.00,-,,,,,,
,EPAZOYUCAN,,*,  4.00,  3.00,  1.00,  10.73,,,,,,
,FRANCISCO I. MADERO,,  541, 1 036.06,  35.83, 1 000.23, 42 646.69,,,,,,
,HUASCA DE OCAMPO,,  5,  2.70,  1.00,  1.70,  44.44,,,,,,
,HUICHAPAN,,  6,  4.25,-,  4.25,  214.73,,,,,,
,IXMIQUILPAN,, 1 343, 2 202.92,  19.06, 2 183.86, 94 035.80,,,,,,
,METEPEC,,  100,  240.52,  9.75,  230.77, 6 599.77,,,,,,
,SAN AGUSTIN METZQUITITLAN,,  6,  14.00,  1.50,  12.50,  236.41,,,,,,
,METZTITLAN,,  5,  7.25,  0.20,  7.05,  333.83,,,,,,
,MIXQUIAHUALA DE JUAREZ,,  548, 1 624.33,-, 1 624.33, 136 577.20,,,,,,
,MOLANGO DE ESCAMILLA,,*,  6.00,-,  6.00,  75.14,,,,,,
,NOPALA DE VILLAGRAN,,*,  3.00,-,  3.00,  21.47,,,,,,
,SAN FELIPE ORIZATLAN,,*,  2.50,  1.50,  1.00,  10.73,,,,,,
,PACHUCA DE SOTO,,  56,  108.88,-,  108.88, 3 273.99,,,,,,
,PROGRESO DE OBREGON,,  92,  320.72,-,  320.72, 28 392.75,,,,,,
,MINERAL DE LA REFORMA,,  15,  38.50,  7.00,  31.50,  414.33,,,,,,
,SAN AGUSTIN TLAXIACA,,*,  10.00,-,  10.00,  96.61,,,,,,
,SAN SALVADOR,, 1 509, 1 939.19,  3.53, 1 935.66, 107 521.47,,,,,,
,SANTIAGO DE ANAYA,,  272,  319.47,  1.60,  317.87, 8 507.05,,,,,,
,SANTIAGO TULANTEPEC DE LUGO GUERRERO,,  19,  48.50,-,  48.50, 1 449.74,,,,,,
,TASQUILLO,,  286,  387.90,  30.80,  357.10, 12 375.19,,,,,,
,TECOZAUTLA,,  362,  605.92,  15.50,  590.43, 30 454.07,,,,,,
,TEPEAPULCO,,  4,  2.83,-,  2.83,  187.31,,,,,,
,TEPEJI DEL RIO DE OCAMPO,,  61,  110.84,  4.10,  106.74, 2 286.28,,,,,,
,TEPETITLAN,,  62,  129.37,  2.40,  126.97, 2 078.20,,,,,,
,TETEPANGO,,  86,  107.37,  2.00,  105.37, 3 641.61,,,,,,
,VILLA DE TEZONTEPEC,,  3,  14.54,  1.54,  13.00,  295.19,,,,,,
,TEZONTEPEC DE ALDAMA,, 1 375, 1 575.66,  0.99, 1 574.67, 109 818.52,,,,,,
,TIZAYUCA,,  17,  60.90,-,  60.90, 1 260.00,,,,,,
,TLAHUELILPAN,,  196,  403.36,  2.00,  401.36, 24 622.82,,,,,,
,TLANALAPA,,  11,  16.50,  11.00,  5.50,  65.48,,,,,,
,TLAXCOAPAN,,  362,  619.23,  0.25,  618.98, 40 727.29,,,,,,
,TULA DE ALLENDE,,  525, 1 344.57,  7.49, 1 337.08, 62 241.17,,,,,,
