,"MÉDICOS POR CADA 1,000 HABITANTES A NIVEL MUNICIPAL, 2005-2009",,,,,LEER NOTA,,
06001,COLIMA,Armería,1.2,1.2,1.3,1.2,1.1,1.0
06002,COLIMA,Colima,4.9,5.0,5.3,5.8,5.5,5.9
06003,COLIMA,Comala,1.1,1.3,1.2,1.2,1.2,1.0
06004,COLIMA,Coquimatlán,1.2,1.2,1.3,1.1,1.3,1.2
06005,COLIMA,Cuauhtémoc,1.2,1.6,1.6,1.5,1.6,1.5
06006,COLIMA,Ixtlahuacán,4.8,4.9,5.0,5.3,5.3,5.3
06007,COLIMA,Manzanillo,2.7,2.6,2.6,2.7,2.6,2.6
06008,COLIMA,Minatitlán,2.7,2.9,2.8,2.9,3.0,2.9
06009,COLIMA,Tecomán,1.9,1.8,2.0,2.0,1.9,1.7
06010,COLIMA,Villa de Álvarez,0.3,0.5,0.5,0.5,0.5,0.5
07001,CHIAPAS,Acacoyagua,0.3,0.3,0.2,0.2,0.2,0.2
07002,CHIAPAS,Acala,0.8,0.8,1.6,1.6,1.5,1.5
07003,CHIAPAS,Acapetahua,0.7,0.6,0.7,0.7,0.8,0.7
07004,CHIAPAS,Altamirano,1.4,1.3,1.2,1.1,1.3,1.2
07005,CHIAPAS,Amatán,0.4,0.3,0.1,0.1,0.2,0.2
07006,CHIAPAS,Amatenango de la Frontera,0.4,0.4,0.4,0.5,0.4,0.3
07007,CHIAPAS,Amatenango del Valle,0.5,0.5,0.2,0.3,0.5,0.5
07008,CHIAPAS,Angel Albino Corzo,0.6,0.6,0.7,0.8,1.0,0.8
07009,CHIAPAS,Arriaga,1.9,2.0,2.2,2.1,2.1,2.3
07010,CHIAPAS,Bejucal de Ocampo,0.3,0.3,0.3,0.5,0.3,0.3
07011,CHIAPAS,Bella Vista,0.6,0.6,0.7,1.2,0.7,0.6
07012,CHIAPAS,Berriozábal,0.3,0.3,0.3,0.3,0.3,0.3
07013,CHIAPAS,Bochil,1.4,1.3,1.3,1.2,1.6,2.0
07014,CHIAPAS,El Bosque,0.8,0.8,0.2,0.2,0.4,0.3
07015,CHIAPAS,Cacahoatán,0.5,0.6,0.6,0.6,0.7,0.6
07016,CHIAPAS,Catazajá,0.9,0.9,0.9,0.9,0.9,0.9
07017,CHIAPAS,Cintalapa,0.7,0.7,0.8,0.8,0.9,0.8
07018,CHIAPAS,Coapilla,0.3,0.3,0.2,0.2,0.2,0.1
07019,CHIAPAS,Comitán de Domínguez,1.6,1.6,1.8,1.5,2.2,2.0
07020,CHIAPAS,La Concordia,0.5,0.5,0.6,0.7,0.6,0.6
07021,CHIAPAS,Copainalá,0.6,0.6,0.2,0.6,0.7,0.6
07022,CHIAPAS,Chalchihuitán,0.4,0.4,0.3,0.3,0.5,0.4
