,,UNIDADES DE PRODUCCIÓN RURALES CON SUPERFICIE AGRÍCOLA,,,,LM368_01,,,,,,
,,"POR ENTIDAD, MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,,,,,,,,
,,,,,,,,,,,,
,,"ENTIDAD,  MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,UNIDADES DE PRODUCCIÓN,SUPERFICIE AGRÍCOLA                                      (HA),,,,,,
,,,,,,,,,,,,
Ent,Mun,,,,,,,,,,,
,,,,,,,,,,,,
,,ESTADOS UNIDOS MEXICANOS,,,3 794 025,30 537 701.74,,,,,,
01,,,,MAS DE    2 HASTA    5 HA.,  366, 1 407.81,,,,,,
01,,,,MAS DE    5 HASTA   20 HA.,  636, 5 014.13,,,,,,
01,,,,MAS DE   20 HASTA   50 HA.,  27,  727.21,,,,,,
01,,,,MAS DE   50 HASTA  100 HA.,*,  379.55,,,,,,
01,,,,MAS DE  100 HASTA 1000 HA.,*,  29.00,,,,,,
02,,BAJA CALIFORNIA,,, 10 868, 297 518.71,,,,,,
02,,,,HASTA    2 HA.,  545,  667.79,,,,,,
02,,,,MAS DE    2 HASTA    5 HA.,  567, 1 802.78,,,,,,
02,,,,MAS DE    5 HASTA   20 HA., 6 449, 101 315.54,,,,,,
02,,,,MAS DE   20 HASTA   50 HA., 2 207, 52 844.91,,,,,,
02,,,,MAS DE   50 HASTA  100 HA.,  411, 22 784.03,,,,,,
02,,,,MAS DE  100 HASTA 1000 HA.,  612, 81 883.11,,,,,,
02,,,,MAS DE 1000 HASTA 2500 HA.,  51, 18 620.84,,,,,,
02,,,,MAS DE 2500 HA.,  26, 17 599.73,,,,,,
02,001,,ENSENADA,, 2 760, 118 749.49,,,,,,
02,,,,HASTA    2 HA.,  119,  172.30,,,,,,
02,,,,MAS DE    2 HASTA    5 HA.,  151,  385.26,,,,,,
02,,,,MAS DE    5 HASTA   20 HA., 1 165, 17 231.22,,,,,,
02,,,,MAS DE   20 HASTA   50 HA.,  741, 15 712.39,,,,,,
02,,,,MAS DE   50 HASTA  100 HA.,  161, 7 839.82,,,,,,
02,,,,MAS DE  100 HASTA 1000 HA.,  380, 50 683.56,,,,,,
02,,,,MAS DE 1000 HASTA 2500 HA.,  30, 13 732.71,,,,,,
02,,,,MAS DE 2500 HA.,  13, 12 992.23,,,,,,
02,002,,MEXICALI,, 7 001, 154 776.84,,,,,,
02,,,,HASTA    2 HA.,  195,  252.55,,,,,,
02,,,,MAS DE    2 HASTA    5 HA.,  284, 1 095.59,,,,,,
02,,,,MAS DE    5 HASTA   20 HA., 5 005, 81 699.98,,,,,,
02,,,,MAS DE   20 HASTA   50 HA., 1 203, 30 921.66,,,,,,
02,,,,MAS DE   50 HASTA  100 HA.,  193, 13 166.64,,,,,,
02,,,,MAS DE  100 HASTA 1000 HA.,  112, 25 160.41,,,,,,
02,,,,MAS DE 1000 HASTA 2500 HA.,*,  103.00,,,,,,
02,,,,MAS DE 2500 HA.,*, 2 377.00,,,,,,
02,003,,TECATE,,  335, 8 787.54,,,,,,
02,,,,HASTA    2 HA.,  63,  48.22,,,,,,
02,,,,MAS DE    2 HASTA    5 HA.,  38,  73.47,,,,,,
02,,,,MAS DE    5 HASTA   20 HA.,  79,  289.24,,,,,,
02,,,,MAS DE   20 HASTA   50 HA.,  50,  692.42,,,,,,
02,,,,MAS DE   50 HASTA  100 HA.,  28,  531.17,,,,,,
02,,,,MAS DE  100 HASTA 1000 HA.,  60, 1 771.45,,,,,,
02,,,,MAS DE 1000 HASTA 2500 HA.,  14, 3 328.57,,,,,,
02,,,,MAS DE 2500 HA.,  3, 2 053.00,,,,,,
02,004,,TIJUANA,,  772, 15 204.84,,,,,,
02,,,,HASTA    2 HA.,  168,  194.73,,,,,,
02,,,,MAS DE    2 HASTA    5 HA.,  94,  248.45,,,,,,
