,,UNIDADES DE PRODUCCIÓN RURALES CON SUPERFICIE AGRÍCOLA,,,,LM368_01,,,,,,
,,"POR ENTIDAD, MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,,,,,,,,
,,,,,,,,,,,,
,,"ENTIDAD,  MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,UNIDADES DE PRODUCCIÓN,SUPERFICIE AGRÍCOLA                                      (HA),,,,,,
,,,,,,,,,,,,
Ent,Mun,,,,,,,,,,,
,,,,,,,,,,,,
,,ESTADOS UNIDOS MEXICANOS,,,3 794 025,30 537 701.74,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  77, 3 594.26,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  58, 3 710.53,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,  4,  234.00,,,,,,
10,,,,MAS DE 2500 HA.,  3,  433.00,,,,,,
10,012,,LERDO,, 2 201, 16 271.98,,,,,,
10,,,,HASTA    2 HA.,  449,  614.78,,,,,,
10,,,,MAS DE    2 HASTA    5 HA., 1 385, 5 221.91,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  231, 1 844.41,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  64, 1 907.07,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  40, 2 707.50,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,*, 3 922.32,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  54.00,,,,,,
10,013,,MAPIMI,, 1 885, 55 109.71,,,,,,
10,,,,HASTA    2 HA.,  324,  592.52,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  376, 1 601.74,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  900, 8 585.59,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  82, 1 826.39,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  81, 4 521.71,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  92, 12 858.25,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,  15, 4 655.51,,,,,,
10,,,,MAS DE 2500 HA.,  15, 20 468.00,,,,,,
10,014,,MEZQUITAL,, 2 562, 9 883.54,,,,,,
10,,,,HASTA    2 HA., 1 048, 1 633.45,,,,,,
10,,,,MAS DE    2 HASTA    5 HA., 1 116, 3 985.84,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  302, 2 283.85,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  11,  109.60,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  7,  116.75,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  74, 1 700.79,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  25.25,,,,,,
10,,,,MAS DE 2500 HA.,*,  28.00,,,,,,
10,015,,NAZAS,, 1 587, 9 483.17,,,,,,
10,,,,HASTA    2 HA.,  299,  457.71,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  726, 2 505.87,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  501, 3 989.54,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  44, 1 241.73,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  9,  668.55,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,*,  613.77,,,,,,
10,,,,MAS DE 2500 HA.,*,  6.00,,,,,,
10,016,,NOMBRE DE DIOS,, 2 496, 25 088.09,,,,,,
10,,,,HASTA    2 HA.,  279,  338.94,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  600, 2 134.67,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 1 415, 12 197.53,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  121, 3 661.70,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  43, 2 207.94,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  38, 4 547.31,,,,,,
10,017,,OCAMPO,, 1 283, 15 364.05,,,,,,
10,,,,HASTA    2 HA.,  67,  89.53,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  242,  961.14,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  733, 6 890.21,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  124, 3 136.01,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  45, 1 947.30,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  56, 1 870.48,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  395.38,,,,,,
10,,,,MAS DE 2500 HA.,*,  74.00,,,,,,
10,018,,"ORO, EL",, 1 562, 13 665.40,,,,,,
10,,,,HASTA    2 HA.,  29,  49.28,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  365, 1 485.97,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 1 026, 8 560.87,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  63, 1 433.24,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  21,  650.17,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  51, 1 317.74,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,  7,  168.13,,,,,,
10,019,,OTAEZ,,  607, 2 030.73,,,,,,
10,,,,HASTA    2 HA.,  252,  332.14,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  262,  904.61,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  86,  694.66,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  4,  68.83,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,*,  15.50,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  15.00,,,,,,
10,020,,PANUCO DE CORONADO,, 2 028, 25 271.91,,,,,,
10,,,,HASTA    2 HA.,*,  83.00,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  211,  858.54,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 1 505, 13 336.32,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  152, 4 120.48,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  52, 2 776.74,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  58, 4 030.83,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  50.00,,,,,,
10,,,,MAS DE 2500 HA.,*,  16.00,,,,,,
10,021,,PEÑON BLANCO,, 1 044, 21 799.88,,,,,,
10,,,,HASTA    2 HA.,  23,  31.02,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  141,  570.37,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  493, 4 247.16,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  173, 2 774.47,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  84, 2 848.26,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  124, 7 699.35,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  359.27,,,,,,
10,,,,MAS DE 2500 HA.,*, 3 270.00,,,,,,
10,022,,POANAS,, 2 224, 27 553.00,,,,,,
10,,,,HASTA    2 HA.,  226,  348.73,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  414, 1 645.30,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 1 295, 11 543.70,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  190, 5 972.18,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  67, 4 533.39,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,*, 3 367.70,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  97.00,,,,,,
10,,,,MAS DE 2500 HA.,*,  45.00,,,,,,
10,023,,PUEBLO NUEVO,, 2 282, 8 342.85,,,,,,
10,,,,HASTA    2 HA.,  907, 1 361.08,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  968, 3 397.03,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  385, 2 855.19,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  4,  79.25,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*,  29.03,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  15,  461.27,,,,,,
10,,,,MAS DE 2500 HA.,*,  160.00,,,,,,
10,024,,RODEO,, 1 640, 8 904.75,,,,,,
10,,,,HASTA    2 HA.,  197,  303.51,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  855, 3 059.04,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  562, 4 466.64,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  11,  203.01,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*,  16.00,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  11,  525.56,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  19.00,,,,,,
10,,,,MAS DE 2500 HA.,*,  312.00,,,,,,
10,025,,SAN BERNARDO,, 1 174, 8 993.08,,,,,,
10,,,,HASTA    2 HA.,  44,  75.51,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  431, 1 770.88,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  623, 4 678.80,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  18,  337.45,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  7,  265.00,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  45, 1 636.43,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,  6,  229.01,,,,,,
10,026,,SAN DIMAS,, 1 950, 13 302.86,,,,,,
10,,,,HASTA    2 HA.,  571,  913.10,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  883, 3 257.76,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  410, 3 214.52,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  16,  226.98,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*,  27.00,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  57, 3 953.17,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,  6, 1 253.33,,,,,,
10,,,,MAS DE 2500 HA.,*,  457.00,,,,,,
10,027,,SAN JUAN DE GUADALUPE,, 1 216, 6 628.84,,,,,,
10,,,,HASTA    2 HA.,  240,  396.81,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  535, 2 021.76,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  420, 3 689.46,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,*,  452.27,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*,  59.00,,,,,,
10,,,,MAS DE 2500 HA.,*,  9.54,,,,,,
10,028,,SAN JUAN DEL RIO,, 2 168, 21 417.41,,,,,,
10,,,,HASTA    2 HA.,  53,  83.51,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  429, 1 792.24,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 1 521, 12 525.68,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  70, 1 691.88,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*, 1 516.85,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  50, 3 747.26,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  60.00,,,,,,
10,029,,SAN LUIS DEL CORDERO,,  456, 4 957.42,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  23,  88.00,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  375, 3 376.38,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  35,  871.53,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*,  353.00,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  13,  238.50,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  30.00,,,,,,
10,030,,SAN PEDRO DEL GALLO,,  504, 6 889.80,,,,,,
10,,,,HASTA    2 HA.,*,  3.01,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  16,  67.60,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  377, 3 997.46,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  42,  727.33,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  13,  280.54,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  43, 1 108.73,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,  9,  501.13,,,,,,
10,,,,MAS DE 2500 HA.,*,  204.00,,,,,,
10,031,,SANTA CLARA,, 1 142, 17 207.56,,,,,,
10,,,,HASTA    2 HA.,  35,  57.50,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  138,  554.01,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  802, 9 750.80,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  123, 3 707.76,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  26, 1 757.50,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,*, 1 300.00,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  30.00,,,,,,
10,,,,MAS DE 2500 HA.,*,  50.00,,,,,,
10,032,,SANTIAGO PAPASQUIARO,, 4 243, 43 581.01,,,,,,
10,,,,HASTA    2 HA.,  647,  894.12,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  922, 3 471.88,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 2 207, 18 658.85,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  268, 7 175.60,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  81, 3 638.98,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  107, 9 499.34,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  222.25,,,,,,
10,,,,MAS DE 2500 HA.,*,  20.00,,,,,,
10,033,,SUCHIL,,  760, 6 963.99,,,,,,
10,,,,HASTA    2 HA.,  82,  127.08,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  171,  703.50,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  436, 3 675.13,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  46, 1 003.78,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  13,  624.00,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  11,  808.50,,,,,,
10,,,,MAS DE 2500 HA.,*,  22.00,,,,,,
10,034,,TAMAZULA,, 4 174, 27 386.10,,,,,,
10,,,,HASTA    2 HA., 1 539, 2 349.66,,,,,,
10,,,,MAS DE    2 HASTA    5 HA., 1 216, 4 353.06,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 1 069, 10 327.78,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  250, 5 708.73,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  62, 2 907.89,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  37, 1 688.99,,,,,,
10,,,,MAS DE 2500 HA.,*,  50.00,,,,,,
10,035,,TEPEHUANES,, 1 212, 7 111.06,,,,,,
10,,,,HASTA    2 HA.,  174,  239.05,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  349, 1 094.25,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  460, 2 514.00,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  123, 1 241.17,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*,  468.87,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  55, 1 521.73,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  32.00,,,,,,
10,036,,TLAHUALILO,, 2 065, 19 337.77,,,,,,
10,,,,HASTA    2 HA.,  49,  66.55,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  371, 1 169.48,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 1 480, 7 576.75,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  59,  982.15,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  50, 2 007.44,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  49, 6 902.39,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,  4,  430.00,,,,,,
10,,,,MAS DE 2500 HA.,  3,  203.00,,,,,,
10,037,,TOPIA,,  833, 2 333.85,,,,,,
10,,,,HASTA    2 HA.,  443,  516.80,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  256,  777.75,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  79,  478.83,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  12,  92.01,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,*,  53.50,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  30,  330.96,,,,,,
10,,,,MAS DE 2500 HA.,*,  84.00,,,,,,
10,038,,VICENTE GUERRERO,, 1 073, 12 496.36,,,,,,
10,,,,HASTA    2 HA.,  34,  56.51,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  185,  777.54,,,,,,
10,,,,MAS DE    5 HASTA   20 HA.,  715, 6 160.10,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  84, 2 336.21,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  51, 2 867.01,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,  4,  299.00,,,,,,
10,039,,NUEVO IDEAL,, 4 153, 47 290.02,,,,,,
10,,,,HASTA    2 HA.,  159,  275.45,,,,,,
10,,,,MAS DE    2 HASTA    5 HA.,  436, 1 688.91,,,,,,
10,,,,MAS DE    5 HASTA   20 HA., 3 102, 26 917.88,,,,,,
10,,,,MAS DE   20 HASTA   50 HA.,  309, 8 562.99,,,,,,
10,,,,MAS DE   50 HASTA  100 HA.,  119, 6 770.74,,,,,,
10,,,,MAS DE  100 HASTA 1000 HA.,*, 3 067.04,,,,,,
10,,,,MAS DE 1000 HASTA 2500 HA.,*,  7.00,,,,,,
11,,GUANAJUATO,,, 136 037,1 165 355.82,,,,,,
11,,,,HASTA    2 HA., 21 159, 28 238.53,,,,,,
11,,,,MAS DE    2 HASTA    5 HA., 43 365, 162 810.07,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 59 088, 483 080.18,,,,,,
11,,,,MAS DE   20 HASTA   50 HA., 7 288, 166 509.91,,,,,,
11,,,,MAS DE   50 HASTA  100 HA., 3 076, 134 087.98,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA., 2 035, 179 148.61,,,,,,
11,,,,MAS DE 1000 HASTA 2500 HA.,  15, 3 608.00,,,,,,
11,,,,MAS DE 2500 HA.,  11, 7 872.54,,,,,,
11,001,,ABASOLO,, 3 987, 36 917.03,,,,,,
11,,,,HASTA    2 HA.,  579,  865.81,,,,,,
11,,,,MAS DE    2 HASTA    5 HA., 1 220, 4 720.02,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 1 805, 15 479.60,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  273, 7 972.41,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  88, 5 201.85,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  22, 2 677.35,,,,,,
11,002,,ACAMBARO,, 4 989, 40 657.80,,,,,,
11,,,,HASTA    2 HA.,  616,  923.67,,,,,,
11,,,,MAS DE    2 HASTA    5 HA., 1 558, 6 248.76,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 2 538, 21 727.49,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  201, 5 785.66,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  54, 3 146.70,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  22, 2 825.53,,,,,,
11,003,,ALLENDE,, 5 050, 54 829.01,,,,,,
11,,,,HASTA    2 HA.,  472,  727.50,,,,,,
11,,,,MAS DE    2 HASTA    5 HA., 2 080, 7 920.53,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 1 858, 15 293.15,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  289, 7 088.97,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  187, 8 688.90,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,*, 14 084.97,,,,,,
11,,,,MAS DE 1000 HASTA 2500 HA.,*, 1 025.00,,,,,,
11,004,,APASEO EL ALTO,, 2 388, 21 144.61,,,,,,
11,,,,HASTA    2 HA.,  117,  196.75,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  413, 1 545.82,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 1 698, 13 847.01,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  112, 3 020.66,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  40, 2 064.37,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  8,  470.00,,,,,,
11,005,,APASEO EL GRANDE,, 2 388, 23 620.56,,,,,,
11,,,,HASTA    2 HA.,  105,  159.20,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  696, 2 814.54,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 1 442, 11 749.64,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  73, 2 265.98,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  44, 2 956.95,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  28, 3 674.25,,,,,,
11,006,,ATARJEA,,  738, 1 933.32,,,,,,
11,,,,HASTA    2 HA.,  409,  553.24,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  255,  851.13,,,,,,
11,,,,MAS DE    5 HASTA   20 HA.,*,  512.95,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,*,  16.00,,,,,,
11,007,,CELAYA,, 4 310, 28 179.34,,,,,,
11,,,,HASTA    2 HA.,  589,  749.32,,,,,,
11,,,,MAS DE    2 HASTA    5 HA., 2 038, 7 783.92,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 1 472, 11 581.51,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  164, 4 702.11,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  39, 2 453.07,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  8,  909.41,,,,,,
11,008,,MANUEL DOBLADO,, 3 173, 31 618.79,,,,,,
11,,,,HASTA    2 HA.,  175,  255.63,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  717, 2 754.19,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 1 747, 14 651.06,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  305, 5 372.78,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  164, 5 232.88,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  65, 3 352.26,,,,,,
11,009,,COMONFORT,, 2 646, 15 589.14,,,,,,
11,,,,HASTA    2 HA.,  434,  467.62,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  814, 3 079.07,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 1 276, 9 613.17,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  85,  929.19,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  26,  876.55,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  11,  623.54,,,,,,
11,010,,CORONEO,, 1 129, 5 298.29,,,,,,
11,,,,HASTA    2 HA.,  486,  549.44,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  338, 1 009.28,,,,,,
11,,,,MAS DE    5 HASTA   20 HA.,  229, 1 612.41,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  58,  951.25,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  13,  672.33,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  5,  503.58,,,,,,
11,011,,CORTAZAR,, 1 810, 18 429.23,,,,,,
11,,,,HASTA    2 HA.,  179,  269.06,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  602, 2 271.50,,,,,,
11,,,,MAS DE    5 HASTA   20 HA.,  843, 6 983.14,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  110, 2 999.88,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  59, 3 220.65,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  17, 2 685.00,,,,,,
11,012,,CUERAMARO,, 1 863, 10 423.97,,,,,,
11,,,,HASTA    2 HA.,  414,  544.70,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  880, 3 254.55,,,,,,
11,,,,MAS DE    5 HASTA   20 HA.,  464, 3 669.20,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  69, 1 703.66,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  22,  635.85,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  14,  616.00,,,,,,
11,013,,DOCTOR MORA,, 1 389, 12 008.98,,,,,,
11,,,,HASTA    2 HA.,  366,  473.87,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  421, 1 492.30,,,,,,
11,,,,MAS DE    5 HASTA   20 HA.,  506, 4 369.94,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  46, 1 147.91,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  28, 1 303.89,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,*, 2 455.08,,,,,,
11,,,,MAS DE 2500 HA.,*,  766.00,,,,,,
11,014,,DOLORES HIDALGO,, 5 152, 66 071.94,,,,,,
11,,,,HASTA    2 HA.,  577,  822.05,,,,,,
11,,,,MAS DE    2 HASTA    5 HA., 1 318, 4 638.03,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 2 036, 16 108.88,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  724, 13 389.83,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  309, 12 320.50,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  188, 18 792.64,,,,,,
11,015,,GUANAJUATO,, 2 380, 15 373.52,,,,,,
11,,,,HASTA    2 HA.,  554,  647.66,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  648, 2 072.78,,,,,,
11,,,,MAS DE    5 HASTA   20 HA.,  778, 5 277.41,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  229, 2 639.05,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  102, 1 556.03,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  66, 3 130.59,,,,,,
11,,,,MAS DE 1000 HASTA 2500 HA.,  3,  50.00,,,,,,
11,016,,HUANIMARO,, 1 510, 8 560.34,,,,,,
11,,,,HASTA    2 HA.,  223,  322.74,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  625, 2 339.71,,,,,,
11,,,,MAS DE    5 HASTA   20 HA.,  626, 4 747.40,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  31,  847.47,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,*,  273.00,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,*,  30.02,,,,,,
11,017,,IRAPUATO,, 6 401, 46 100.35,,,,,,
11,,,,HASTA    2 HA.,  682,  998.03,,,,,,
11,,,,MAS DE    2 HASTA    5 HA., 2 220, 8 875.29,,,,,,
11,,,,MAS DE    5 HASTA   20 HA., 3 279, 26 108.42,,,,,,
11,,,,MAS DE   20 HASTA   50 HA.,  147, 4 641.09,,,,,,
11,,,,MAS DE   50 HASTA  100 HA.,  55, 3 524.08,,,,,,
11,,,,MAS DE  100 HASTA 1000 HA.,  18, 1 953.45,,,,,,
11,018,,JARAL DEL PROGRESO,, 1 435, 10 702.49,,,,,,
11,,,,HASTA    2 HA.,  293,  372.01,,,,,,
11,,,,MAS DE    2 HASTA    5 HA.,  672, 2 484.89,,,,,,
