"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,JERECUARO,,, 4 949, 2 161, 2 367,*,  419,,,
,LEON,,, 4 713, 1 853, 2 448,*,  411,,,
,MOROLEON,,,  795,  583,  133,-,  79,,,
,OCAMPO,,, 1 850,  344, 1 192,-,  314,,,
,PENJAMO,,, 9 750, 1 995, 7 477,-,  278,,,
,PUEBLO NUEVO,,,  769,  204,  554,*,  10,,,
,PURISIMA DEL RINCON,,, 1 396,  497,  730,-,  169,,,
,ROMITA,,, 3 405, 1 013, 2 176,*,  215,,,
,SALAMANCA,,, 4 395, 1 029, 3 302,  4,  60,,,
,SALVATIERRA,,, 5 104, 1 298, 3 667,*,  137,,,
,SAN DIEGO DE LA UNION,,, 2 253, 1 286,  632,-,  335,,,
,SAN FELIPE,,, 8 267, 3 119, 3 064,*, 2 083,,,
,SAN FRANCISCO DEL RINCON,,, 2 799,  949, 1 633,*,  216,,,
,SAN JOSE ITURBIDE,,, 2 215, 1 090,  224,  5,  896,,,
,SAN LUIS DE LA PAZ,,, 3 204, 1 730,  886,  7,  581,,,
,SANTA CATARINA,,,  518,  461,  40,-,  17,,,
,SANTA CRUZ DE JUVENTINO ROSAS,,, 2 203,  729, 1 393,*,  79,,,
,SANTIAGO MARAVATIO,,,  679,  336,  295,  5,  43,,,
,SILAO,,, 3 967, 1 893, 1 850,  13,  211,,,
,TARANDACUAO,,,  903,  224,  663,-,  16,,,
,TARIMORO,,, 2 201,  781, 1 188,-,  232,,,
,TIERRA BLANCA,,, 1 131,  913,  23,-,  195,,,
,URIANGATO,,,  879,  595,  139,-,  145,,,
,VALLE DE SANTIAGO,,, 6 574, 1 861, 4 621,*,  91,,,
,VICTORIA,,, 1 452, 1 034,  97,-,  321,,,
,VILLAGRAN,,, 1 359,  81, 1 273,*,  4,,,
,XICHU,,, 1 736, 1 447,  170,*,  118,,,
,YURIRIA,,, 4 221, 2 202, 1 752,-,  267,,,
GUERRERO,,,, 203 357, 126 680, 59 966,  259, 16 452,,,
,ACAPULCO DE JUAREZ,,, 9 526, 5 595, 3 057,*,  872,,,
,AHUACUOTZINGO,,, 3 225, 2 792,  154,-,  279,,,
,AJUCHITLAN DEL PROGRESO,,, 3 931, 2 339, 1 384,  8,  200,,,
,ALCOZAUCA DE GUERRERO,,, 2 236, 2 149,  49,-,  38,,,
,ALPOYECA,,,  490,  197,  274,*,  18,,,
,APAXTLA,,,  779,  475,  107,-,  197,,,
,ARCELIA,,, 2 567, 1 257, 1 097,  4,  209,,,
,ATENANGO DEL RIO,,,  961,  661,  171,-,  129,,,
,ATLAMAJALCINGO DEL MONTE,,,  765,  758,*,-,  6,,,
,ATLIXTAC,,, 2 646, 2 337,  238,-,  71,,,
,ATOYAC DE ALVAREZ,,, 6 157, 1 753, 4 094,  76,  234,,,
,AYUTLA DE LOS LIBRES,,, 5 395, 2 607, 2 711,-,  77,,,
,AZOYU,,, 3 270, 1 578, 1 387,*,  304,,,
,BENITO JUAREZ,,, 1 422,  105, 1 245,-,  72,,,
,BUENAVISTA DE CUELLAR,,,  556,  263,  252,*,  40,,,
,COAHUAYUTLA DE JOSE MARIA IZAZAGA,,, 1 860,  966,  183,-,  711,,,
,COCULA,,, 1 836,  913,  647,-,  276,,,
,COPALA,,,  879,  460,  231,-,  188,,,
,COPALILLO,,, 1 284, 1 043,  50,-,  191,,,
,COPANATOYAC,,, 2 372, 2 196,  131,-,  45,,,
,COYUCA DE BENITEZ,,, 6 022, 1 830, 3 873,  13,  306,,,
,COYUCA DE CATALAN,,, 4 662, 2 735, 1 796,  5,  126,,,
,CUAJINICUILAPA,,, 2 827,  748, 1 723,*,  355,,,
,CUALAC,,,  903,  700,  157,-,  46,,,
,CUAUTEPEC,,, 1 791, 1 096,  686,-,  9,,,
,CUETZALA DEL PROGRESO,,, 1 817, 1 073,  129,-,  615,,,
,CUTZAMALA DE PINZON,,, 2 895, 1 199, 1 354,*,  340,,,
,CHILAPA DE ALVAREZ,,, 10 527, 9 766,  566,  3,  192,,,
,CHILPANCINGO DE LOS BRAVO,,, 3 291, 2 486,  459,-,  346,,,
,FLORENCIO VILLARREAL,,, 1 760,  881,  805,-,  74,,,
,GENERAL CANUTO A. NERI,,,  845,  485,  78,-,  282,,,
,GENERAL HELIODORO CASTILLO,,, 3 316, 2 879,  361,-,  76,,,
,HUAMUXTITLAN,,, 1 439,  659,  693,-,  87,,,
,HUITZUCO DE LOS FIGUEROA,,, 2 610, 1 263, 1 012,-,  335,,,
,IGUALA DE LA INDEPENDENCIA,,, 2 668,  836, 1 303,  41,  488,,,
,IGUALAPA,,, 1 457, 1 058,  287,-,  112,,,
,IXCATEOPAN DE CUAUHTEMOC,,, 1 042,  765,  216,-,  61,,,
,JOSE AZUETA,,, 1 989, 1 000,  550,*,  438,,,
,JUAN R. ESCUDERO,,, 2 138, 1 536,  525,-,  77,,,
,LEONARDO BRAVO,,, 1 831, 1 441,  282,  12,  96,,,
,MALINALTEPEC,,, 4 865, 3 205, 1 595,  7,  58,,,
,MARTIR DE CUILAPAN,,, 1 753, 1 447,  77,-,  229,,,
,METLATONOC,,, 1 797, 1 606,  164,-,  27,,,
,MOCHITLAN,,, 1 458, 1 067,  291,-,  100,,,
,OLINALA,,, 1 833, 1 413,  376,-,  44,,,
,OMETEPEC,,, 3 979, 2 161, 1 362,  6,  450,,,
,PEDRO ASCENCIO ALQUISIRAS,,,  842,  735,  67,-,  40,,,
,PETATLAN,,, 2 682, 1 093,  951,  3,  635,,,
,PILCAYA,,,  876,  412,  336,-,  128,,,
,PUNGARABATO,,, 1 386,  743,  515,*,  126,,,
,QUECHULTENANGO,,, 4 105, 2 998, 1 030,-,  77,,,
,SAN LUIS ACATLAN,,, 4 076, 1 553, 2 396,*,  126,,,
,SAN MARCOS,,, 5 664, 2 786, 2 082,*,  795,,,
,SAN MIGUEL TOTOLAPAN,,, 3 513, 2 799,  598,*,  114,,,
,TAXCO DE ALARCON,,, 4 052, 3 428,  307,-,  317,,,
,TECOANAPA,,, 6 047, 2 141, 3 759,*,  146,,,
,TECPAN DE GALEANA,,, 4 554, 1 128, 2 614,  6,  806,,,
,TELOLOAPAN,,, 4 661, 3 500,  716,-,  445,,,
,TEPECOACUILCO DE TRUJANO,,, 3 387, 1 575, 1 170,  49,  593,,,
,TETIPAC,,, 1 431, 1 136,  120,-,  175,,,
,TIXTLA DE GUERRERO,,, 2 403, 1 793,  531,-,  79,,,
,TLACOACHISTLAHUACA,,, 2 207, 1 944,  102,-,  161,,,
,TLACOAPA,,, 1 325, 1 268,  3,-,  54,,,
,TLALCHAPA,,, 1 942, 1 122,  695,-,  125,,,
,TLALIXTAQUILLA DE MALDONADO,,,  668,  546,  47,-,  75,,,
,TLAPA DE COMONFORT,,, 3 884, 3 363,  430,-,  91,,,
,TLAPEHUALA,,, 1 642,  912,  691,*,  38,,,
,"UNION, LA",,, 2 502,  999,  732,  6,  765,,,
,XALPATLAHUAC,,, 1 517, 1 468,  20,-,  29,,,
,XOCHIHUEHUETLAN,,,  956,  782,  18,-,  156,,,
,XOCHISTLAHUACA,,, 2 177, 1 680,  461,-,  36,,,
,ZAPOTITLAN TABLAS,,, 4 508, 4 295,  188,-,  25,,,
,ZIRANDARO,,, 2 263, 1 326,  715,*,  220,,,
,ZITLALA,,, 2 481, 2 360,  97,*,  23,,,
,EDUARDO NERI,,, 1 934, 1 016,  392,-,  526,,,
HIDALGO,,,, 200 609, 111 180, 50 133,  28, 39 268,,,
,ACATLAN,,, 2 604, 1 603,  412,-,  589,,,
,ACAXOCHITLAN,,, 3 479, 3 035,  311,-,  133,,,
,ACTOPAN,,, 3 053, 1 449,  506,*, 1 097,,,
,AGUA BLANCA DE ITURBIDE,,, 1 367, 1 168,  121,-,  78,,,
,AJACUBA,,, 2 048,  403,  216,-, 1 429,,,
,ALFAJAYUCAN,,, 5 450, 2 651, 1 160,-, 1 639,,,
,ALMOLOYA,,, 1 235,  269,  763,-,  203,,,
,APAN,,, 2 260,  489, 1 689,-,  82,,,
,"ARENAL, EL",,, 1 691,  815,  291,-,  585,,,
,ATITALAQUIA,,, 1 242,  777,  382,-,  83,,,
,ATLAPEXCO,,, 2 739, 2 298,  319,-,  122,,,
,ATOTONILCO EL GRANDE,,, 2 972, 1 736,  280,*,  955,,,
,ATOTONILCO DE TULA,,, 1 600, 1 189,  80,-,  331,,,
,CALNALI,,, 2 280, 1 631,  393,-,  256,,,
,CARDONAL,,, 3 082, 1 168,  142,-, 1 772,,,
,CUAUTEPEC DE HINOJOSA,,, 3 360, 2 389,  781,-,  190,,,
,CHAPANTONGO,,, 2 491,  737,  107,-, 1 647,,,
,CHAPULHUACAN,,, 2 596, 1 754,  293,-,  549,,,
,CHILCUAUTLA,,, 2 862, 1 912,  800,-,  150,,,
,ELOXOCHITLAN,,,  743,  362,  271,-,  110,,,
,EMILIANO ZAPATA,,,  792,  338,  417,-,  37,,,
,EPAZOYUCAN,,, 1 332,  567,  211,-,  554,,,
,FRANCISCO I. MADERO,,, 3 362, 1 771, 1 078,*,  512,,,
,HUASCA DE OCAMPO,,, 2 921, 2 058,  363,*,  499,,,
,HUAUTLA,,, 3 936, 2 300, 1 357,-,  279,,,
,HUAZALINGO,,, 1 593, 1 028,  458,-,  107,,,
,HUEHUETLA,,, 3 232, 1 104, 1 948,*,  179,,,
,HUEJUTLA DE REYES,,, 11 702, 7 195, 2 218,*, 2 287,,,
,HUICHAPAN,,, 4 617, 1 930,  257,*, 2 428,,,
,IXMIQUILPAN,,, 7 147, 3 018, 2 615,*, 1 512,,,
,JACALA DE LEDEZMA,,, 2 322, 1 744,  283,-,  295,,,
,JALTOCAN,,,  963,  480,  309,-,  174,,,
,JUAREZ HIDALGO,,,  425,  394,  20,-,  11,,,
,LOLOTLA,,, 1 129,  808,  171,-,  150,,,
,METEPEC,,,  950,  524,  364,*,  61,,,
,SAN AGUSTIN METZQUITITLAN,,,  994,  363,  245,-,  386,,,
,METZTITLAN,,, 3 250, 1 749, 1 166,-,  335,,,
,MINERAL DEL CHICO,,, 1 283, 1 010,  36,-,  237,,,
,MINERAL DEL MONTE,,,  415,  287,  17,-,  111,,,
,"MISION, LA",,,  974,  683,  114,-,  177,,,
,MIXQUIAHUALA DE JUAREZ,,, 3 658, 1 167, 1 866,*,  624,,,
,MOLANGO DE ESCAMILLA,,, 1 629, 1 212,  95,-,  322,,,
,NICOLAS FLORES,,, 1 601, 1 179,  76,-,  346,,,
,NOPALA DE VILLAGRAN,,, 2 088,  708,  147,-, 1 233,,,
,OMITLAN DE JUAREZ,,,  779,  636,  27,-,  116,,,
,SAN FELIPE ORIZATLAN,,, 4 894, 2 387, 2 076,-,  431,,,
,PACULA,,,  770,  610,  19,-,  141,,,
,PACHUCA DE SOTO,,,  897,  286,  537,  5,  69,,,
,PISAFLORES,,, 2 606,  919, 1 614,-,  73,,,
,PROGRESO DE OBREGON,,,  707,  254,  372,*,  80,,,
,MINERAL DE LA REFORMA,,,  765,  142,  530,*,  91,,,
,SAN AGUSTIN TLAXIACA,,, 3 062,  883,  183,-, 1 996,,,
,SAN BARTOLO TUTOTEPEC,,, 2 165, 1 143,  831,-,  191,,,
,SAN SALVADOR,,, 5 317, 3 089, 1 954,-,  274,,,
,SANTIAGO DE ANAYA,,, 2 558, 1 203,  307,-, 1 048,,,
,SANTIAGO TULANTEPEC DE LUGO GUERRERO,,,  791,  543,  132,-,  116,,,
,SINGUILUCAN,,, 1 449,  570,  661,-,  218,,,
,TASQUILLO,,, 2 466, 1 661,  372,-,  433,,,
,TECOZAUTLA,,, 3 593, 1 961, 1 021,*,  610,,,
,TENANGO DE DORIA,,, 1 871, 1 358,  253,-,  260,,,
,TEPEAPULCO,,, 1 269,  458,  654,-,  157,,,
,TEPEHUACAN DE GUERRERO,,, 3 660, 2 645,  751,*,  262,,,
,TEPEJI DEL RIO DE OCAMPO,,, 3 076, 2 429,  368,-,  279,,,
,TEPETITLAN,,, 1 736,  683,  178,-,  875,,,
,TETEPANGO,,,  735,  464,  209,-,  62,,,
,VILLA DE TEZONTEPEC,,,  467,  123,  272,-,  72,,,
,TEZONTEPEC DE ALDAMA,,, 5 857, 3 163, 2 393,-,  301,,,
,TIANGUISTENGO,,, 2 369, 1 677,  416,-,  276,,,
,TIZAYUCA,,,  974,  241,  581,*,  151,,,
,TLAHUELILPAN,,,  587,  183,  361,-,  43,,,
,TLAHUILTEPA,,, 1 365, 1 125,  123,-,  117,,,
,TLANALAPA,,,  695,  303,  247,-,  145,,,
,TLANCHINOL,,, 4 916, 3 224, 1 306,-,  386,,,
,TLAXCOAPAN,,, 1 342,  514,  757,-,  71,,,
,TOLCAYUCA,,,  711,  180,  339,-,  192,,,
,TULA DE ALLENDE,,, 4 033, 2 354, 1 005,*,  673,,,
,TULANCINGO DE BRAVO,,, 2 823, 1 639,  866,-,  318,,,
,XOCHIATIPAN,,, 2 627, 1 973,  631,-,  23,,,
,XOCHICOATLAN,,, 1 468, 1 081,  141,-,  246,,,
,YAHUALICA,,, 3 737, 3 327,  378,-,  32,,,
,ZACUALTIPAN DE ANGELES,,,  959,  715,  63,-,  181,,,
,ZAPOTLAN DE JUAREZ,,, 1 175,  342,  637,*,  194,,,
,ZEMPOALA,,, 3 585, 1 222, 1 232,-, 1 131,,,
,ZIMAPAN,,, 4 284, 2 018,  188,-, 2 078,,,
JALISCO,,,, 150 292, 49 040, 82 400,  554, 18 298,,,
,ACATIC,,,  786,  303,  454,-,  29,,,
,ACATLAN DE JUAREZ,,,  814,  115,  673,-,  26,,,
,AHUALULCO DE MERCADO,,, 1 701,  154, 1 523,-,  24,,,
,AMACUECA,,,  329,  167,  155,*,  5,,,
,AMATITAN,,,  627,  126,  457,-,  44,,,
,AMECA,,, 3 954,  274, 3 629,-,  51,,,
,ANTONIO ESCOBEDO,,, 1 675,  213, 1 392,-,  70,,,
,ARANDAS,,, 2 737,  940, 1 580,-,  217,,,
,ARENAL,,,  686,  66,  585,  3,  32,,,
,ATEMAJAC DE BRIZUELA,,,  350,  250,  81,-,  19,,,
,ATENGO,,,  434,  148,  239,-,  47,,,
,ATENGUILLO,,,  354,  164,  104,-,  86,,,
,ATOTONILCO EL ALTO,,, 2 212,  529, 1 612,-,  71,,,
,ATOYAC,,,  802,  320,  411,*,  70,,,
,AUTLAN DE NAVARRO,,, 1 847,  416, 1 362,  12,  57,,,
,AYOTLAN,,, 1 532,  476, 1 031,*,  24,,,
,AYUTLA,,, 1 627,  712,  654,-,  261,,,
,"BARCA, LA",,, 3 234,  234, 2 964,-,  36,,,
,BOLAÑOS,,,  173,  133,  11,-,  29,,,
,CABO CORRIENTES,,, 1 492,  843,  246,-,  403,,,
,CASIMIRO CASTILLO,,, 1 642,  177, 1 009,  293,  163,,,
,CIHUATLAN,,, 1 413,  164,  762,  27,  460,,,
,CIUDAD GUZMAN,,,  515,  83,  404,-,  28,,,
,COCULA,,, 1 899,  471, 1 291,*,  135,,,
,COLOTLAN,,, 1 136,  637,  171,-,  328,,,
,CONCEPCION DE BUENOS AIRES,,,  437,  272,  106,-,  59,,,
,CUAUTITLAN,,, 2 767, 1 712,  858,  4,  193,,,
,CUAUTLA,,,  355,  186,  95,-,  74,,,
,CUQUIO,,, 2 036,  293, 1 592,-,  151,,,
,CHAPALA,,, 1 019,  324,  477,*,  217,,,
,CHIMALTITAN,,,  614,  534,  27,-,  53,,,
,CHIQUILISTLAN,,,  427,  216,  186,-,  25,,,
,DEGOLLADO,,, 1 411,  673,  638,-,  100,,,
,EJUTLA,,,  331,  160,  129,-,  42,,,
,ENCARNACION DE DIAZ,,, 2 091,  830,  761,-,  500,,,
,ETZATLAN,,,  954,  94,  830,  15,  15,,,
,"GRULLO, EL",,,  614,  103,  491,-,  20,,,
,GUACHINANGO,,,  602,  316,  267,-,  19,,,
,GUADALAJARA,,,  45,  23,  20,-,*,,,
,HOSTOTIPAQUILLO,,, 1 424,  825,  518,-,  81,,,
,HUEJUCAR,,,  459,  270,  53,-,  136,,,
,HUEJUQUILLA EL ALTO,,, 1 148,  739,  82,-,  327,,,
,"HUERTA, LA",,, 2 460,  476, 1 162,  42,  780,,,
,IXTLAHUACAN DE LOS MEMBRILLOS,,,  873,  202,  600,*,  70,,,
,IXTLAHUACAN DEL RIO,,, 1 811,  376, 1 344,-,  91,,,
,JALOSTOTITLAN,,,  698,  482,  89,-,  127,,,
,JAMAY,,, 1 615,  118, 1 351,*,  145,,,
,JESUS MARIA,,, 1 051,  452,  540,-,  59,,,
,JILOTLAN DE LOS DOLORES,,, 1 203,  533,  631,-,  39,,,
,JOCOTEPEC,,, 1 872,  640, 1 143,  16,  73,,,
,JUANACATLAN,,,  611,  156,  432,-,  23,,,
,JUCHITLAN,,,  455,  170,  254,-,  31,,,
,LAGOS DE MORENO,,, 3 657, 1 617, 1 149,*,  889,,,
,"LIMON, EL",,,  678,  71,  568,*,  37,,,
,MAGDALENA,,,  829,  119,  656,*,  52,,,
,MANUEL M. DIEGUEZ,,,  322,  229,  49,-,  44,,,
,"MANZANILLA DE LA PAZ, LA",,,  272,  181,  50,*,  40,,,
,MASCOTA,,, 1 198,  385,  781,-,  32,,,
,MAZAMITLA,,,  855,  484,  171,-,  200,,,
,MEXTICACAN,,,  336,  250,  31,-,  55,,,
,MEZQUITIC,,, 2 421, 1 867,  373,-,  181,,,
,MIXTLAN,,,  387,  176,  153,-,  58,,,
,OCOTLAN,,, 1 399,  207, 1 168,-,  24,,,
,OJUELOS DE JALISCO,,, 2 279,  931,  564,*,  783,,,
,PIHUAMO,,, 1 333,  438,  627,-,  268,,,
,PONCITLAN,,, 1 950,  696, 1 054,-,  200,,,
,PUERTO VALLARTA,,, 1 288,  316,  751,  31,  190,,,
,VILLA PURIFICACION,,, 1 596,  772,  473,-,  351,,,
,QUITUPAN,,, 1 482,  804,  376,-,  302,,,
,"SALTO, EL",,,  183,  62,  104,-,  17,,,
,SAN CRISTOBAL DE LA BARRANCA,,,  555,  229,  318,-,  8,,,
,SAN DIEGO DE ALEJANDRIA,,,  240,  129,  55,-,  56,,,
,SAN JUAN DE LOS LAGOS,,, 1 654,  881,  245,-,  528,,,
,SAN JULIAN,,,  284,  60,  40,-,  184,,,
,SAN MARCOS,,,  367,  38,  325,-,  4,,,
,SAN MARTIN DE BOLAÑOS,,,  317,  265,  18,-,  34,,,
,SAN MARTIN HIDALGO,,, 2 464,  324, 2 068,-,  72,,,
,SAN MIGUEL EL ALTO,,,  968,  447,  57,-,  464,,,
,GOMEZ FARIAS,,,  761,  338,  405,-,  18,,,
,SAN SEBASTIAN DEL OESTE,,, 1 037,  550,  425,-,  62,,,
,SANTA MARIA DE LOS ANGELES,,,  421,  185,  71,-,  165,,,
,SAYULA,,,  809,  181,  576,  3,  49,,,
,TALA,,, 3 146,  299, 2 731,-,  116,,,
,TALPA DE ALLENDE,,, 1 355,  566,  706,-,  83,,,
,TAMAZULA DE GORDIANO,,, 2 278,  604, 1 625,*,  47,,,
,TAPALPA,,,  838,  521,  180,  3,  134,,,
,TECALITLAN,,,  971,  310,  614,-,  47,,,
,TECOLOTLAN,,, 1 371,  724,  513,*,  133,,,
,TECHALUTA DE MONTENEGRO,,,  234,  110,  105,-,  19,,,
,TENAMAXTLAN,,,  924,  245,  658,-,  21,,,
,TEOCALTICHE,,, 2 073,  647,  684,*,  741,,,
,TEOCUITATLAN DE CORONA,,, 1 723,  631,  953,  10,  129,,,
,TEPATITLAN DE MORELOS,,, 1 747, 1 029,  571,*,  146,,,
,TEQUILA,,, 1 250,  508,  664,-,  78,,,
,TEUCHITLAN,,,  842,  47,  772,*,  22,,,
,TIZAPAN EL ALTO,,, 1 253,  494,  650,-,  109,,,
,TLAJOMULCO DE ZUÑIGA,,, 2 465,  367, 1 968,  3,  127,,,
,TLAQUEPAQUE,,,  960,  185,  736,  10,  29,,,
,TOLIMAN,,,  975,  281,  617,  3,  74,,,
,TOMATLAN,,, 4 778,  783, 2 074,*, 1 919,,,
,TONALA,,,  419,  144,  226,*,  48,,,
,TONAYA,,,  454,  99,  286,-,  69,,,
,TONILA,,,  562,  95,  454,-,  13,,,
,TOTATICHE,,,  721,  542,  114,-,  65,,,
,TOTOTLAN,,, 1 343,  264, 1 033,-,  46,,,
,TUXCACUESCO,,,  489,  177,  285,*,  25,,,
,TUXCUECA,,,  553,  361,  131,-,  61,,,
,TUXPAN,,, 1 128,  203,  842,-,  83,,,
,UNION DE SAN ANTONIO,,, 1 117,  487,  262,  4,  364,,,
,UNION DE TULA,,, 1 428,  387,  931,-,  110,,,
,VALLE DE GUADALUPE,,,  266,  170,  33,-,  63,,,
,VALLE DE JUAREZ,,,  443,  244,  59,-,  140,,,
,CIUDAD VENUSTIANO CARRANZA,,, 1 547,  330, 1 060,  3,  154,,,
,VILLA CORONA,,, 1 469,  324, 1 023,-,  122,,,
,VILLA GUERRERO,,,  585,  396,  69,-,  120,,,
,VILLA HIDALGO,,, 1 159,  370,  489,-,  300,,,
,CAÑADAS DE OBREGON,,,  421,  191,  38,-,  192,,,
,YAHUALICA DE GONZALEZ GALLO,,, 1 375,  738,  307,*,  328,,,
,ZACOALCO DE TORRES,,, 1 799,  379, 1 351,*,  68,,,
,ZAPOPAN,,, 1 988,  329, 1 556,  39,  64,,,
,ZAPOTILTIC,,, 1 159,  213,  932,*,  12,,,
,ZAPOTITLAN DE VADILLO,,,  913,  374,  436,-,  103,,,
,ZAPOTLAN DEL REY,,, 1 766,  401, 1 336,-,  29,,,
,ZAPOTLANEJO,,, 2 309,  949, 1 149,-,  211,,,
MEXICO,,,, 299 510, 205 708, 65 935,  146, 27 721,,,
,ACAMBAY,,, 7 908, 5 691,  874,*, 1 342,,,
,ACOLMAN,,, 1 693,  957,  527,-,  209,,,
,ACULCO,,, 5 309, 3 447,  685,  16, 1 161,,,
,ALMOLOYA DE ALQUISIRAS,,, 1 705, 1 078,  438,-,  189,,,
,ALMOLOYA DE JUAREZ,,, 8 688, 6 412, 2 176,  4,  96,,,
,ALMOLOYA DEL RIO,,,  734,  498,  191,-,  45,,,
,AMANALCO,,, 2 693, 1 730,  743,*,  218,,,
,AMATEPEC,,, 2 005, 1 169,  300,-,  536,,,
,AMECAMECA,,, 1 713,  980,  674,-,  59,,,
,APAXCO,,,  964,  535,  171,-,  258,,,
,ATENCO,,, 1 869, 1 139,  375,-,  355,,,
,ATIZAPAN,,,  351,  254,  76,-,  21,,,
,ATIZAPAN DE ZARAGOZA,,,  89,  61,  5,-,  23,,,
,ATLACOMULCO,,, 6 078, 4 972,  791,  3,  312,,,
,ATLAUTLA,,, 1 391,  744,  567,-,  80,,,
,AXAPUSCO,,, 2 213,  834,  757,*,  621,,,
,AYAPANGO,,,  632,  173,  430,-,  29,,,
,CALIMAYA,,, 1 996,  781, 1 158,*,  56,,,
,CAPULHUAC,,,  799,  564,  118,-,  117,,,
,COACALCO,,,  143,  83,  56,-,  4,,,
,COATEPEC HARINAS,,, 4 122, 1 913, 1 342,  23,  844,,,
,COCOTITLAN,,,  629,  185,  435,-,  9,,,
,COYOTEPEC,,, 1 273, 1 079,  64,-,  130,,,
,CUAUTITLAN,,,  513,  255,  209,-,  49,,,
,CHALCO,,, 3 915, 2 507, 1 106,*,  301,,,
,CHAPA DE MOTA,,, 3 778, 3 168,  206,-,  404,,,
,CHAPULTEPEC,,,  445,  262,  174,*,  7,,,
,CHIAUTLA,,,  759,  505,  147,-,  107,,,
,CHICOLOAPAN,,,  744,  460,  236,*,  46,,,
,CHICONCUAC,,,  603,  516,  75,-,  12,,,
,CHIMALHUACAN,,, 1 389, 1 026,  192,*,  170,,,
,DONATO GUERRA,,, 2 998, 2 263,  472,-,  263,,,
,ECATEPEC,,, 1 254,  557,  453,-,  244,,,
,ECATZINGO,,,  796,  578,  158,-,  60,,,
,HUEHUETOCA,,, 1 110,  704,  136,-,  270,,,
,HUEYPOXTLA,,, 4 012, 2 538,  664,-,  810,,,
,HUIXQUILUCAN,,, 1 677, 1 514,  59,-,  104,,,
,ISIDRO FABELA,,,  835,  669,  73,-,  93,,,
,IXTAPALUCA,,, 2 473, 1 250, 1 102,*,  120,,,
,IXTAPAN DE LA SAL,,, 1 172,  684,  325,-,  163,,,
,IXTAPAN DEL ORO,,, 1 123,  916,  175,-,  32,,,
,IXTLAHUACA,,, 12 046, 9 309, 2 534,  8,  195,,,
,JALATLACO,,, 1 034,  822,  161,-,  51,,,
,JALTENCO,,,  295,  201,  45,-,  49,,,
,JILOTEPEC,,, 7 507, 5 884,  540,-, 1 083,,,
,JILOTZINGO,,, 1 512, 1 025,  62,-,  425,,,
,JIQUIPILCO,,, 6 301, 4 888, 1 271,  3,  139,,,
,JOCOTITLAN,,, 4 752, 3 173, 1 457,*,  121,,,
,JOQUICINGO,,, 1 151,  730,  388,-,  33,,,
,JUCHITEPEC,,, 1 841,  402, 1 401,*,  37,,,
,LERMA,,, 3 846, 3 090,  585,-,  171,,,
,MALINALCO,,, 1 697,  912,  673,*,  111,,,
,MELCHOR OCAMPO,,,  400,  241,  110,-,  49,,,
,METEPEC,,, 1 614, 1 344,  243,*,  25,,,
,MEXICALCINGO,,,  415,  295,  103,-,  17,,,
,MORELOS,,, 4 116, 3 483,  348,-,  285,,,
,NAUCALPAN,,, 1 743, 1 080,  297,-,  366,,,
,NEZAHUALCOYOTL,,,  4,  4,-,-,-,,,
,NEXTLALPAN,,,  850,  317,  338,-,  195,,,
,NICOLAS ROMERO,,, 4 020, 3 298,  348,-,  374,,,
,NOPALTEPEC,,,  953,  349,  316,-,  288,,,
,OCOYOACAC,,, 1 388, 1 093,  212,-,  83,,,
,OCUILAN,,, 2 669, 1 711,  615,  9,  334,,,
,"ORO, EL",,, 2 621, 2 030,  224,-,  367,,,
,OTUMBA,,, 2 115,  988,  539,-,  588,,,
,OTZOLOAPAN,,,  367,  226,  88,-,  53,,,
,OTZOLOTEPEC,,, 5 037, 4 291,  555,-,  191,,,
,OZUMBA,,, 1 007,  322,  655,-,  30,,,
,PAPALOTLA,,,  69,  40,  27,*,*,,,
,"PAZ, LA",,,  585,  408,  140,-,  37,,,
,POLOTITLAN,,, 1 340,  653,  356,*,  330,,,
,RAYON,,, 1 247,  566,  625,-,  56,,,
,SAN ANTONIO LA ISLA,,,  794,  524,  254,-,  16,,,
,SAN FELIPE DEL PROGRESO,,, 18 260, 15 418, 2 426,  7,  409,,,
,SAN MARTIN DE LAS PIRAMIDES,,, 1 132,  282,  531,*,  318,,,
,SAN MATEO ATENCO,,, 1 346, 1 140,  163,-,  43,,,
,SAN SIMON DE GUERRERO,,,  704,  621,  30,-,  53,,,
,SANTO TOMAS,,,  292,  209,  69,-,  14,,,
,SOYANIQUILPAN DE JUAREZ,,, 1 446,  988,  242,-,  216,,,
,SULTEPEC,,, 4 306, 3 283,  559,*,  463,,,
,TECAMAC,,, 2 756, 1 133, 1 076,-,  547,,,
,TEJUPILCO,,, 4 306, 2 584, 1 151,-,  571,,,
