"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,ARRIAGA,,, 1 343,  514,  237,-,  592,,,
,BEJUCAL DE OCAMPO,,,  729,  542,  180,-,  7,,,
,BELLA VISTA,,, 2 190,  634, 1 545,*,  10,,,
,BERRIOZABAL,,, 1 233,  669,  515,  12,  37,,,
,BOCHIL,,, 1 751,  617, 1 111,  14,  9,,,
,"BOSQUE, EL",,, 2 081,  505, 1 558,*,  17,,,
,CACAHOATAN,,, 2 229,  167, 2 056,*,  5,,,
,CATAZAJA,,, 1 042,  582,  177,-,  283,,,
,CINTALAPA,,, 4 707, 1 302, 3 019,*,  385,,,
,COAPILLA,,,  988,  284,  692,-,  12,,,
,COMITAN DE DOMINGUEZ,,, 5 474, 3 681, 1 713,  10,  70,,,
,"CONCORDIA, LA",,, 4 627,  519, 3 893,  16,  199,,,
,COPAINALA,,, 1 843,  539, 1 163,*,  140,,,
,CHALCHIHUITAN,,, 1 892, 1 064,  820,-,  8,,,
,CHAMULA,,, 9 991, 8 837, 1 092,-,  62,,,
,CHANAL,,, 1 276, 1 154,  108,-,  14,,,
,CHAPULTENANGO,,,  963,  282,  546,-,  135,,,
,CHENALHO,,, 4 841, 2 783, 2 030,  9,  19,,,
,CHIAPA DE CORZO,,, 3 078,  680, 2 338,  30,  30,,,
,CHIAPILLA,,,  693,  75,  616,-,*,,,
,CHICOASEN,,,  493,  334,  140,-,  19,,,
,CHICOMUSELO,,, 2 602,  346, 2 228,-,  28,,,
,CHILON,,, 9 378, 2 037, 7 287,  5,  49,,,
,ESCUINTLA,,, 2 379,  313, 1 723,  5,  338,,,
,FRANCISCO LEON,,,  869,  389,  379,-,  101,,,
,FRONTERA COMALAPA,,, 3 645,  479, 3 149,*,  16,,,
