"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,TOPIA, 61 272.15, 17 783.78, 7 832.77, 35 533.73,-,121.88
,VICENTE GUERRERO, 18 351.42, 7 291.41,10.5, 11 045.52,-,4
,NUEVO IDEAL, 82 115.49, 35 430.94,118, 45 958.52,571.78,36.25
GUANAJUATO,,1 997 229.12, 552 699.05, 1 066.78,1 435 527.50,-, 7 935.79
,ABASOLO, 47 161.54, 15 526.63,-, 31 572.30,-,62.61
,ACAMBARO, 47 000.77, 25 018.33,-, 21 932.44,-,50
,ALLENDE, 102 505.05, 16 542.88,-, 85 927.17,-,35
,APASEO EL ALTO, 26 028.56, 11 868.93,-, 14 154.98,-,4.65
,APASEO EL GRANDE, 25 633.25, 14 054.28,-, 11 572.97,-,6
,ATARJEA, 2 010.06, 2 010.06,-,-,-,-
,CELAYA, 33 857.84, 16 279.14,-, 17 213.59,-,365.11
,MANUEL DOBLADO, 59 187.80, 15 943.00,-, 43 138.28,-,106.52
,COMONFORT, 23 695.76, 12 520.29,-, 11 081.94,-,93.52
,CORONEO, 8 036.28,183.25,-, 7 738.45,-,114.58
,CORTAZAR, 23 069.69, 7 829.47,-, 15 233.52,-,6.7
,CUERAMARO, 15 113.17, 7 272.64,-, 7 768.02,-,72.52
,DOCTOR MORA, 21 787.79, 1 663.05,-, 20 124.74,-,-
,DOLORES HIDALGO, 130 334.01, 12 606.50,-, 117 687.51,-,40
,GUANAJUATO, 69 036.82, 8 967.83,-, 60 028.24,-,40.75
,HUANIMARO, 9 217.71, 5 685.99,-, 3 520.95,-,10.77
,IRAPUATO, 49 839.45, 32 857.11,169.21, 16 291.00,-,522.13
,JARAL DEL PROGRESO, 12 184.00, 5 470.02,-, 6 698.21,-,15.76
,JERECUARO, 45 963.57, 16 659.98,-, 29 108.09,-,195.5
,LEON, 90 447.26, 22 004.60,-, 68 015.60,-,427.06
,MOROLEON, 9 563.08,902.89,-, 8 574.19,-,86
,OCAMPO, 94 722.82, 9 341.49,-, 85 351.34,-,30
,PENJAMO, 111 457.34, 43 263.76,-, 67 941.80,-,251.78
,PUEBLO NUEVO, 4 588.05, 1 994.98,-, 2 590.57,-,2.5
,PURISIMA DEL RINCON, 21 738.36, 3 046.04,-, 18 692.32,-,-
,ROMITA, 32 119.50, 20 487.53,-, 11 300.99,-,330.98
,SALAMANCA, 54 209.65, 17 113.05,721.5, 36 276.19,-,98.91
,SALVATIERRA, 30 708.03, 20 037.90,-, 10 666.98,-,3.15
,SAN DIEGO DE LA UNION, 60 292.74, 11 256.87,-, 49 023.87,-,12
,SAN FELIPE, 177 825.00, 42 528.08,-, 134 073.13,-, 1 223.78
,SAN FRANCISCO DEL RINCON, 36 682.39, 10 821.03,-, 25 828.67,-,32.69
,SAN JOSE ITURBIDE, 47 229.40, 2 311.35,-, 44 906.55,-,11.5
,SAN LUIS DE LA PAZ, 156 982.20, 8 321.46,-, 148 329.15,-,331.6
,SANTA CATARINA, 12 736.03,429.8,-, 11 989.98,-,316.25
,SANTA CRUZ DE JUVENTINO ROSAS, 32 645.60, 12 012.81,-, 20 387.28,-,245.5
,SANTIAGO MARAVATIO, 5 499.53, 2 319.10,-, 3 180.43,-,-
,SILAO, 39 777.81, 20 561.03,-, 19 056.03,-,160.75
,TARANDACUAO, 7 151.90, 4 219.41,-, 2 846.06,-,86.43
,TARIMORO, 19 427.05, 6 579.19,-, 12 846.86,-,1
,TIERRA BLANCA, 21 912.90,214.24,-, 19 592.55,-, 2 106.11
,URIANGATO, 6 972.74, 1 890.19,-, 5 082.55,-,-
,VALLE DE SANTIAGO, 47 795.14, 29 908.71,-, 17 854.59,-,31.83
,VICTORIA, 65 532.15, 3 258.95,176.07, 61 799.87,-,297.25
,VILLAGRAN, 12 937.03, 10 339.33,-, 2 577.70,-,20
,XICHU, 12 728.30, 5 661.89,-, 7 066.41,-,-
,YURIRIA, 31 884.03, 12 914.00,-, 18 883.44,-,86.59
GUERRERO,,1 631 701.08, 956 894.94, 239 848.10, 419 204.60, 7 289.79, 8 463.66
,ACAPULCO DE JUAREZ, 48 543.47, 34 886.32, 10 772.62, 1 894.06,5.25,985.22
,AHUACUOTZINGO, 24 202.70, 12 484.13, 2 742.25, 8 976.08,-,0.25
,AJUCHITLAN DEL PROGRESO, 17 656.94, 14 263.70,-, 3 336.40,-,56.84
,ALCOZAUCA DE GUERRERO, 4 301.46, 1 298.98, 1 568.93, 1 433.55,-,-
,ALPOYECA,738.9,453.78,152.25,132.87,-,-
,APAXTLA, 9 657.33,760.06,-, 8 897.28,-,-
,ARCELIA, 21 148.30, 4 998.32,509.5, 15 512.65,-,127.83
,ATENANGO DEL RIO, 10 518.58, 3 897.13,480.16, 6 140.78,-,0.5
,ATLAMAJALCINGO DEL MONTE, 1 188.63,630.85,557.78,-,-,-
,ATLIXTAC, 7 993.22,-, 7 988.22,5,-,-
,ATOYAC DE ALVAREZ, 66 329.43, 61 649.85,-, 4 669.58,-,10
,AYUTLA DE LOS LIBRES, 24 538.27, 9 804.07, 10 759.92, 3 974.27,-,-
,AZOYU, 43 476.64, 29 136.51, 4 588.45, 9 751.68,-,-
,BENITO JUAREZ, 9 075.71, 6 580.41,-, 2 285.17,82.63,127.5
,BUENAVISTA DE CUELLAR, 14 592.74, 1 113.89,210.47, 13 264.39,-,4
,COAHUAYUTLA DE JOSE MARIA IZAZAGA, 66 779.94, 44 641.96,-, 22 134.98,-,3
,COCULA, 8 605.58, 6 570.59,-, 1 982.60,-,52.4
,COPALA, 10 352.22, 7 423.72,-, 2 381.50,547,-
,COPALILLO, 7 358.10, 2 122.29, 1 528.75, 3 707.07,-,-
,COPANATOYAC, 4 387.81,-, 4 167.79,220.02,-,-
,COYUCA DE BENITEZ, 46 422.53, 29 859.21, 14 810.20, 1 743.13,-,10
,COYUCA DE CATALAN, 59 027.85, 35 727.47,-, 20 766.83,-, 2 533.55
,CUAJINICUILAPA, 41 570.51, 30 589.55,-, 5 826.50, 5 054.46,100
,CUALAC, 3 153.91,-, 3 153.91,-,-,-
,CUAUTEPEC, 16 216.74, 1 387.00, 10 141.74, 4 688.00,-,-
,CUETZALA DEL PROGRESO, 11 172.62, 5 150.95, 1 757.25, 4 264.42,-,-
,CUTZAMALA DE PINZON, 51 549.86, 33 929.73,-, 17 606.13,-,14
,CHILAPA DE ALVAREZ, 19 121.40, 7 494.52, 9 111.44, 2 515.45,-,-
,CHILPANCINGO DE LOS BRAVO, 33 600.21, 12 699.25,-, 20 789.46,-,111.5
,FLORENCIO VILLARREAL, 9 696.46,-, 9 607.46,89,-,-
,GENERAL CANUTO A. NERI, 9 572.50,948, 1 817.00, 6 807.50,-,-
,GENERAL HELIODORO CASTILLO, 22 044.87, 1 085.50, 20 341.87,617.5,-,-
,HUAMUXTITLAN, 7 310.71,807, 1 047.44, 5 103.20,-,353.07
,HUITZUCO DE LOS FIGUEROA, 20 259.25, 10 398.72, 2 544.00, 7 271.79,-,44.75
,IGUALA DE LA INDEPENDENCIA, 16 422.19, 8 364.84,-, 7 710.09,-,347.27
,IGUALAPA, 17 254.72, 16 024.01,890.35,340.36,-,-
,IXCATEOPAN DE CUAUHTEMOC, 5 435.38,-,-, 5 435.38,-,-
,JOSE AZUETA, 66 915.44, 60 800.33,-, 1 415.10, 1 583.45, 3 116.55
,JUAN R. ESCUDERO, 9 175.35, 7 612.87, 1 556.73,2,-,3.75
,LEONARDO BRAVO, 45 022.93, 44 940.68,-,82.25,-,-
,MALINALTEPEC, 19 750.96, 1 596.19, 18 154.77,-,-,-
,MARTIR DE CUILAPAN, 7 726.98, 2 348.53,778.25, 4 600.20,-,-
,METLATONOC, 6 121.25, 1 555.50, 4 565.75,-,-,-
,MOCHITLAN, 4 160.59, 1 918.71,230.97, 2 010.91,-,-
,OLINALA, 26 651.70,825.52, 2 413.95, 23 397.23,-,15
,OMETEPEC, 33 044.53, 25 592.66, 3 143.44, 4 302.43,-,6
,PEDRO ASCENCIO ALQUISIRAS, 14 196.42,-,-, 14 196.42,-,-
,PETATLAN, 74 269.31, 69 338.60,-, 4 911.21,17,2.5
,PILCAYA, 5 415.06, 1 968.05,-, 3 447.01,-,-
,PUNGARABATO, 5 696.65, 3 918.97,-, 1 499.64,-,278.05
,QUECHULTENANGO, 12 769.67, 8 515.88, 2 975.72, 1 278.07,-,-
,SAN LUIS ACATLAN, 27 438.81, 11 171.96, 11 253.77, 5 013.07,-,-
,SAN MARCOS, 44 075.79, 43 019.04,-, 1 049.75,-,7
,SAN MIGUEL TOTOLAPAN, 13 257.74, 2 565.05, 9 842.26,850.43,-,-
,TAXCO DE ALARCON, 15 009.76, 1 971.28, 5 494.96, 7 522.52,-,21
,TECOANAPA, 32 753.39, 21 150.48, 9 650.38, 1 952.52,-,-
,TECPAN DE GALEANA, 116 363.23, 91 243.47,-, 25 035.76,-,84
,TELOLOAPAN, 29 425.79, 3 881.67, 1 881.24, 23 661.88,-,1
,TEPECOACUILCO DE TRUJANO, 14 970.24, 9 878.37, 4 259.16,832.7,-,-
,TETIPAC, 7 372.08,929.26,175.43, 6 267.39,-,-
,TIXTLA DE GUERRERO, 6 503.95, 1 402.83, 1 436.25, 3 653.99,-,10.88
,TLACOACHISTLAHUACA, 13 791.15, 5 685.43, 8 105.73,-,-,-
,TLACOAPA, 3 855.48,-, 3 855.48,-,-,-
,TLALCHAPA, 13 374.22, 9 748.57,-, 3 596.90,-,28.75
,TLALIXTAQUILLA DE MALDONADO, 2 301.07, 1 409.12,87.84,804.1,-,-
,TLAPA DE COMONFORT, 9 333.78, 1 974.79, 5 156.78, 2 202.21,-,-
,TLAPEHUALA, 8 029.05, 5 977.34,-, 2 051.70,-,-
,"UNION, LA", 62 979.54, 47 099.63,33, 15 844.91,-,2
,XALPATLAHUAC, 2 549.02,751.58,896.49,900.95,-,-
,XOCHIHUEHUETLAN, 3 633.63,162.28, 1 368.50, 2 102.85,-,-
,XOCHISTLAHUACA, 7 965.63, 4 472.69, 3 492.94,-,-,-
,ZAPOTITLAN TABLAS, 7 966.61,-, 7 966.61,-,-,-
,ZIRANDARO, 41 752.38, 20 422.97,-, 21 323.92,-,5.5
,ZITLALA, 5 060.22, 1 277.17, 3 451.55,331.5,-,-
,EDUARDO NERI, 19 744.04, 2 585.22, 6 370.40, 10 788.43,-,-
HIDALGO,,1 048 142.29, 397 062.79, 63 321.53, 581 876.32, 2 727.53, 3 154.12
,ACATLAN, 13 756.67, 6 238.48,-, 7 500.67,17.52,-
,ACAXOCHITLAN, 9 777.30, 1 797.76,-, 7 979.54,-,-
,ACTOPAN, 10 460.03, 5 030.33,-, 5 426.71,-,3
,AGUA BLANCA DE ITURBIDE, 8 989.01, 3 554.01,-, 5 434.99,-,-
,AJACUBA, 9 464.01, 4 719.11,-, 4 744.10,-,0.8
,ALFAJAYUCAN, 22 444.31, 3 674.00,775.29, 17 846.30,-,148.72
,ALMOLOYA, 17 167.26, 6 759.10,-, 10 405.65,-,2.5
,APAN, 25 977.26, 18 763.93,-, 5 869.32, 1 334.50,9.5
,"ARENAL, EL", 5 631.86, 3 420.01,-, 2 067.71,-,144.14
,ATITALAQUIA, 3 916.72, 1 904.58,-,576.35,-, 1 435.79
,ATLAPEXCO, 6 969.00, 6 969.00,-,-,-,-
,ATOTONILCO EL GRANDE, 14 879.73, 7 006.71,-, 7 870.51,-,2.5
,ATOTONILCO DE TULA, 5 759.00, 3 402.37,-, 2 356.63,-,-
,CALNALI, 11 684.84,-,113, 11 571.84,-,-
,CARDONAL, 10 874.51, 3 361.54,168.68, 7 340.67,-,3.63
,CUAUTEPEC DE HINOJOSA, 19 295.02, 9 940.38,-, 9 354.64,-,-
,CHAPANTONGO, 13 814.33, 4 364.27,-, 9 437.04,-,13.01
,CHAPULHUACAN, 23 580.84, 5 114.78,66.88, 18 384.68,-,14.5
,CHILCUAUTLA, 9 741.04, 2 263.65,264.77, 7 154.82,-,57.8
,ELOXOCHITLAN, 6 954.34,366.07,905.13, 5 680.84,-,2.3
,EMILIANO ZAPATA, 14 189.63, 13 595.78,-,593.85,-,-
,EPAZOYUCAN, 11 626.31, 6 576.19,-, 5 050.11,-,-
,FRANCISCO I. MADERO, 5 797.07, 1 476.62,-, 4 219.09,-,101.36
,HUASCA DE OCAMPO, 17 350.04, 7 099.96,-, 10 227.08,-,23
,HUAUTLA, 17 128.34, 13 428.41, 3 698.92,1.01,-,-
,HUAZALINGO, 9 536.44, 7 312.67, 1 087.97, 1 135.80,-,-
,HUEHUETLA, 17 947.30, 2 788.10, 1 215.88, 13 943.32,-,-
,HUEJUTLA DE REYES, 28 011.23, 24 927.97, 2 320.13,623.62,-,139.5
,HUICHAPAN, 27 764.74, 12 137.38,-, 15 540.85,-,86.5
,IXMIQUILPAN, 17 368.00, 3 809.62, 4 767.84, 8 733.79,-,56.75
,JACALA DE LEDEZMA, 10 093.01,671.86, 3 870.82, 5 550.08,-,0.25
,JALTOCAN, 2 398.94, 1 041.75,808.35,548.83,-,-
,JUAREZ HIDALGO, 2 927.56,-, 2 927.56,-,-,-
,LOLOTLA, 9 455.74, 2 370.57,3, 7 082.17,-,-
,METEPEC, 8 395.03, 3 460.17,-, 4 934.36,-,0.5
,SAN AGUSTIN METZQUITITLAN, 14 264.61, 1 122.59,-, 13 124.52,-,17.5
,METZTITLAN, 13 181.04, 1 888.20,922.65, 10 129.22,-,240.97
,MINERAL DEL CHICO, 7 466.40,850.42,-, 6 566.49,-,49.5
,MINERAL DEL MONTE, 1 856.82,186.94,-, 1 669.88,-,-
,"MISION, LA", 20 592.62,-,-, 20 579.12,-,13.5
,MIXQUIAHUALA DE JUAREZ, 9 921.99, 7 540.29,-, 2 381.70,-,-
,MOLANGO DE ESCAMILLA, 9 935.31,744.74, 1 264.08, 7 790.84,-,135.66
,NICOLAS FLORES, 10 672.49,102.95,136.05, 10 376.79,-,56.7
,NOPALA DE VILLAGRAN, 16 759.51, 4 616.86,-, 12 133.33,-,9.31
,OMITLAN DE JUAREZ, 3 613.50, 1 367.05,-, 2 246.44,-,-
,SAN FELIPE ORIZATLAN, 26 549.07, 24 219.64,581.48, 1 747.95,-,-
,PACULA, 26 086.42,135.25,330.58, 25 608.09,-,12.5
,PACHUCA DE SOTO, 8 116.79, 3 951.82,-, 4 164.97,-,-
,PISAFLORES, 18 532.81,816.25,-, 17 561.52,-,155.04
,PROGRESO DE OBREGON, 3 461.56,267.49,-, 3 194.07,-,-
,MINERAL DE LA REFORMA, 5 705.16, 3 022.39,-, 2 682.78,-,-
,SAN AGUSTIN TLAXIACA, 14 204.58, 8 881.01,-, 5 323.57,-,-
,SAN BARTOLO TUTOTEPEC, 20 788.01,436.2,16, 20 326.81,-,9
,SAN SALVADOR, 12 795.78, 6 104.61,37.62, 6 620.66,-,32.89
,SANTIAGO DE ANAYA, 8 861.53, 4 272.21,-, 4 586.81,-,2.51
,SANTIAGO TULANTEPEC DE LUGO GUERRE, 3 869.99, 1 462.09,-, 2 403.60,-,4.3
,SINGUILUCAN, 20 108.18, 10 238.20,-, 8 850.73, 1 019.25,-
,TASQUILLO, 7 157.07,544.82,357.77, 6 247.39,-,7.1
,TECOZAUTLA, 19 805.99, 4 977.71,15.56, 14 788.51,-,24.21
,TENANGO DE DORIA, 7 478.91,758.76,-, 6 707.15,-,13
,TEPEAPULCO, 12 116.38, 7 379.76,-, 4 716.07,-,20.55
,TEPEHUACAN DE GUERRERO, 19 012.92, 10 295.01,886.38, 7 831.54,-,-
,TEPEJI DEL RIO DE OCAMPO, 18 086.33, 6 593.56,14.62, 11 460.61,-,17.54
,TEPETITLAN, 6 881.87, 1 752.66,-, 5 125.21,-,4
,TETEPANGO, 1 681.30, 1 494.49,-,186.81,-,-
,VILLA DE TEZONTEPEC, 5 803.23, 1 612.31,-, 4 186.93,-,4
,TEZONTEPEC DE ALDAMA, 7 945.13, 4 987.59,-, 2 952.24,-,5.3
,TIANGUISTENGO, 19 247.82, 2 133.14, 5 203.03, 11 897.65,-,14
,TIZAYUCA, 7 005.92, 4 592.28,-, 2 407.40,-,6.25
,TLAHUELILPAN, 1 462.51,721.4,-,740.71,-,0.4
,TLAHUILTEPA, 18 354.07,102.76, 2 169.18, 16 081.13,-,1
,TLANALAPA, 5 261.82, 3 225.33,-, 2 036.49,-,-
,TLANCHINOL, 27 358.38,22.01, 21 961.93, 5 374.44,-,-
,TLAXCOAPAN, 2 897.73, 2 199.78,-,697.45,-,0.5
,TOLCAYUCA, 7 261.93, 2 504.91,-, 4 400.77,356.25,-
,TULA DE ALLENDE, 11 404.91, 8 764.71,-, 2 635.95,-,4.25
,TULANCINGO DE BRAVO, 11 285.12, 6 029.90,-, 5 255.22,-,-
,XOCHIATIPAN, 9 130.71, 7 588.96, 1 013.00,517.5,-,11.25
,XOCHICOATLAN, 10 478.55, 1 909.50,465.23, 8 078.82,-,25
,YAHUALICA, 9 834.53, 6 525.66, 3 308.87,-,-,-
,ZACUALTIPAN DE ANGELES, 12 278.30, 2 890.32,276.79, 9 105.12,-,6.08
,ZAPOTLAN DE JUAREZ, 6 778.57, 4 456.39,-, 2 322.19,-,-
,ZEMPOALA, 23 971.86, 17 232.13,-, 6 738.73,-,1
,ZIMAPAN, 29 689.84, 4 192.63, 1 366.52, 24 127.45,-,3.25
JALISCO,,4 855 910.75,1 128 398.82, 231 342.34,3 476 471.66, 2 458.50, 17 239.43
,ACATIC, 26 160.27,754.31,-, 25 332.51,-,73.46
,ACATLAN DE JUAREZ, 7 513.89, 4 145.14,122.7, 3 246.05,-,-
,AHUALULCO DE MERCADO, 20 481.23, 6 429.15, 4 234.16, 9 812.42,-,5.5
,AMACUECA, 6 378.87, 1 462.58,-, 4 916.30,-,-
,AMATITAN, 14 994.43, 4 865.96,2, 9 460.47,-,666
,AMECA, 40 254.80, 27 218.78,13.54, 13 022.48,-,-
,ANTONIO ESCOBEDO, 11 830.27, 7 746.61,53.77, 4 029.90,-,-
,ARANDAS, 96 123.64,646.62,-, 94 488.29,-,988.73
,ARENAL, 9 011.85, 4 441.15,0.5, 4 568.69,-,1.52
,ATEMAJAC DE BRIZUELA, 17 350.17, 3 188.21,-, 13 973.46,-,188.5
,ATENGO, 34 078.04, 7 660.82, 1 143.36, 25 273.86,-,-
,ATENGUILLO, 51 984.22, 1 906.00,-, 50 078.22,-,-
,ATOTONILCO EL ALTO, 34 680.05, 7 261.63,12.25, 27 339.29,-,66.89
,ATOYAC, 19 059.96, 3 337.70,-, 15 716.25,-,6.01
,AUTLAN DE NAVARRO, 30 174.75, 10 930.15,6, 19 238.60,-,-
,AYOTLAN, 22 498.27, 5 366.14,75, 17 055.13,-,2
,AYUTLA, 73 530.94, 28 898.80,111, 44 521.14,-,-
,"BARCA, LA", 33 789.09, 21 627.33,7, 12 148.25,-,6.5
,BOLA„OS, 24 726.14, 2 100.00,52, 22 574.14,-,-
,CABO CORRIENTES, 60 724.14, 8 205.21, 35 963.80, 16 555.13,-,-
,CASIMIRO CASTILLO, 31 348.05, 21 451.69,8.86, 9 886.01,-,1.5
,CIHUATLAN, 32 658.97, 27 291.21, 1 930.00, 3 280.24,-,157.52
,CIUDAD GUZMAN, 19 693.63, 5 084.81,-, 14 522.21,-,86.61
,COCULA, 22 317.29, 13 023.56,18, 9 270.73,-,5
,COLOTLAN, 38 651.18, 3 548.33,10, 35 090.85,-,2
,CONCEPCION DE BUENOS AIRES, 24 166.65, 10 072.94,-, 14 093.72,-,-
,CUAUTITLAN, 55 450.30, 30 401.31, 11 742.80, 12 061.19,-, 1 245.00
,CUAUTLA, 28 479.58, 1 976.51,430, 26 073.07,-,-
,CUQUIO, 52 975.28, 7 707.30,35, 45 195.98,-,37
,CHAPALA, 8 063.68, 4 069.01,992.01, 2 530.74,-,471.93
,CHIMALTITAN, 30 600.67,-, 7 778.79, 22 818.88,-,3
,CHIQUILISTLAN, 20 511.04, 2 591.85,-, 17 919.20,-,-
,DEGOLLADO, 26 297.00, 7 593.88,-, 18 687.47,-,15.66
,EJUTLA, 20 534.21, 1 980.24,-, 18 553.97,-,-
,ENCARNACION DE DIAZ, 102 775.17, 6 674.50,-, 96 082.67,-,18
,ETZATLAN, 16 915.74, 5 823.44,48, 11 042.80,-,1.5
,"GRULLO, EL", 10 224.01, 3 288.34,3, 6 909.17,-,23.5
,GUACHINANGO, 48 038.45, 4 069.44,125, 43 844.01,-,-
,GUADALAJARA,147,-,-,103,-,44
,HOSTOTIPAQUILLO, 25 617.97, 10 641.03,-, 14 976.93,-,-
,HUEJUCAR, 23 094.45,665.01, 2 253.27, 20 115.75,-,60.42
,HUEJUQUILLA EL ALTO, 47 105.17,45.5, 3 378.58, 43 667.10,-,14
,"HUERTA, LA", 114 231.82, 79 896.47, 4 558.51, 28 057.33,-, 1 719.50
,IXTLAHUACAN DE LOS MEMBRILLOS, 13 785.48, 5 915.03,2, 7 868.45,-,-
,IXTLAHUACAN DEL RIO, 64 081.82, 7 948.65,5, 56 125.16,-,3
,JALOSTOTITLAN, 39 672.52,140.38,-, 39 480.92,-,51.22
,JAMAY, 11 878.88, 3 524.18,2, 4 693.49,-, 3 659.21
,JESUS MARIA, 40 613.95, 1 261.50,1.5, 39 227.66,-,123.29
,JILOTLAN DE LOS DOLORES, 117 075.53, 23 132.20,-, 91 658.33,-, 2 285.00
,JOCOTEPEC, 11 682.24, 8 489.96,110.37, 2 768.47,-,313.45
,JUANACATLAN, 6 122.33, 2 675.20,-, 3 413.63,-,33.5
,JUCHITLAN, 15 083.71, 3 356.55,-, 11 727.16,-,-
,LAGOS DE MORENO, 152 217.65, 20 653.88,19, 129 930.27, 1 601.50,13
,"LIMON, EL", 8 518.07, 5 109.18,-, 3 408.89,-,-
,MAGDALENA, 17 132.24, 7 040.46,21, 10 067.78,-,3
,MANUEL M. DIEGUEZ, 67 805.29, 3 571.00,-, 64 234.28,-,-
,"MANZANILLA DE LA PAZ, LA", 9 493.00, 3 154.01,-, 6 257.00,-,82
,MASCOTA, 100 358.10, 15 198.73,-, 85 063.33,-,96.03
,MAZAMITLA, 23 559.16, 6 976.54,4, 16 578.61,-,-
,MEXTICACAN, 20 438.50,487.58,-, 19 938.92,-,12
,MEZQUITIC, 165 295.81, 1 213.65, 66 701.53, 96 861.57,-,519.06
,MIXTLAN, 31 202.52, 5 791.02,2, 25 409.51,-,-
,OCOTLAN, 18 211.24, 10 715.93,486.54, 6 817.77,-,191
,OJUELOS DE JALISCO, 64 308.08, 23 278.50,65.34, 40 227.25,-,737
,PIHUAMO, 64 416.39, 28 076.14,-, 36 340.25,-,-
,PONCITLAN, 13 251.35, 5 063.98, 1 272.86, 6 286.96,-,627.55
,PUERTO VALLARTA, 22 791.71, 17 577.48,-, 5 118.23,-,96
,VILLA PURIFICACION, 124 395.87, 24 428.25, 34 634.73, 65 331.88,-,1
,QUITUPAN, 35 462.55, 12 736.51,6, 22 639.54,-,80.5
,"SALTO, EL", 3 569.89, 1 745.93,-, 1 823.97,-,-
,SAN CRISTOBAL DE LA BARRANCA, 41 366.61, 1 060.37,10, 40 296.24,-,-
,SAN DIEGO DE ALEJANDRIA, 26 560.00,357,-, 26 203.00,-,-
,SAN JUAN DE LOS LAGOS, 57 376.93, 3 238.69,20, 54 077.24,-,41
,SAN JULIAN, 18 717.33,-,-, 18 717.33,-,-
,SAN MARCOS, 15 052.54, 3 466.50,20.5, 11 565.54,-,-
,SAN MARTIN DE BOLA„OS, 55 007.14,-,-, 55 007.14,-,-
,SAN MARTIN HIDALGO, 29 303.32, 20 668.62,13.5, 8 614.20,-,7
,SAN MIGUEL EL ALTO, 63 861.73,276,-, 63 478.77,-,106.96
,GOMEZ FARIAS, 21 357.25, 4 763.47,-, 16 593.78,-,-
,SAN SEBASTIAN DEL OESTE, 62 395.45, 14 757.18, 2 606.03, 45 028.99,-,3.25
,SANTA MARIA DE LOS ANGELES, 18 536.41,826.15,-, 17 704.67,-,5.6
,SAYULA, 17 349.02, 3 925.68,6.5, 13 341.84,-,75
,TALA, 27 871.92, 14 747.58, 2 220.22, 10 903.92,-,0.2
,TALPA DE ALLENDE, 144 361.47, 41 284.87,783.05, 102 277.05,-,16.5
,TAMAZULA DE GORDIANO, 98 493.13, 33 609.81,23, 64 837.07,-,23.25
,TAPALPA, 35 803.29, 8 066.53,6.01, 27 726.75,-,4
,TECALITLAN, 97 541.81, 12 140.78,-, 85 401.03,-,-
,TECOLOTLAN, 38 110.72, 12 315.66,30, 25 743.07,-,22
,TECHALUTA DE MONTENEGRO, 5 158.53,464.85,-, 4 693.68,-,-
,TENAMAXTLAN, 21 781.94, 6 694.11, 2 433.13, 12 654.70,-,-
,TEOCALTICHE, 62 124.23, 13 615.93,2, 48 391.30,-,115
,TEOCUITATLAN DE CORONA, 14 627.69, 10 101.22,6, 4 519.47,-,1.01
,TEPATITLAN DE MORELOS, 109 179.65,655.21,-, 108 267.75,-,256.69
,TEQUILA, 97 242.41, 6 748.92,110, 90 379.49,-,4
,TEUCHITLAN, 8 874.06, 6 393.30,28.56, 2 452.20,-,-
,TIZAPAN EL ALTO, 11 030.34, 8 881.26,8, 1 656.26,-,484.82
,TLAJOMULCO DE ZU„IGA, 36 293.43, 15 556.89,355.85, 20 374.80,-,5.9
,TLAQUEPAQUE, 5 088.89, 4 303.57,0.57,784.75,-,-
,TOLIMAN, 21 554.19, 6 071.03,-, 15 477.16,-,6
,TOMATLAN, 197 575.24, 78 319.56, 17 752.63, 101 381.05,65,57
,TONALA, 5 584.46, 1 753.91,23.25, 3 807.30,-,-
,TONAYA, 21 632.13, 4 259.50,-, 17 338.63,-,34
,TONILA, 9 424.50, 4 929.00,-, 4 462.25,-,33.25
,TOTATICHE, 46 997.69,-,-, 46 997.69,-,-
,TOTOTLAN, 26 045.84, 7 360.01,2, 18 682.83,-,1
,TUXCACUESCO, 19 717.66, 4 789.40,-, 14 912.50,-,15.76
,TUXCUECA, 8 126.00, 3 427.98,-, 4 538.83,-,159.19
,TUXPAN, 35 281.82, 10 992.00,84.25, 24 196.57,-,9
,UNION DE SAN ANTONIO, 55 877.68, 4 933.88,2, 50 917.80,-,24
,UNION DE TULA, 21 725.99, 8 633.89,2, 13 087.60,-,2.5
,VALLE DE GUADALUPE, 26 717.50,445.5,-, 26 269.75,-,2.25
,VALLE DE JUAREZ, 17 347.96, 5 069.45,-, 12 278.51,-,-
,CIUDAD VENUSTIANO CARRANZA, 66 628.82, 15 188.45, 21 392.84, 30 006.03,-,41.5
,VILLA CORONA, 12 237.25, 6 909.48,12.25, 4 517.52,792,6
,VILLA GUERRERO, 48 651.03,316.25,4, 48 316.38,-,14.4
,VILLA HIDALGO, 34 215.84, 1 945.20,-, 32 270.64,-,-
,CA„ADAS DE OBREGON, 17 452.81,536,-, 16 916.81,-,-
,YAHUALICA DE GONZALEZ GALLO, 34 739.42, 2 017.76,-, 32 646.66,-,75
,ZACOALCO DE TORRES, 23 519.95, 11 326.47,374.12, 11 686.55,-,132.81
,ZAPOPAN, 56 048.95, 12 648.65, 3 076.97, 39 805.32,-,518
,ZAPOTILTIC, 19 081.07, 12 045.90,92, 6 940.63,-,2.54
,ZAPOTITLAN DE VADILLO, 13 851.04, 6 651.29,221.25, 6 978.51,-,-
,ZAPOTLAN DEL REY, 25 012.90, 9 333.47,838.1, 14 818.33,-,23
